	nonPR_Hols_1	nonPR_Hols_2	nonPR_Hols_3	nonPR_Hols_4	nonPR_Hols_5	nonPR_Hols_6	nonPR_Hols_7	nonPR_Hols_8	nonPR_Hols_9	nonPR_Hols_10	nonPR_Hols_11	PR_Hols_1	PR_Hols_2	PR_Hols_3	PR_Hols_4	PR_Hols_5	PR_Hols_6	PR_Hols_7	PR_Hols_8	PR_Jap_1	PR_Jap_2	PR_Jap_3	PR_Jap_4	PR_Jap_5	PR_Jap_6	nonPR_Jap_1	nonPR_Jap_2	nonPR_Jap_3	nonPR_Jap_4	nonPR_Jap_5	nonPR_Sim_1	nonPR_Sim_2	nonPR_Sim_3	PR_Sim_1	PR_Sim_2	PR_Sim_3	PR_Cont_1	PR_Cont_2	PR_Cont_3	PR_Cont_4	PR_Cont_5	PR_Cont_6	nonPR_Cont_1	nonPR_Cont_2	nonPR_Cont_3	nonPR_Cont_4	nonPR_Cont_5	nonPR_Cont_6	nonPR_Sim2_1	nonPR_Sim2_2	nonPR_Sim2_3	PR_Sim2_1	PR_Sim2_2	PR_Sim2_3
ENSBTAG00000001703	5.068934226	4.596713433	5.801764058	4.179233169	3.679714172	6.606135064	5.177085902	6.60500886	5.331475812	6.918917348	7.057420079	4.450588463	4.060491586	6.251052976	4.449982344	4.909803566	3.679714172	5.911479182	4.430100227	4.70295971	4.890402473	4.800311645	7.116580256	4.871485259	6.136758138	8.367414751	4.677559493	5.230566353	6.835763337	5.926430782	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.077598385	2.073093626	2.073093626	2.073093626	2.085879155	2.073093626	2.073093626	2.264860531	2.073093626	2.073093626	2.166390416	2.073093626	2.073093626	2.073093626
ENSBTAG00000000470	5.771277804	6.259766095	7.73726899	4.501633641	4.126206851	7.600045467	6.345354158	12.05430099	4.902575967	7.935383622	6.358055708	4.243892893	4.060491586	5.855873572	3.679714172	4.776476702	4.720759974	8.282629539	4.613893804	4.790866799	4.890402473	4.328470941	9.128814533	5.209453366	7.781061605	10.02208404	5.186226814	5.320287737	8.576312556	6.123651149	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.107408353	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	9.284524209	2.073093626	4.696852422	3.232195339	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626
ENSBTAG00000004768	7.506760337	7.436837343	7.655816065	7.86721585	8.023078482	7.981544958	7.643968019	7.559914835	7.738827778	7.636106083	7.239302321	8.52210782	8.671125668	7.853350497	7.667786843	7.78590797	7.906363732	7.697406003	7.6587409	4.790866799	6.016301812	5.685226624	5.659509454	5.883754097	5.942514505	5.878190283	5.620053165	6.224878692	5.893715207	6.08649815	2.073093626	2.318639312	2.083744465	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.123072115	2.098718811	2.073093626	2.073093626
ENSBTAG00000020859	4.818019223	4.513715335	4.303081991	4.179233169	3.679714172	3.679714172	4.47917645	3.679714172	4.147573374	4.220954533	4.451458641	3.679714172	4.325168028	4.261315866	4.323023076	4.251192485	3.679714172	4.382072904	4.130861666	5.073898114	5.550396999	5.792050792	5.659509454	5.406301652	5.729157227	6.257387843	6.204126486	5.893715207	6.123651149	6.524274574	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.080581451	2.681777286	2.073093626	3.046545622	3.313912966	2.073093626	2.203174314
ENSBTAG00000011929	5.532840409	5.488961511	5.511452126	5.610048721	5.52611841	5.459535513	5.311093053	6.016517259	5.65512614	5.321073629	5.08330545	5.474253136	5.403452346	5.19547924	5.460436343	5.565244218	5.815067413	5.785112226	5.226644551	5.095157233	5.614709844	5.280348991	6.266786541	5.731627596	6.573991383	6.21916852	5.874841667	6.054295977	6.098032083	5.710493383	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626
ENSBTAG00000002779	5.590981193	6.427233832	6.18536619	7.702287116	10.84675764	6.682710327	5.335447966	6.514778677	5.566851034	7.110474441	5.196388259	8.208434307	6.63376942	4.841442544	7.97926488	6.675518306	5.983666272	6.078241426	6.321815872	5.166277224	5.541976576	4.893715207	6.146973594	4.73039294	5.932885804	7.605311146	6.363139212	4.864748928	5.550396999	5.754887502	2.073093626	2.073093626	2.121967365	2.073093626	2.073093626	2.741506242	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	6.69433939	5.375809982	6.385871304	5.246095274	5.052325867	5.009100552
ENSBTAG00000004785	4.533885468	3.679714172	4.128747834	4.179233169	4.126206851	4.415093757	3.679714172	3.679714172	4.327239112	4.220954533	3.679714172	3.679714172	3.679714172	3.679714172	3.679714172	4.088446781	4.148651017	4.626688133	4.130861666	5.188026808	5.681398152	5.55876856	5.709240499	5.838630949	5.587692293	6.351943075	6.230566353	6.252235355	6.222685146	6.730701703	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.085741971	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626
ENSBTAG00000011203	7.598490062	7.070817975	6.682321022	8.798450794	9.390399853	6.695113557	6.77719123	6.885037463	7.231436091	7.139608258	6.845438708	7.781601116	7.262743905	6.918922284	7.015098017	6.717903143	6.836114446	6.209579599	7.358935751	5.188026808	5.572614108	5.328470941	5.550396999	5.510674272	5.389191322	5.575367344	5.874841667	5.893715207	5.256530372	4.750021747	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.090951528	2.073093626	2.073093626	2.073093626	2.073093626
ENSBTAG00000013980	6.079180806	6.446828982	6.673685311	5.584421535	5.60998226	6.755707775	6.52327844	5.89196845	6.660099259	6.757748103	6.211958613	7.21613277	6.5817258	6.757752799	6.475448746	6.476968514	6.504582493	6.209579599	6.683531632	5.188026808	5.512111935	5.617383978	5.51927884	5.504909249	5.389191322	5.628031223	5.541976576	5.175379432	5.828280761	6.222685146	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.073093626	2.35562201	2.70747983	3.08363993	2.213991478	2.601008825	2.783700043	2.204635834	3.741045165	2.296269056	2.458849933	2.260529807	2.302978596	2.127336984	2.073093626	3.471017378	2.073093626	2.130608017	2.129516644
ENSBTAG00000021581	3.853083389	3.759367597	4.000479889	4.680194232	4.253183309	4.39342176	4.353550489	4.611472939	3.80197327	4.318548122	4.464523067	4.360820611	4.166957017	4.442372684	4.249186423	4.550082658	4.498129581	4.476714842	4.236231706	4.047984941	4.424538374	4.274204047	4.932494453	4.503406434	4.360204567	4.506702197	3.980315817	4.337188523	4.06328114	3.6962941	4.273782049	4.281913349	4.279549307	4.279549307	4.281913349	4.279549307	4.258297094	4.687149968	4.348927388	4.223514985	4.909704959	4.051133781	4.051133781	4.417541339	4.051133781	4.186613217	4.051133781	4.141937921	4.28058349	4.277924358	4.28058349	4.28058349	4.277924358	4.28058349
