	Zo_IVT_NP_3	Zo_IVT_NP_6	Zo_IVT_NP_10	Zo_IVT_NP_13	Zo_IVT_NP_15	Zo_IVT_NP_18	Zo_IVT_NP_20	Zo_IVT_NP_21	Zo_IVT_NP_23	Zo_IVT_NP_26	Zo_IVT_NP_28	Zo_IVT_PR_1	Zo_IVT_PR_2	Zo_IVT_PR_3	Zo_IVT_PR_5	Zo_IVT_PR_7	SW_IVT_NP_1	SW_IVT_NP_2	SW_IVT_NP_3	SW_IVT_NP_4	SW_IVT_NP_5	SW_IVT_NP_6	SW_IVT_PR_1	SW_IVT_PR_2	SW_IVT_PR_3	SW_IVT_PR_4
ENSBTAG00000000005	5.685557263	5.685557263	5.685557263	5.685557263	5.685557263	5.685557263	5.685557263	5.685557263	5.685557263	5.685557263	5.685557263	5.685557263	5.685557263	9.140234632	5.764400784	5.808995664	5.537539191	5.993174782	5.620291261	6.292964367	6.281331972	5.308495089	6.042562081	5.47687711	6.06076728	5.806157748
ENSBTAG00000000008	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.647767501	5.834309964	5.93982071	5.731016036	5.983777768	5.554436715	5.533564567	5.443627309	5.531002393	5.882972231	5.518084268	5.66124583	6.065137277
ENSBTAG00000000009	5.672304582	5.672304582	5.672304582	10.32214294	5.672304582	5.672304582	5.672304582	5.672304582	5.672304582	5.672304582	5.672304582	5.672304582	5.672304582	5.672304582	5.750269551	5.794367511	5.824284278	6.08214581	6.009889139	5.927779161	5.947947136	5.960465603	5.829355305	5.955466141	5.735365238	5.390185757
ENSBTAG00000000010	5.732411147	5.732411147	5.732411147	5.732411147	5.732411147	5.732411147	5.732411147	5.732411147	5.732411147	9.805093628	5.732411147	5.732411147	5.732411147	5.732411147	5.81085462	5.855223228	5.938131478	6.023915724	6.146831917	5.746748141	5.584236012	5.722856904	6.384218347	6.040692213	5.333614912	6.450748076
ENSBTAG00000000011	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.803468926	5.996218065	6.105239385	5.835569422	6.366555883	5.678170358	5.552050393	5.721459876	5.62977175	6.07149164	5.799079421	5.563867589	6.319790838
ENSBTAG00000000012	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.687564721	5.837223518	5.921872402	5.811959306	5.775710558	5.615468934	5.612805386	5.583612813	5.732334173	5.71754914	5.830795711	5.782687004	5.773880972
ENSBTAG00000000013	6.172588946	9.971560719	6.172588946	6.172588946	6.172588946	6.172588946	10.16922551	6.172588946	9.28520153	6.172588946	8.699631261	6.172588946	6.172588946	6.172588946	6.253469855	6.299217107	7.515872147	7.679893128	7.988817103	4.956498649	6.095306778	6.207525601	6.939485978	7.848347566	7.360084784	7.600357611
ENSBTAG00000000014	5.632160368	5.632160368	8.29108968	5.632160368	8.133131435	7.763185327	6.796396983	9.729634598	7.96007545	8.010154065	9.326307496	5.632160368	10.63330835	5.632160368	5.710157922	5.754274312	6.818839797	6.783804711	6.476380797	7.474098377	7.040752597	7.474751565	7.549521329	7.027513565	7.275347088	7.625955908
ENSBTAG00000000015	8.90278163	8.927092799	5.347141277	10.0379661	5.347141277	8.924705112	8.227933587	7.352446676	8.54714454	8.728674243	5.347141277	7.848069628	5.347141277	5.347141277	5.425137499	5.469253136	7.17800912	6.515667133	7.686778193	7.032950779	6.778230333	6.649051532	7.145692319	6.655219112	7.39032395	6.795706479
ENSBTAG00000000016	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.577580985	7.771417193	7.881053374	7.533913444	7.865628172	7.642168255	7.07178967	7.660604979	7.717013108	7.871407121	8.216761093	7.330966045	7.857572548
ENSBTAG00000000019	9.295052471	9.668388163	8.97921662	9.833473855	6.823723639	8.492309295	8.414208782	8.877386834	7.341460088	5.18453672	10.63541951	8.605673451	5.18453672	8.834144287	5.262506889	10.31371963	8.35148719	8.384987734	7.535840238	8.5364974	8.36248451	8.189942357	7.747124844	7.486124879	8.161962719	7.754612013
ENSBTAG00000000020	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.804517814	5.997210031	6.106199156	5.785746493	6.389134589	5.948998598	5.643712241	5.554436866	5.638808958	5.976073265	5.77223262	5.593465324	6.290796971
ENSBTAG00000000021	6.214466513	6.214466513	9.272113613	6.214466513	6.214466513	6.214466513	6.214466513	6.214466513	6.214466513	6.214466513	9.032184297	6.214466513	6.214466513	6.214466513	6.294432897	6.339662883	7.050460418	6.175660657	5.820627132	7.951150582	7.28300341	6.977041523	6.451094807	6.382311459	6.641765854	5.693524017
ENSBTAG00000000022	5.536409008	8.946660652	5.536409008	6.476496109	8.216190857	5.536409008	9.690735973	9.320840503	5.536409008	10.07679576	5.536409008	5.536409008	5.536409008	5.536409008	5.61431102	5.658373371	6.625042952	6.588608122	6.681407565	6.941226746	6.726501171	6.96552908	6.955371473	6.456419526	6.576780105	6.320339798
ENSBTAG00000000023	5.452553658	9.752694367	5.452553658	8.378221382	8.401276479	9.625286452	9.310413597	7.778862429	5.452553658	5.452553658	10.16086133	5.452553658	5.452553658	8.552257766	10.01459828	5.57553649	8.064387052	6.656496984	7.37988082	8.338106173	8.168996707	8.37961985	7.03879128	6.493983975	7.63683987	6.33021864
ENSBTAG00000000024	5.879995655	5.879995655	5.879995655	10.80573379	5.879995655	5.879995655	5.879995655	5.879995655	5.879995655	5.879995655	5.879995655	5.879995655	5.879995655	5.879995655	5.958571141	6.003014416	5.783099727	6.789438689	6.425025975	5.910020405	5.689639038	6.080594621	6.255613305	5.684347228	6.1210517	6.926667452
ENSBTAG00000000025	4.836770359	10.01169782	9.460538607	8.48160251	7.658093448	9.15230751	8.809057059	8.87130535	8.571047278	7.733196075	10.36964113	6.005301584	9.466769984	9.841238403	7.390465069	8.42619897	8.8090729	8.477374802	9.086466597	8.361621234	8.800982508	7.449948153	8.493722248	8.116297298	8.616088228	8.125978075
ENSBTAG00000000026	5.676708657	5.676708657	5.676708657	5.676708657	5.676708657	5.676708657	5.676708657	5.676708657	8.528758262	5.676708657	5.676708657	5.676708657	5.676708657	5.676708657	5.755059879	5.799376309	5.952155082	5.262183316	6.227432683	6.049998052	5.879390262	5.962475917	5.832398872	6.114771978	6.177301973	5.834498021
ENSBTAG00000000029	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	5.889214022	6.059686763	6.156108275	5.925197876	6.060746711	5.986798103	5.967364709	6.006465878	5.861475776	5.760755121	6.004580431	5.887485291	6.003951107
ENSBTAG00000000030	5.50064751	5.50064751	5.50064751	8.417572703	5.50064751	5.50064751	5.50064751	5.50064751	9.646362276	5.50064751	5.50064751	5.50064751	9.275530072	10.13632832	5.579622014	5.624290979	5.443035171	7.512001314	6.765189871	5.911141057	5.963202749	5.682696664	7.28371181	5.791728197	5.854634386	7.425229533
ENSBTAG00000000031	5.808726531	5.808726531	9.901432566	5.808726531	5.808726531	5.808726531	5.808726531	5.808726531	5.808726531	5.808726531	5.808726531	5.808726531	5.808726531	5.808726531	5.889764842	5.935601123	5.303715573	5.111076397	5.75057515	6.504903856	6.342367113	6.80970943	6.561332971	5.544001106	5.877551914	5.821179557
ENSBTAG00000000032	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.763249947	5.924030662	6.014970243	5.702388054	5.828073355	5.714996509	5.825049579	5.815167845	5.746166076	5.977775323	5.687366201	5.758152615	5.854947126
ENSBTAG00000000033	5.587665458	5.587665458	5.587665458	5.587665458	5.587665458	5.587665458	5.587665458	8.952335002	9.601539325	8.128520685	8.180432402	10.10074414	8.97496415	8.433061571	5.665833896	5.710046942	6.086527764	6.874540957	7.509482675	6.98669566	6.997264695	6.849816064	7.537681759	6.810702566	6.387668842	6.99810429
ENSBTAG00000000037	5.589793982	5.589793982	5.589793982	5.589793982	9.527180248	5.589793982	5.589793982	5.589793982	5.589793982	6.540605622	8.841744245	8.091458545	5.589793982	5.589793982	8.147883209	5.713149718	6.06205972	6.260354194	5.860986278	5.923780992	6.984361142	6.285657019	6.774779544	5.562055059	6.285657019	5.750274436
ENSBTAG00000000039	5.772550465	5.772550465	5.772550465	5.772550465	5.772550465	5.772550465	8.171625545	5.772550465	5.772550465	5.772550465	5.772550465	5.772550465	5.772550465	5.772550465	5.853560103	5.899380167	5.447669442	5.887802271	5.500298069	6.133252811	6.19900106	6.041181777	6.245074034	6.382969339	5.336224495	6.041281024
ENSBTAG00000000040	9.134736961	5.673890264	8.51275638	9.46453994	8.110913504	9.988257822	5.673890264	8.372551443	5.673890264	9.967413499	5.673890264	5.673890264	10.50065124	5.673890264	5.752341103	5.796713878	7.426621286	6.341357243	8.39740759	7.651927697	7.762694758	6.868573107	6.567705158	6.571463171	7.184935575	6.121209207
ENSBTAG00000000042	6.039858993	6.039858993	6.039858993	6.039858993	6.039858993	6.039858993	8.360187722	6.039858993	6.039858993	6.039858993	6.039858993	10.32245987	6.039858993	8.86925361	6.121873186	6.168261438	6.184575896	4.950724956	7.237228986	6.812393068	6.681355052	6.962766711	6.471165472	7.624946975	6.242074064	5.110534864
ENSBTAG00000000044	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.680207385	5.85259116	5.950093576	5.81722383	5.816537395	5.705258454	5.721371213	5.438424264	5.696705248	5.76995608	5.552757987	5.798390837	5.907090068
ENSBTAG00000000046	5.552260681	5.552260681	5.552260681	5.552260681	5.552260681	5.552260681	5.552260681	5.552260681	5.552260681	5.552260681	9.429785892	5.552260681	5.552260681	5.552260681	5.633097238	5.678819404	5.635606963	5.127560784	5.779353917	5.390789314	5.512489949	6.351053014	5.264315623	7.086732476	5.930445211	5.358325857
ENSBTAG00000000049	5.766886278	5.766886278	5.766886278	5.766886278	5.766886278	5.766886278	5.766886278	5.766886278	5.766886278	5.766886278	5.766886278	5.766886278	5.766886278	7.212168217	5.863712348	5.918478382	6.093494329	5.353905472	5.508824911	6.250635593	6.013137862	5.967168433	5.895508443	5.35517356	6.22151484	5.990033312
ENSBTAG00000000050	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.747500996	5.925919142	6.026834674	6.057020223	5.862722023	5.720910192	5.84433718	5.661256689	5.799387516	5.632306229	5.599728512	5.995200114	5.704391487
ENSBTAG00000000052	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.763847334	5.933830921	6.02997576	5.79112193	5.906479844	5.65555291	5.65555291	5.773167382	5.948037272	5.888015628	5.867936064	5.598409034	5.973293234
