	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
ENSBTAG00000000005	4.414432866	4.488978931	4.38574737	4.344127949	4.354550353	4.278299234	4.482998545	4.516314012	4.258470415	5.517025671	4.451109214	4.503271186	4.516519259	4.214523352	4.813487379	4.936466352	5.80718564	5.117379774	5.25333043	5.208930185	4.685747967	5.50951374	4.8549121	5.028123159	4.36919188	5.140523812	5.05483377
ENSBTAG00000000008	4.425993914	4.496236886	4.398964258	4.359747275	4.942442501	4.547499009	4.490601711	5.225261539	4.279034232	4.442780382	4.460553158	4.509704135	5.633676619	5.124652897	4.749756162	4.823082672	5.087006829	5.092775244	5.563332885	5.310890877	4.491212559	5.215066794	4.989414635	4.883767035	4.808254075	4.719303544	4.684614625
ENSBTAG00000000009	5.060059116	4.666138602	4.847050486	5.573575607	4.538031117	5.670401296	4.660439425	4.692188334	4.446469045	4.899901191	4.630049592	4.977235077	4.69238393	5.151757092	5.134107993	4.899781946	4.73401571	5.042794499	4.64861753	4.82188565	5.229929668	5.2891089	4.48031097	5.12780218	4.604756214	4.43295128	4.857717991
ENSBTAG00000000010	6.793989381	5.878761864	5.927393258	6.740793159	6.189431024	6.604641402	6.879206744	5.535267268	6.80420687	6.263708361	6.357179344	6.047032725	6.462515109	5.88365175	6.938366677	6.04345877	5.723823832	5.995492474	6.450605471	5.586630832	6.770589051	6.202463567	5.434699165	5.885911619	5.841096696	6.052412986	6.0187749
ENSBTAG00000000011	4.561904003	5.482606846	4.985018932	4.496204608	5.437503855	4.434688189	4.625978094	5.127645017	4.416158313	5.479419092	5.809174045	5.686789374	5.127857398	5.406377334	5.541954849	5.472569504	5.542501048	6.344482789	5.894084291	5.554578522	5.381478735	5.238110271	5.26235492	5.202951972	4.834988395	5.612709858	4.97779129
ENSBTAG00000000012	5.0469629	4.732373526	4.352709765	5.111945191	5.460578606	4.883504289	4.441965558	5.381797218	5.111693326	5.066770993	5.933882483	6.219846163	5.241331259	5.660766813	5.059471487	5.42727095	6.017742056	4.838188075	5.137412117	5.422065835	5.264210797	5.561643141	4.714708426	5.446173925	5.625983941	5.045337024	5.304477558
ENSBTAG00000000013	7.359504211	7.328943302	7.144593539	6.704476327	6.736612873	7.074729933	6.947371444	7.757040412	6.666011242	6.494537564	7.39401737	7.19959238	6.888040301	7.290349069	6.497534051	6.775091124	7.472831334	7.379803488	6.888502357	7.199463859	6.788220422	7.621373939	7.104301156	7.159479251	6.64689521	6.739675161	7.683329827
ENSBTAG00000000014	7.86358895	7.738473796	7.474113065	7.702646643	6.98615291	7.351258374	7.555628438	7.043208114	8.171146075	7.094290175	8.112999002	7.173312658	7.297161702	6.764282181	7.356243866	7.257946341	6.424532455	7.10755558	7.172668931	6.898172035	7.245779026	6.76866546	6.857111877	7.00518882	7.170460507	7.420885677	7.415330969
ENSBTAG00000000015	8.076148396	7.63436265	7.698010136	7.619992799	7.156495425	7.606492684	6.080106786	7.758994684	8.072487662	7.908890056	6.742862489	7.441917878	6.89850914	6.119287817	7.361726793	6.392985419	5.278068337	7.097251561	6.544828256	6.389333547	7.432214301	7.335890468	6.684390286	6.357900799	7.000615086	7.583172897	7.141578097
ENSBTAG00000000016	6.651119753	6.730333689	6.620638051	6.576412536	6.891374274	6.981627884	7.053048609	6.759380417	6.485391362	7.822753891	6.690092673	6.745520886	6.759598516	7.488444344	7.207013318	6.366998582	6.809016775	6.815066498	6.713793617	7.249763013	6.977926784	7.737750689	6.727532861	6.660373277	6.569427641	5.879222864	6.62488375
ENSBTAG00000000019	6.442874306	7.232348159	6.920767543	7.343194343	7.754705202	7.243296028	7.162752523	7.772646201	7.405881483	6.883851664	6.828514333	7.176318287	6.868221783	7.283689275	7.090850541	7.025060968	6.851808172	6.369334611	7.765460465	6.393663467	7.161709881	6.623959198	7.033633131	6.946521061	7.606690873	7.258161329	6.510269461
ENSBTAG00000000020	5.033765335	4.808758371	4.705190449	4.663435419	4.960803057	4.863338079	4.802758499	4.836182518	4.577498786	4.751842267	5.267096644	5.462516262	5.477466694	5.186118523	4.637679877	4.741361314	5.391865068	4.887951561	4.792335892	4.974745843	4.642306134	5.274994439	4.867891203	4.707653256	4.752596441	5.022882614	5.016333473
ENSBTAG00000000021	6.897145189	6.9912159	6.950241162	6.582552738	6.182733443	7.249275506	6.466054173	6.439091701	7.200383272	6.966758263	6.089745163	7.303342905	7.240190439	6.774871428	6.973596083	6.841248523	6.523897306	6.066665597	6.662042711	5.378657963	7.104881529	6.002007704	6.644444973	6.76305348	6.951592591	6.801309429	5.974320574
