ligand	receptor	d.ligand	d.receptor	ligand_ensembl	receptor_ensembl
A2M	LRP1	alpha-2-macroglobulin	LDL receptor related protein 1	ENSBTAG00000018137	ENSBTAG00000010830
AANAT	MTNR1A	aralkylamine N-acetyltransferase	melatonin receptor 1A	ENSBTAG00000050098	ENSBTAG00000046938
AANAT	MTNR1B	aralkylamine N-acetyltransferase	melatonin receptor 1B	ENSBTAG00000050098	ENSBTAG00000050009
ACE	AGTR2	angiotensin I converting enzyme	angiotensin II receptor type 2	ENSBTAG00000024950	ENSBTAG00000040386
ACE	BDKRB2	angiotensin I converting enzyme	bradykinin receptor B2	ENSBTAG00000024950	ENSBTAG00000021717
ACTR2	ADRB2	actin related protein 2	adrenoceptor beta 2	ENSBTAG00000009761	ENSBTAG00000002144
ACTR2	LDLR	actin related protein 2	low density lipoprotein receptor	ENSBTAG00000009761	ENSBTAG00000012314
ACTR2	LRP2	actin related protein 2	LDL receptor related protein 2	ENSBTAG00000009761	ENSBTAG00000004555
ADAM10	AXL	ADAM metallopeptidase domain 10	AXL receptor tyrosine kinase	ENSBTAG00000005481	ENSBTAG00000003166
ADAM10	EPHA3	ADAM metallopeptidase domain 10	EPH receptor A3	ENSBTAG00000005481	ENSBTAG00000006811
ADAM12	ITGA9	ADAM metallopeptidase domain 12	integrin subunit alpha 9	ENSBTAG00000012444	ENSBTAG00000016566
ADAM12	ITGB1	ADAM metallopeptidase domain 12	integrin subunit beta 1	ENSBTAG00000012444	ENSBTAG00000015910
ADAM12	SDC4	ADAM metallopeptidase domain 12	syndecan 4	ENSBTAG00000012444	ENSBTAG00000015127
ADAM15	ITGA5	ADAM metallopeptidase domain 15	integrin subunit alpha 5	ENSBTAG00000010663	ENSBTAG00000013745
ADAM15	ITGA9	ADAM metallopeptidase domain 15	integrin subunit alpha 9	ENSBTAG00000010663	ENSBTAG00000016566
ADAM15	ITGAV	ADAM metallopeptidase domain 15	integrin subunit alpha V	ENSBTAG00000010663	ENSBTAG00000019929
ADAM15	ITGB1	ADAM metallopeptidase domain 15	integrin subunit beta 1	ENSBTAG00000010663	ENSBTAG00000015910
ADAM15	ITGB3	ADAM metallopeptidase domain 15	integrin subunit beta 3	ENSBTAG00000010663	ENSBTAG00000009987
ADAM17	ERBB4	ADAM metallopeptidase domain 17	erb-b2 receptor tyrosine kinase 4	ENSBTAG00000001141	ENSBTAG00000012647
ADAM17	ITGA5	ADAM metallopeptidase domain 17	integrin subunit alpha 5	ENSBTAG00000001141	ENSBTAG00000013745
ADAM17	ITGB1	ADAM metallopeptidase domain 17	integrin subunit beta 1	ENSBTAG00000001141	ENSBTAG00000015910
ADAM17	NOTCH1	ADAM metallopeptidase domain 17	notch receptor 1	ENSBTAG00000001141	ENSBTAG00000022799
ADAM23	ITGA5	ADAM metallopeptidase domain 23	integrin subunit alpha 5	ENSBTAG00000019694	ENSBTAG00000013745
ADAM23	ITGB3	ADAM metallopeptidase domain 23	integrin subunit beta 3	ENSBTAG00000019694	ENSBTAG00000009987
ADAM2	CD9	ADAM metallopeptidase domain 2	CD9 molecule	ENSBTAG00000009408	ENSBTAG00000014764
ADAM2	ITGA6	ADAM metallopeptidase domain 2	integrin subunit alpha 6	ENSBTAG00000009408	ENSBTAG00000017266
ADAM2	ITGA9	ADAM metallopeptidase domain 2	integrin subunit alpha 9	ENSBTAG00000009408	ENSBTAG00000016566
ADAM2	ITGB1	ADAM metallopeptidase domain 2	integrin subunit beta 1	ENSBTAG00000009408	ENSBTAG00000015910
ADAM2	ITGB7	ADAM metallopeptidase domain 2	integrin subunit beta 7	ENSBTAG00000009408	ENSBTAG00000018993
ADAM9	ITGA3	ADAM metallopeptidase domain 9	integrin subunit alpha 3	ENSBTAG00000017455	ENSBTAG00000019498
ADAM9	ITGA6	ADAM metallopeptidase domain 9	integrin subunit alpha 6	ENSBTAG00000017455	ENSBTAG00000017266
