	Study	Outcome	Group
Zo_IVT_NP_3	PH	NP	NP_Bl_IVT
Zo_IVT_NP_6	PH	NP	NP_Bl_IVT
Zo_IVT_NP_10	PH	NP	NP_Bl_IVT
Zo_IVT_NP_13	PH	NP	NP_Bl_IVT
Zo_IVT_NP_15	PH	NP	NP_Bl_IVT
Zo_IVT_NP_18	PH	NP	NP_Bl_IVT
Zo_IVT_NP_20	PH	NP	NP_Bl_IVT
Zo_IVT_NP_21	PH	NP	NP_Bl_IVT
Zo_IVT_NP_23	PH	NP	NP_Bl_IVT
Zo_IVT_NP_26	PH	NP	NP_Bl_IVT
Zo_IVT_NP_28	PH	NP	NP_Bl_IVT
Zo_IVT_PR_1	PH	PR	PR_Bl_IVT
Zo_IVT_PR_2	PH	PR	PR_Bl_IVT
Zo_IVT_PR_3	PH	PR	PR_Bl_IVT
Zo_IVT_PR_5	PH	PR	PR_Bl_IVT
Zo_IVT_PR_7	PH	PR	PR_Bl_IVT
SW_IVT_NP_1	DE	NP	NP_Bl_IVT
SW_IVT_NP_2	DE	NP	NP_Bl_IVT
SW_IVT_NP_3	DE	NP	NP_Bl_IVT
SW_IVT_NP_4	DE	NP	NP_Bl_IVT
SW_IVT_NP_5	DE	NP	NP_Bl_IVT
SW_IVT_NP_6	DE	NP	NP_Bl_IVT
SW_IVT_PR_1	DE	PR	PR_Bl_IVT
SW_IVT_PR_2	DE	PR	PR_Bl_IVT
SW_IVT_PR_3	DE	PR	PR_Bl_IVT
SW_IVT_PR_4	DE	PR	PR_Bl_IVT
