"seed","dataset","train_accuracy","test_accuracy","train_kappa","test_kappa","sensitivity","specificity","balanced_accuracy","auc"
64,"vitro_lig-endo",1,0.5625,1,0.125,0.6875,0.4375,0.5625,0.5703125
28,"vitro_lig-endo",1,0.84375,1,0.6875,1,0.6875,0.84375,0.85546875
21,"vitro_lig-endo",1,0.78125,1,0.5625,0.8125,0.75,0.78125,0.87109375
94,"vitro_lig-endo",1,0.875,1,0.75,1,0.75,0.875,0.8828125
41,"vitro_lig-endo",1,0.71875,1,0.4375,0.5625,0.875,0.71875,0.7578125
12,"vitro_lig-endo",1,0.84375,1,0.6875,1,0.6875,0.84375,0.921875
53,"vitro_lig-endo",1,0.84375,1,0.6875,1,0.6875,0.84375,0.86328125
22,"vitro_lig-endo",1,0.8125,1,0.625,0.9375,0.6875,0.8125,0.828125
17,"vitro_lig-endo",1,0.75,1,0.5,1,0.5,0.75,0.8359375
62,"vitro_lig-endo",1,0.6875,1,0.375,1,0.375,0.6875,0.7890625
