"feature","importance"
"ENSBTAG00000000575-ENSBTAG00000015296",0.1059612539106
"ENSBTAG00000006045-ENSBTAG00000034385",0.0747489052044463
"ENSBTAG00000020457-ENSBTAG00000015910",0.0538860433477083
"ENSBTAG00000000575-ENSBTAG00000020679",0.0501354258555836
"ENSBTAG00000000476-ENSBTAG00000003781",0.0487379736766201
"ENSBTAG00000003300-ENSBTAG00000002804",0.0445792852361536
"ENSBTAG00000007446-ENSBTAG00000008733",0.0356329183101036
"ENSBTAG00000008096-ENSBTAG00000019733",0.0319278341953999
"ENSBTAG00000000575-ENSBTAG00000026676",0.0315350001560983
"ENSBTAG00000008300-ENSBTAG00000011741",0.0309096829249764
"ENSBTAG00000014583-ENSBTAG00000020667",0.02209650053965
"ENSBTAG00000008300-ENSBTAG00000017489",0.0173264899953943
"ENSBTAG00000021217-ENSBTAG00000010682",0.0147425720033298
"ENSBTAG00000013201-ENSBTAG00000020319",0.014298042494497
"ENSBTAG00000005077-ENSBTAG00000015127",0.0130457022876412
"ENSBTAG00000007153-ENSBTAG00000012219",0.0127205775579515
"ENSBTAG00000006354-ENSBTAG00000025101",0.010753704777448
"ENSBTAG00000020221-ENSBTAG00000005092",-0.00201097537062367
"ENSBTAG00000021302-ENSBTAG00000015910",-0.00521177416690888
"ENSBTAG00000008300-ENSBTAG00000008165",-0.00831553595878876
"ENSBTAG00000025644-ENSBTAG00000020667",-0.0214456594759961
"ENSBTAG00000000793-ENSBTAG00000015910",-0.0251771210776373
"ENSBTAG00000000793-ENSBTAG00000018169",-0.0603447123442414
