"seed","dataset","train_accuracy","test_accuracy","train_kappa","test_kappa","sensitivity","specificity","balanced_accuracy","auc"
64,"vivo_lig-endo",0.989795918367347,0.875,0.979591836734694,0.75,0.75,1,0.875,0.83203125
28,"vivo_lig-endo",1,0.84375,1,0.6875,0.75,0.9375,0.84375,0.9375
21,"vivo_lig-endo",1,0.75,1,0.5,0.75,0.75,0.75,0.7421875
94,"vivo_lig-endo",1,0.9375,1,0.875,0.9375,0.9375,0.9375,0.984375
41,"vivo_lig-endo",1,0.96875,1,0.9375,0.9375,1,0.96875,0.99609375
12,"vivo_lig-endo",1,0.875,1,0.75,1,0.75,0.875,0.953125
53,"vivo_lig-endo",1,0.96875,1,0.9375,0.9375,1,0.96875,1
22,"vivo_lig-endo",1,1,1,1,1,1,1,1
17,"vivo_lig-endo",1,0.96875,1,0.9375,0.9375,1,0.96875,0.98046875
62,"vivo_lig-endo",1,0.9375,1,0.875,1,0.875,0.9375,0.9765625
