"feature","importance"
"ENSBTAG00000025644-ENSBTAG00000012100",0.152458371679484
"ENSBTAG00000014583-ENSBTAG00000012100",0.0954880691516684
"ENSBTAG00000017745-ENSBTAG00000015361",0.043393611319493
"ENSBTAG00000007737-ENSBTAG00000010444",0.0287307724917774
"ENSBTAG00000017246-ENSBTAG00000010444",0.0225476683755991
"ENSBTAG00000005339-ENSBTAG00000003166",0.0163805357633587
"ENSBTAG00000001460-ENSBTAG00000020661",0.0114874470847088
"ENSBTAG00000006045-ENSBTAG00000011944",0.00949039643301919
"ENSBTAG00000012817-ENSBTAG00000007909",0.0046552720735592
"ENSBTAG00000005339-ENSBTAG00000019866",0.00174151599032385
"ENSBTAG00000047567-ENSBTAG00000019866",0.00170750879423515
"ENSBTAG00000017745-ENSBTAG00000016933",0.000554446242542306
"ENSBTAG00000018255-ENSBTAG00000015127",-0.000377207954157022
"ENSBTAG00000010138-ENSBTAG00000019866",-0.000748543821876724
"ENSBTAG00000007740-ENSBTAG00000015127",-0.000773291079501637
"ENSBTAG00000010303-ENSBTAG00000020892",-0.00351686452348404
"ENSBTAG00000025644-ENSBTAG00000011515",-0.00981898785783919
"ENSBTAG00000005077-ENSBTAG00000015127",-0.0141347439862012
"ENSBTAG00000039355-ENSBTAG00000011515",-0.0144563505938641
"ENSBTAG00000010562-ENSBTAG00000011515",-0.0289441696904308
"ENSBTAG00000014906-ENSBTAG00000011515",-0.037480339481227
"ENSBTAG00000021105-ENSBTAG00000014031",-0.0389226683515501
"ENSBTAG00000005339-ENSBTAG00000015996",-0.0418739692332956
"ENSBTAG00000001941-ENSBTAG00000023144",-0.0440408714901235
"ENSBTAG00000015089-ENSBTAG00000023144",-0.0457251086210401
"ENSBTAG00000014583-ENSBTAG00000011515",-0.0539401611346219
"ENSBTAG00000010452-ENSBTAG00000011515",-0.0764247265846421
