"feature","dataset"
"ENSBTAG00000006655-ENSBTAG00000008218","vivo"
"ENSBTAG00000014583-ENSBTAG00000010986","vivo"
"ENSBTAG00000021807-ENSBTAG00000016247","vivo"
"ENSBTAG00000015991-ENSBTAG00000021190","vivo"
"ENSBTAG00000014906-ENSBTAG00000008008","vivo"
"ENSBTAG00000020638-ENSBTAG00000000782","vivo"
"ENSBTAG00000000793-ENSBTAG00000017266","vivo"
"ENSBTAG00000000559-ENSBTAG00000020661","vivo"
"ENSBTAG00000013472-ENSBTAG00000017866","vivo"
"ENSBTAG00000019267-ENSBTAG00000011578","vivo"
"ENSBTAG00000008237-ENSBTAG00000005273","vitro"
"ENSBTAG00000012849-ENSBTAG00000019929","vitro"
"ENSBTAG00000019665-ENSBTAG00000005273","vitro"
"ENSBTAG00000025644-ENSBTAG00000010986","vitro"
"ENSBTAG00000038221-ENSBTAG00000000815","vitro"
"ENSBTAG00000000442-ENSBTAG00000007348","vitro"
"ENSBTAG00000025644-ENSBTAG00000011425","vitro"
"ENSBTAG00000017280-ENSBTAG00000005397","vitro"
"ENSBTAG00000008300-ENSBTAG00000001462","vitro"
"ENSBTAG00000005850-ENSBTAG00000022799","vitro"
