"feature","dataset"
"ENSBTAG00000008027-ENSBTAG00000002144","vivo"
"ENSBTAG00000013155-ENSBTAG00000019289","vivo"
"ENSBTAG00000008027-ENSBTAG00000019903","vivo"
"ENSBTAG00000010562-ENSBTAG00000011515","vivo"
"ENSBTAG00000009393-ENSBTAG00000039292","vivo"
"ENSBTAG00000010303-ENSBTAG00000007626","vivo"
"ENSBTAG00000025775-ENSBTAG00000002144","vivo"
"ENSBTAG00000019716-ENSBTAG00000003220","vivo"
"ENSBTAG00000012004-ENSBTAG00000008997","vivo"
"ENSBTAG00000007273-ENSBTAG00000002144","vivo"
"ENSBTAG00000011238-ENSBTAG00000002951","vitro"
"ENSBTAG00000017745-ENSBTAG00000010423","vitro"
"ENSBTAG00000015327-ENSBTAG00000011425","vitro"
"ENSBTAG00000023652-ENSBTAG00000003166","vitro"
"ENSBTAG00000014906-ENSBTAG00000015910","vitro"
"ENSBTAG00000023652-ENSBTAG00000001694","vitro"
"ENSBTAG00000003300-ENSBTAG00000019929","vitro"
"ENSBTAG00000017745-ENSBTAG00000016933","vitro"
"ENSBTAG00000011238-ENSBTAG00000017256","vitro"
"ENSBTAG00000017564-ENSBTAG00000017846","vitro"
