feature,"dataset"
ENSBTAG00000021945-ENSBTAG00000011741,"vitro"
ENSBTAG00000005947-ENSBTAG00000015739,"vitro"
ENSBTAG00000021457-ENSBTAG00000023147,"vitro"
ENSBTAG00000000575-ENSBTAG00000015296,"vitro"
ENSBTAG00000003835-ENSBTAG00000006420,"vitro"
ENSBTAG00000008300-ENSBTAG00000011741,"vitro"
ENSBTAG00000017060-ENSBTAG00000007103,"vitro"
ENSBTAG00000008300-ENSBTAG00000018993,"vitro"
ENSBTAG00000008300-ENSBTAG00000008165,"vitro"
ENSBTAG00000011966-ENSBTAG00000019929,"vitro"
ENSBTAG00000013760-ENSBTAG00000015910,"vivo"
ENSBTAG00000012817-ENSBTAG00000007909,"vivo"
ENSBTAG00000014906-ENSBTAG00000011515,"vivo"
ENSBTAG00000025644-ENSBTAG00000011515,"vivo"
ENSBTAG00000017246-ENSBTAG00000010444,"vivo"
ENSBTAG00000010452-ENSBTAG00000011515,"vivo"
ENSBTAG00000014583-ENSBTAG00000011515,"vivo"
ENSBTAG00000017745-ENSBTAG00000015361,"vivo"
ENSBTAG00000001941-ENSBTAG00000023144,"vivo"
ENSBTAG00000007446-ENSBTAG00000003060,"vivo"
