feature,"dataset"
ENSBTAG00000010452.ENSBTAG00000011515,"vivo"
ENSBTAG00000014906.ENSBTAG00000011515,"vivo"
ENSBTAG00000012817.ENSBTAG00000007909,"vivo"
ENSBTAG00000011757.ENSBTAG00000007909,"vivo"
ENSBTAG00000017448.ENSBTAG00000011628,"vivo"
ENSBTAG00000025644.ENSBTAG00000014773,"vivo"
ENSBTAG00000026236.ENSBTAG00000019929,"vivo"
ENSBTAG00000005111.ENSBTAG00000002081,"vivo"
ENSBTAG00000003329.ENSBTAG00000002081,"vivo"
ENSBTAG00000003835.ENSBTAG00000002081,"vivo"
ENSBTAG00000005947.ENSBTAG00000013125,"vitro"
ENSBTAG00000021466.ENSBTAG00000010682,"vitro"
ENSBTAG00000013103.ENSBTAG00000010682,"vitro"
ENSBTAG00000017745.ENSBTAG00000010423,"vitro"
ENSBTAG00000005111.ENSBTAG00000008997,"vitro"
ENSBTAG00000021217.ENSBTAG00000010682,"vitro"
ENSBTAG00000000575.ENSBTAG00000015296,"vitro"
ENSBTAG00000013155.ENSBTAG00000010682,"vitro"
ENSBTAG00000010963.ENSBTAG00000009024,"vitro"
ENSBTAG00000017745.ENSBTAG00000015361,"vitro"
