feature,"dataset"
ENSBTAG00000008300.ENSBTAG00000008165,"vitro"
ENSBTAG00000004148.ENSBTAG00000003255,"vitro"
ENSBTAG00000009208.ENSBTAG00000044190,"vitro"
ENSBTAG00000020457.ENSBTAG00000008997,"vitro"
ENSBTAG00000000575.ENSBTAG00000020679,"vitro"
ENSBTAG00000020457.ENSBTAG00000013843,"vitro"
ENSBTAG00000000575.ENSBTAG00000012897,"vitro"
ENSBTAG00000005947.ENSBTAG00000018517,"vitro"
ENSBTAG00000015114.ENSBTAG00000008165,"vitro"
ENSBTAG00000015089.ENSBTAG00000002135,"vitro"
ENSBTAG00000005077.ENSBTAG00000015910,"vivo"
ENSBTAG00000005077.ENSBTAG00000015127,"vivo"
ENSBTAG00000017246.ENSBTAG00000010444,"vivo"
ENSBTAG00000007737.ENSBTAG00000010444,"vivo"
ENSBTAG00000017745.ENSBTAG00000018474,"vivo"
ENSBTAG00000017753.ENSBTAG00000020054,"vivo"
ENSBTAG00000017745.ENSBTAG00000016933,"vivo"
ENSBTAG00000013760.ENSBTAG00000015910,"vivo"
ENSBTAG00000014583.ENSBTAG00000011515,"vivo"
ENSBTAG00000003835.ENSBTAG00000002081,"vivo"
