"dataset","feature","appearance_count","avg_rank","avg_score"
"vitro","ENSBTAG00000017745.ENSBTAG00000018474",2,1.5,12.5465220886052
"vitro","ENSBTAG00000020645.ENSBTAG00000014600",2,2,12.7120224900782
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",2,3,11.3078613849883
"vitro","ENSBTAG00000014113.ENSBTAG00000019428",2,5.5,9.91169472465741
"vitro","ENSBTAG00000025257.ENSBTAG00000019428",2,5.5,11.9583581335851
"vitro","ENSBTAG00000014113.ENSBTAG00000003220",2,6.5,9.76637458974714
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",2,7.5,6.15433437202542
"vitro","ENSBTAG00000013155.ENSBTAG00000008165",2,8,8.41116406172861
"vitro","ENSBTAG00000003300.ENSBTAG00000019929",2,8.5,5.84638845841241
"vitro","ENSBTAG00000000575.ENSBTAG00000026676",2,9.5,8.40766170847673
"vitro","ENSBTAG00000013155.ENSBTAG00000008373",2,11,6.7185053395851
"vitro","ENSBTAG00000005250.ENSBTAG00000006240",2,12,7.65126739717475
"vitro","ENSBTAG00000021217.ENSBTAG00000010682",2,16.5,4.57356774803715
"vitro","ENSBTAG00000020638.ENSBTAG00000000782",2,17.5,5.18067803472327
"vitro","ENSBTAG00000016800.ENSBTAG00000007338",2,18.5,4.6078003264437
"vivo","ENSBTAG00000021697.ENSBTAG00000002804",2,1,18.9655640327359
"vivo","ENSBTAG00000014906.ENSBTAG00000011515",2,2,18.5672114528806
"vivo","ENSBTAG00000014583.ENSBTAG00000011515",2,4,10.8748389321449
"vivo","ENSBTAG00000010562.ENSBTAG00000011515",2,5,10.2691294302002
"vivo","ENSBTAG00000017866.ENSBTAG00000014031",2,5,13.1977229159098
"vivo","ENSBTAG00000010452.ENSBTAG00000011515",2,5.5,10.3401212547766
"vivo","ENSBTAG00000011851.ENSBTAG00000019866",2,7,10.441068420565
"vivo","ENSBTAG00000021697.ENSBTAG00000007173",2,8,8.42513512738883
"vivo","ENSBTAG00000005691.ENSBTAG00000011578",2,9,8.84138750522349
"vivo","ENSBTAG00000025644.ENSBTAG00000011515",2,10,8.79854680417517
"vivo","ENSBTAG00000000793.ENSBTAG00000019289",2,12,7.90597832713194
"vivo","ENSBTAG00000007773.ENSBTAG00000018993",2,12,6.38251905785728
"vivo","ENSBTAG00000015089.ENSBTAG00000023144",2,12.5,8.12164352050774
"vivo","ENSBTAG00000017745.ENSBTAG00000015361",2,14.5,6.95413774535992
"vivo","ENSBTAG00000039355.ENSBTAG00000011515",2,16.5,7.51775958898495
"vivo","ENSBTAG00000021697.ENSBTAG00000005990",2,17,5.70089400507298
