"dataset","feature","appearance_count","avg_rank","avg_score"
"vitro","ENSBTAG00000000283.ENSBTAG00000012771",2,2,8.94217793529055
"vitro","ENSBTAG00000000470.ENSBTAG00000019929",2,5,8.67951839648063
"vitro","ENSBTAG00000004630.ENSBTAG00000019929",2,5,8.40107522850106
"vitro","ENSBTAG00000015043.ENSBTAG00000022799",2,5,10.4107876626793
"vitro","ENSBTAG00000022120.ENSBTAG00000019929",2,5,8.79261295091366
"vitro","ENSBTAG00000000016.ENSBTAG00000016455",2,5.5,7.74077929349021
"vitro","ENSBTAG00000031998.ENSBTAG00000015708",2,8,8.79691734402686
"vitro","ENSBTAG00000021316.ENSBTAG00000019929",2,10.5,7.52939832987427
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",2,11,7.18512097085509
"vitro","ENSBTAG00000009357.ENSBTAG00000012771",2,13,5.9705434747632
"vitro","ENSBTAG00000020645.ENSBTAG00000021527",2,15.5,6.82092347914063
"vitro","ENSBTAG00000017280.ENSBTAG00000037735",2,17.5,5.98543787076264
"vitro","ENSBTAG00000007737.ENSBTAG00000019832",2,18,5.42610239333401
"vivo","ENSBTAG00000014583.ENSBTAG00000010986",2,2,15.9108091353125
"vivo","ENSBTAG00000025644.ENSBTAG00000010986",2,2,15.6684380884972
"vivo","ENSBTAG00000002278.ENSBTAG00000015910",2,3.5,12.0477309982745
"vivo","ENSBTAG00000002278.ENSBTAG00000019929",2,4.5,11.1040300233895
"vivo","ENSBTAG00000021697.ENSBTAG00000002804",2,5.5,9.78203968487747
"vivo","ENSBTAG00000021697.ENSBTAG00000005990",2,7,9.4423922467722
"vivo","ENSBTAG00000012817.ENSBTAG00000007909",2,7.5,6.07227861511448
"vivo","ENSBTAG00000002278.ENSBTAG00000013745",2,8.5,8.46024121396675
"vivo","ENSBTAG00000021697.ENSBTAG00000019929",2,8.5,8.44039323987148
"vivo","ENSBTAG00000002317.ENSBTAG00000014966",2,11.5,6.49787459881118
"vivo","ENSBTAG00000007773.ENSBTAG00000003418",2,11.5,5.24225083521371
"vivo","ENSBTAG00000002317.ENSBTAG00000026676",2,13,6.24605988870005
"vivo","ENSBTAG00000021697.ENSBTAG00000007173",2,13.5,7.4070181651857
"vivo","ENSBTAG00000007773.ENSBTAG00000018993",2,14.5,4.5347178446465
"vivo","ENSBTAG00000002317.ENSBTAG00000018052",2,15,6.11895537839959
"vivo","ENSBTAG00000002317.ENSBTAG00000011154",2,17,5.65620692855478
"vivo","ENSBTAG00000007773.ENSBTAG00000017060",2,18,4.23802954931109
"vivo","ENSBTAG00000020638.ENSBTAG00000000782",2,18.5,5.16854589450547
