"dataset","feature","appearance_count","avg_rank","avg_score"
"vitro","ENSBTAG00000008300.ENSBTAG00000008165",2,2,8.12447065635917
"vitro","ENSBTAG00000000575.ENSBTAG00000015296",2,3,10.9073506514187
"vitro","ENSBTAG00000005947.ENSBTAG00000015910",2,4.5,8.47612492989554
"vitro","ENSBTAG00000021945.ENSBTAG00000011741",2,5,7.88851879724588
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",2,6,6.74280300404976
"vitro","ENSBTAG00000021466.ENSBTAG00000010682",2,7,6.44854383486105
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",2,8,7.28724217613003
"vitro","ENSBTAG00000000476.ENSBTAG00000003781",2,9,6.88454665099725
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",2,9,6.78860493343164
"vitro","ENSBTAG00000000575.ENSBTAG00000012897",2,10,6.81410830346102
"vitro","ENSBTAG00000015991.ENSBTAG00000024015",2,12,5.43128478645178
"vitro","ENSBTAG00000005339.ENSBTAG00000000782",2,12.5,6.30284600734177
"vitro","ENSBTAG00000000575.ENSBTAG00000020679",2,14,5.94829813578727
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",2,15,5.65773689884318
"vitro","ENSBTAG00000008300.ENSBTAG00000018993",2,18.5,5.11822670199077
"vivo","ENSBTAG00000014583.ENSBTAG00000011515",2,1,20.0044407178312
"vivo","ENSBTAG00000025644.ENSBTAG00000011515",2,2,18.6228994174001
"vivo","ENSBTAG00000010452.ENSBTAG00000011515",2,4,17.239739806306
"vivo","ENSBTAG00000014906.ENSBTAG00000011515",2,4,16.9311484610143
"vivo","ENSBTAG00000017745.ENSBTAG00000015361",2,5,10.775073240062
"vivo","ENSBTAG00000010562.ENSBTAG00000011515",2,5.5,15.7773036834624
"vivo","ENSBTAG00000014737.ENSBTAG00000037649",2,6.5,11.3071153524643
"vivo","ENSBTAG00000001941.ENSBTAG00000023144",2,10.5,6.07500471998988
"vivo","ENSBTAG00000003329.ENSBTAG00000002081",2,11,9.07784738076821
"vivo","ENSBTAG00000015089.ENSBTAG00000023144",2,12,5.71780829833731
"vivo","ENSBTAG00000017246.ENSBTAG00000010444",2,13,6.04724613292117
"vivo","ENSBTAG00000026236.ENSBTAG00000019929",2,13.5,7.23380727051015
"vivo","ENSBTAG00000012519.ENSBTAG00000031753",2,14.5,6.02247905897964
"vivo","ENSBTAG00000001292.ENSBTAG00000032007",2,15.5,5.1963939468158
