feature,"dataset"
ENSBTAG00000000575.ENSBTAG00000015296,"vitro"
ENSBTAG00000020645.ENSBTAG00000013674,"vitro"
ENSBTAG00000005947.ENSBTAG00000015910,"vitro"
ENSBTAG00000000283.ENSBTAG00000012771,"vitro"
ENSBTAG00000021466.ENSBTAG00000010682,"vitro"
ENSBTAG00000012829.ENSBTAG00000017745,"vitro"
ENSBTAG00000011741.ENSBTAG00000015910,"vitro"
ENSBTAG00000008300.ENSBTAG00000015910,"vitro"
ENSBTAG00000017753.ENSBTAG00000004334,"vitro"
ENSBTAG00000000575.ENSBTAG00000012897,"vitro"
ENSBTAG00000010452.ENSBTAG00000011515,"vivo"
ENSBTAG00000017745.ENSBTAG00000015361,"vivo"
ENSBTAG00000021105.ENSBTAG00000014031,"vivo"
ENSBTAG00000014583.ENSBTAG00000012100,"vivo"
ENSBTAG00000005339.ENSBTAG00000015910,"vivo"
ENSBTAG00000017246.ENSBTAG00000010444,"vivo"
ENSBTAG00000007737.ENSBTAG00000011909,"vivo"
ENSBTAG00000031998.ENSBTAG00000015708,"vivo"
ENSBTAG00000014737.ENSBTAG00000037649,"vivo"
ENSBTAG00000025644.ENSBTAG00000010785,"vivo"
