"feature","dataset"
"ENSBTAG00000000575.ENSBTAG00000015296","vitro"
"ENSBTAG00000005947.ENSBTAG00000015910","vitro"
"ENSBTAG00000008300.ENSBTAG00000008165","vitro"
"ENSBTAG00000021945.ENSBTAG00000011741","vitro"
"ENSBTAG00000008300.ENSBTAG00000001462","vitro"
"ENSBTAG00000000476.ENSBTAG00000003781","vitro"
"ENSBTAG00000000575.ENSBTAG00000012897","vitro"
"ENSBTAG00000008300.ENSBTAG00000011741","vitro"
"ENSBTAG00000013103.ENSBTAG00000010682","vitro"
"ENSBTAG00000021466.ENSBTAG00000010682","vitro"
"ENSBTAG00000014583.ENSBTAG00000011515","vivo"
"ENSBTAG00000025644.ENSBTAG00000011515","vivo"
"ENSBTAG00000010452.ENSBTAG00000011515","vivo"
"ENSBTAG00000014906.ENSBTAG00000011515","vivo"
"ENSBTAG00000010562.ENSBTAG00000011515","vivo"
"ENSBTAG00000014737.ENSBTAG00000037649","vivo"
"ENSBTAG00000017745.ENSBTAG00000015361","vivo"
"ENSBTAG00000003329.ENSBTAG00000002081","vivo"
"ENSBTAG00000003835.ENSBTAG00000002081","vivo"
"ENSBTAG00000026236.ENSBTAG00000019929","vivo"
