"feature","dataset"
"ENSBTAG00000020457.ENSBTAG00000001060","vitro"
"ENSBTAG00000005947.ENSBTAG00000015910","vitro"
"ENSBTAG00000020457.ENSBTAG00000019832","vitro"
"ENSBTAG00000021945.ENSBTAG00000011741","vitro"
"ENSBTAG00000019866.ENSBTAG00000000782","vitro"
"ENSBTAG00000000575.ENSBTAG00000012119","vitro"
"ENSBTAG00000003837.ENSBTAG00000011761","vitro"
"ENSBTAG00000011238.ENSBTAG00000017256","vitro"
"ENSBTAG00000008300.ENSBTAG00000001462","vitro"
"ENSBTAG00000011238.ENSBTAG00000002951","vitro"
"ENSBTAG00000001492.ENSBTAG00000007213","vivo"
"ENSBTAG00000014465.ENSBTAG00000019929","vivo"
"ENSBTAG00000014465.ENSBTAG00000013755","vivo"
"ENSBTAG00000020221.ENSBTAG00000006835","vivo"
"ENSBTAG00000014921.ENSBTAG00000018474","vivo"
"ENSBTAG00000014921.ENSBTAG00000017745","vivo"
"ENSBTAG00000005339.ENSBTAG00000015910","vivo"
"ENSBTAG00000009478.ENSBTAG00000002081","vivo"
"ENSBTAG00000014906.ENSBTAG00000011515","vivo"
"ENSBTAG00000010161.ENSBTAG00000015133","vivo"
