"feature","dataset"
"ENSBTAG00000021945.ENSBTAG00000011741","vitro"
"ENSBTAG00000005947.ENSBTAG00000015739","vitro"
"ENSBTAG00000017753.ENSBTAG00000039292","vitro"
"ENSBTAG00000012817.ENSBTAG00000022799","vitro"
"ENSBTAG00000005947.ENSBTAG00000015910","vitro"
"ENSBTAG00000017753.ENSBTAG00000014420","vitro"
"ENSBTAG00000005339.ENSBTAG00000015910","vitro"
"ENSBTAG00000019336.ENSBTAG00000002107","vitro"
"ENSBTAG00000014737.ENSBTAG00000001462","vitro"
"ENSBTAG00000005710.ENSBTAG00000015457","vitro"
"ENSBTAG00000014583.ENSBTAG00000011515","vivo"
"ENSBTAG00000025644.ENSBTAG00000011515","vivo"
"ENSBTAG00000014906.ENSBTAG00000011515","vivo"
"ENSBTAG00000010452.ENSBTAG00000011515","vivo"
"ENSBTAG00000010562.ENSBTAG00000011515","vivo"
"ENSBTAG00000039355.ENSBTAG00000011515","vivo"
"ENSBTAG00000000016.ENSBTAG00000004211","vivo"
"ENSBTAG00000000016.ENSBTAG00000010497","vivo"
"ENSBTAG00000000016.ENSBTAG00000013674","vivo"
"ENSBTAG00000000016.ENSBTAG00000015312","vivo"
