feature,"dataset"
ENSBTAG00000020457.ENSBTAG00000001060,"vitro"
ENSBTAG00000005947.ENSBTAG00000015910,"vitro"
ENSBTAG00000020457.ENSBTAG00000019832,"vitro"
ENSBTAG00000021945.ENSBTAG00000011741,"vitro"
ENSBTAG00000019866.ENSBTAG00000000782,"vitro"
ENSBTAG00000000575.ENSBTAG00000012119,"vitro"
ENSBTAG00000003837.ENSBTAG00000011761,"vitro"
ENSBTAG00000011238.ENSBTAG00000017256,"vitro"
ENSBTAG00000008300.ENSBTAG00000001462,"vitro"
ENSBTAG00000011238.ENSBTAG00000002951,"vitro"
ENSBTAG00000014583.ENSBTAG00000011515,"vivo"
ENSBTAG00000025644.ENSBTAG00000011515,"vivo"
ENSBTAG00000014906.ENSBTAG00000011515,"vivo"
ENSBTAG00000010452.ENSBTAG00000011515,"vivo"
ENSBTAG00000010562.ENSBTAG00000011515,"vivo"
ENSBTAG00000039355.ENSBTAG00000011515,"vivo"
ENSBTAG00000000016.ENSBTAG00000004211,"vivo"
ENSBTAG00000000016.ENSBTAG00000010497,"vivo"
ENSBTAG00000000016.ENSBTAG00000013674,"vivo"
ENSBTAG00000000016.ENSBTAG00000015312,"vivo"
