"feature","dataset"
"ENSBTAG00000020406.ENSBTAG00000021527","vitro"
"ENSBTAG00000000283.ENSBTAG00000012771","vitro"
"ENSBTAG00000000016.ENSBTAG00000016455","vitro"
"ENSBTAG00000004630.ENSBTAG00000019929","vitro"
"ENSBTAG00000000470.ENSBTAG00000019929","vitro"
"ENSBTAG00000022120.ENSBTAG00000019929","vitro"
"ENSBTAG00000009761.ENSBTAG00000012314","vitro"
"ENSBTAG00000009357.ENSBTAG00000012771","vitro"
"ENSBTAG00000015043.ENSBTAG00000022799","vitro"
"ENSBTAG00000010123.ENSBTAG00000018517","vitro"
"ENSBTAG00000012817.ENSBTAG00000007909","vivo"
"ENSBTAG00000025644.ENSBTAG00000010986","vivo"
"ENSBTAG00000014583.ENSBTAG00000010986","vivo"
"ENSBTAG00000002278.ENSBTAG00000015910","vivo"
"ENSBTAG00000002278.ENSBTAG00000019929","vivo"
"ENSBTAG00000021697.ENSBTAG00000002804","vivo"
"ENSBTAG00000007773.ENSBTAG00000003418","vivo"
"ENSBTAG00000021697.ENSBTAG00000005990","vivo"
"ENSBTAG00000021697.ENSBTAG00000019929","vivo"
"ENSBTAG00000002278.ENSBTAG00000013745","vivo"
