"feature","dataset"
"ENSBTAG00000008300.ENSBTAG00000008165","vitro"
"ENSBTAG00000004148.ENSBTAG00000003255","vitro"
"ENSBTAG00000013103.ENSBTAG00000010682","vitro"
"ENSBTAG00000021466.ENSBTAG00000010682","vitro"
"ENSBTAG00000000575.ENSBTAG00000015296","vitro"
"ENSBTAG00000021945.ENSBTAG00000011741","vitro"
"ENSBTAG00000005947.ENSBTAG00000015910","vitro"
"ENSBTAG00000015991.ENSBTAG00000024015","vitro"
"ENSBTAG00000021217.ENSBTAG00000010682","vitro"
"ENSBTAG00000008300.ENSBTAG00000011741","vitro"
"ENSBTAG00000014583.ENSBTAG00000011515","vivo"
"ENSBTAG00000025644.ENSBTAG00000011515","vivo"
"ENSBTAG00000017745.ENSBTAG00000015361","vivo"
"ENSBTAG00000014906.ENSBTAG00000011515","vivo"
"ENSBTAG00000010452.ENSBTAG00000011515","vivo"
"ENSBTAG00000010562.ENSBTAG00000011515","vivo"
"ENSBTAG00000014737.ENSBTAG00000037649","vivo"
"ENSBTAG00000015089.ENSBTAG00000023144","vivo"
"ENSBTAG00000001941.ENSBTAG00000023144","vivo"
"ENSBTAG00000001492.ENSBTAG00000007213","vivo"
