"feature","dataset"
"ENSBTAG00000021697-ENSBTAG00000002804","vivo"
"ENSBTAG00000017745-ENSBTAG00000015361","vivo"
"ENSBTAG00000002317-ENSBTAG00000026676","vivo"
"ENSBTAG00000021457-ENSBTAG00000011986","vivo"
"ENSBTAG00000014583-ENSBTAG00000012100","vivo"
"ENSBTAG00000010562-ENSBTAG00000011515","vivo"
"ENSBTAG00000005359-ENSBTAG00000019832","vivo"
"ENSBTAG00000001941-ENSBTAG00000023144","vivo"
"ENSBTAG00000026779-ENSBTAG00000007103","vivo"
"ENSBTAG00000002006-ENSBTAG00000017266","vivo"
"ENSBTAG00000020645-ENSBTAG00000014600","vitro"
"ENSBTAG00000023652-ENSBTAG00000001694","vitro"
"ENSBTAG00000020638-ENSBTAG00000000782","vitro"
"ENSBTAG00000017745-ENSBTAG00000018474","vitro"
"ENSBTAG00000007897-ENSBTAG00000019903","vitro"
"ENSBTAG00000000442-ENSBTAG00000007348","vitro"
"ENSBTAG00000005710-ENSBTAG00000011425","vitro"
"ENSBTAG00000005077-ENSBTAG00000015127","vitro"
"ENSBTAG00000020645-ENSBTAG00000006208","vitro"
"ENSBTAG00000010820-ENSBTAG00000002107","vitro"
