"feature","dataset"
"ENSBTAG00000017745.ENSBTAG00000018474","vitro"
"ENSBTAG00000013103.ENSBTAG00000010682","vitro"
"ENSBTAG00000020645.ENSBTAG00000014600","vitro"
"ENSBTAG00000007773.ENSBTAG00000010347","vitro"
"ENSBTAG00000003300.ENSBTAG00000019929","vitro"
"ENSBTAG00000014113.ENSBTAG00000019428","vitro"
"ENSBTAG00000014113.ENSBTAG00000003220","vitro"
"ENSBTAG00000025257.ENSBTAG00000019428","vitro"
"ENSBTAG00000013155.ENSBTAG00000008165","vitro"
"ENSBTAG00000015509.ENSBTAG00000012687","vitro"
"ENSBTAG00000000575.ENSBTAG00000026676","vitro"
"ENSBTAG00000013155.ENSBTAG00000008373","vitro"
"ENSBTAG00000021217.ENSBTAG00000010682","vitro"
"ENSBTAG00000012829.ENSBTAG00000017745","vitro"
"ENSBTAG00000005250.ENSBTAG00000006240","vitro"
"ENSBTAG00000007773.ENSBTAG00000015910","vitro"
"ENSBTAG00000014113.ENSBTAG00000001338","vitro"
"ENSBTAG00000016800.ENSBTAG00000007338","vitro"
"ENSBTAG00000013103.ENSBTAG00000019929","vitro"
"ENSBTAG00000020638.ENSBTAG00000000782","vitro"
"ENSBTAG00000021697.ENSBTAG00000002804","vivo"
"ENSBTAG00000014906.ENSBTAG00000011515","vivo"
"ENSBTAG00000010562.ENSBTAG00000011515","vivo"
"ENSBTAG00000014583.ENSBTAG00000011515","vivo"
"ENSBTAG00000010452.ENSBTAG00000011515","vivo"
"ENSBTAG00000021697.ENSBTAG00000007173","vivo"
"ENSBTAG00000017866.ENSBTAG00000014031","vivo"
"ENSBTAG00000007773.ENSBTAG00000018993","vivo"
"ENSBTAG00000011851.ENSBTAG00000019866","vivo"
"ENSBTAG00000005691.ENSBTAG00000011578","vivo"
"ENSBTAG00000025644.ENSBTAG00000011515","vivo"
"ENSBTAG00000000793.ENSBTAG00000019289","vivo"
"ENSBTAG00000000575.ENSBTAG00000015296","vivo"
"ENSBTAG00000015089.ENSBTAG00000023144","vivo"
"ENSBTAG00000017745.ENSBTAG00000015361","vivo"
"ENSBTAG00000021697.ENSBTAG00000005990","vivo"
"ENSBTAG00000007773.ENSBTAG00000015910","vivo"
"ENSBTAG00000002317.ENSBTAG00000026676","vivo"
"ENSBTAG00000007773.ENSBTAG00000010347","vivo"
"ENSBTAG00000039355.ENSBTAG00000011515","vivo"
