"Tissue_Map","Seed","Num_Features"
"vitro_lig-endo","seed_012",15
"vitro_lig-endo","seed_017",20
"vitro_lig-endo","seed_021",10
"vitro_lig-endo","seed_022",100
"vitro_lig-endo","seed_028",10
"vitro_lig-endo","seed_041",20
"vitro_lig-endo","seed_053",60
"vitro_lig-endo","seed_062",10
"vitro_lig-endo","seed_064",30
"vitro_lig-endo","seed_094",80
"vivo_lig-endo","seed_012",200
"vivo_lig-endo","seed_017",10
"vivo_lig-endo","seed_021",100
"vivo_lig-endo","seed_022",200
"vivo_lig-endo","seed_028",10
"vivo_lig-endo","seed_041",40
"vivo_lig-endo","seed_053",15
"vivo_lig-endo","seed_062",10
"vivo_lig-endo","seed_064",25
"vivo_lig-endo","seed_094",120
