"Seed","Gene","Accuracy"
64,"ENSBTAG00000031998-ENSBTAG00000015708",0.625
64,"ENSBTAG00000010663-ENSBTAG00000019929",0.625
64,"ENSBTAG00000010663-ENSBTAG00000015910",0.625
64,"ENSBTAG00000010303-ENSBTAG00000007103",0.625
64,"ENSBTAG00000014465-ENSBTAG00000019929",0.625
64,"ENSBTAG00000012817-ENSBTAG00000022799",0.625
64,"ENSBTAG00000014921-ENSBTAG00000017745",0.625
64,"ENSBTAG00000007338-ENSBTAG00000017593",0.625
64,"ENSBTAG00000008300-ENSBTAG00000001462",0.625
64,"ENSBTAG00000021302-ENSBTAG00000015910",0.625
64,"ENSBTAG00000021466-ENSBTAG00000015910",0.625
64,"ENSBTAG00000012088-ENSBTAG00000015910",0.625
64,"ENSBTAG00000010303-ENSBTAG00000017060",0.625
64,"ENSBTAG00000001745-ENSBTAG00000015910",0.625
64,"ENSBTAG00000007273-ENSBTAG00000034385",0.625
64,"ENSBTAG00000012004-ENSBTAG00000015910",0.625
64,"ENSBTAG00000014737-ENSBTAG00000015910",0.625
64,"ENSBTAG00000012004-ENSBTAG00000019929",0.625
64,"ENSBTAG00000001292-ENSBTAG00000034385",0.625
64,"ENSBTAG00000010123-ENSBTAG00000018517",0.625
64,"ENSBTAG00000010361-ENSBTAG00000022799",0.625
64,"ENSBTAG00000012817-ENSBTAG00000007909",0.625
64,"ENSBTAG00000015509-ENSBTAG00000012687",0.625
64,"ENSBTAG00000047567-ENSBTAG00000000570",0.625
64,"ENSBTAG00000007897-ENSBTAG00000016948",0.625
64,"ENSBTAG00000015043-ENSBTAG00000022799",0.625
64,"ENSBTAG00000039355-ENSBTAG00000011515",0.625
64,"ENSBTAG00000014051-ENSBTAG00000015910",0.625
64,"ENSBTAG00000038735-ENSBTAG00000016948",0.625
64,"ENSBTAG00000000310-ENSBTAG00000022799",0.625
28,"ENSBTAG00000020406-ENSBTAG00000021527",0.75
28,"ENSBTAG00000032436-ENSBTAG00000012314",0.75
28,"ENSBTAG00000010123-ENSBTAG00000012314",0.75
28,"ENSBTAG00000009761-ENSBTAG00000012314",0.75
28,"ENSBTAG00000017685-ENSBTAG00000007421",0.75
28,"ENSBTAG00000015089-ENSBTAG00000015910",0.75
28,"ENSBTAG00000015089-ENSBTAG00000023144",0.75
28,"ENSBTAG00000017246-ENSBTAG00000012314",0.75
28,"ENSBTAG00000013162-ENSBTAG00000012314",0.75
28,"ENSBTAG00000031998-ENSBTAG00000039292",0.75
28,"ENSBTAG00000000793-ENSBTAG00000018169",0.75
28,"ENSBTAG00000014583-ENSBTAG00000010986",0.75
28,"ENSBTAG00000021457-ENSBTAG00000023147",0.75
28,"ENSBTAG00000008300-ENSBTAG00000033669",0.75
28,"ENSBTAG00000011966-ENSBTAG00000018169",0.75
28,"ENSBTAG00000005250-ENSBTAG00000008008",0.75
28,"ENSBTAG00000000442-ENSBTAG00000007348",0.75
28,"ENSBTAG00000010123-ENSBTAG00000005903",0.75
28,"ENSBTAG00000015991-ENSBTAG00000021190",0.75
28,"ENSBTAG00000014737-ENSBTAG00000037649",0.75
28,"ENSBTAG00000032436-ENSBTAG00000022799",0.75
28,"ENSBTAG00000021048-ENSBTAG00000016948",0.75
28,"ENSBTAG00000020406-ENSBTAG00000047793",0.75
28,"ENSBTAG00000015509-ENSBTAG00000012687",0.75
28,"ENSBTAG00000017473-ENSBTAG00000018169",0.75
28,"ENSBTAG00000014583-ENSBTAG00000012100",0.75
28,"ENSBTAG00000000793-ENSBTAG00000019289",0.75
28,"ENSBTAG00000022120-ENSBTAG00000013745",0.75
28,"ENSBTAG00000017582-ENSBTAG00000002699",0.75
28,"ENSBTAG00000011966-ENSBTAG00000019289",0.75
21,"ENSBTAG00000010663-ENSBTAG00000019929",0.6875
21,"ENSBTAG00000026236-ENSBTAG00000019929",0.6875
21,"ENSBTAG00000021316-ENSBTAG00000019929",0.6875
21,"ENSBTAG00000014575-ENSBTAG00000019929",0.6875
21,"ENSBTAG00000013760-ENSBTAG00000019929",0.6875
21,"ENSBTAG00000022120-ENSBTAG00000019929",0.6875
21,"ENSBTAG00000020645-ENSBTAG00000021527",0.6875
21,"ENSBTAG00000020645-ENSBTAG00000012848",0.6875
21,"ENSBTAG00000020645-ENSBTAG00000014944",0.6875
