"NOT_PREGNANT","PREGNANT"
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
76.6666666666667,76.6666666666667
73.3333333333333,73.3333333333333
66.6666666666667,66.6666666666667
66.6666666666667,66.6666666666667
63.3333333333335,63.3333333333335
50,50
50,50
50,50
36.6666666666668,36.6666666666668
33.3333333333333,33.3333333333333
33.3333333333333,33.3333333333333
33.3333333333333,33.3333333333333
23.3333333333335,23.3333333333335
23.3333333333335,23.3333333333335
20.0000000000001,20.0000000000001
13.3333333333335,13.3333333333335
0,0
0,0
0,0
0,0
0,0
0,0
0,0
