"feature","importance"
"ENSBTAG00000014921-ENSBTAG00000017745",0.1875
"ENSBTAG00000008300-ENSBTAG00000001462",0.125
"ENSBTAG00000007338-ENSBTAG00000017593",0.03125
"ENSBTAG00000001292-ENSBTAG00000034385",0.03125
"ENSBTAG00000012817-ENSBTAG00000007909",0.03125
"ENSBTAG00000015509-ENSBTAG00000012687",0.03125
"ENSBTAG00000047567-ENSBTAG00000000570",0.03125
"ENSBTAG00000031998-ENSBTAG00000015708",0
"ENSBTAG00000010663-ENSBTAG00000019929",0
"ENSBTAG00000010663-ENSBTAG00000015910",0
"ENSBTAG00000010303-ENSBTAG00000007103",0
"ENSBTAG00000014465-ENSBTAG00000019929",0
"ENSBTAG00000012817-ENSBTAG00000022799",0
"ENSBTAG00000021302-ENSBTAG00000015910",0
"ENSBTAG00000021466-ENSBTAG00000015910",0
"ENSBTAG00000012088-ENSBTAG00000015910",0
"ENSBTAG00000010303-ENSBTAG00000017060",0
"ENSBTAG00000001745-ENSBTAG00000015910",0
"ENSBTAG00000007273-ENSBTAG00000034385",0
"ENSBTAG00000012004-ENSBTAG00000015910",0
"ENSBTAG00000014737-ENSBTAG00000015910",0
"ENSBTAG00000012004-ENSBTAG00000019929",0
"ENSBTAG00000010123-ENSBTAG00000018517",0
"ENSBTAG00000010361-ENSBTAG00000022799",0
"ENSBTAG00000007897-ENSBTAG00000016948",0
"ENSBTAG00000015043-ENSBTAG00000022799",0
"ENSBTAG00000039355-ENSBTAG00000011515",0
"ENSBTAG00000014051-ENSBTAG00000015910",0
"ENSBTAG00000038735-ENSBTAG00000016948",0
"ENSBTAG00000000310-ENSBTAG00000022799",0
