"seed","rank","feature","mean_abs_shap"
64,1,"ENSBTAG00000008300-ENSBTAG00000001462",0.160233242332452
64,2,"ENSBTAG00000007338-ENSBTAG00000017593",0.0990866162199246
64,3,"ENSBTAG00000012817-ENSBTAG00000022799",0.0698105529185503
64,4,"ENSBTAG00000014921-ENSBTAG00000017745",0.0594664510752852
64,5,"ENSBTAG00000010303-ENSBTAG00000007103",0.0365106336899686
64,6,"ENSBTAG00000014465-ENSBTAG00000019929",0.0132434674076884
64,7,"ENSBTAG00000010663-ENSBTAG00000019929",0.00773889653586463
64,8,"ENSBTAG00000021302-ENSBTAG00000015910",0.00670405593144158
64,9,"ENSBTAG00000010663-ENSBTAG00000015910",0.00606751672551892
64,10,"ENSBTAG00000031998-ENSBTAG00000015708",0.00529497460814112
28,1,"ENSBTAG00000017685-ENSBTAG00000007421",0.0887087173774347
28,2,"ENSBTAG00000032436-ENSBTAG00000012314",0.0721296366108145
28,3,"ENSBTAG00000020406-ENSBTAG00000021527",0.0714226626927606
28,4,"ENSBTAG00000010123-ENSBTAG00000012314",0.0566115028752663
28,5,"ENSBTAG00000017246-ENSBTAG00000012314",0.0487836785797096
28,6,"ENSBTAG00000015089-ENSBTAG00000023144",0.0463964680146589
28,7,"ENSBTAG00000015089-ENSBTAG00000015910",0.039487720200462
28,8,"ENSBTAG00000031998-ENSBTAG00000039292",0.0175053118541255
28,9,"ENSBTAG00000009761-ENSBTAG00000012314",0.013430351357388
28,10,"ENSBTAG00000013162-ENSBTAG00000012314",0.00588569187276609
21,1,"ENSBTAG00000020645-ENSBTAG00000014944",0.0841729496216937
21,2,"ENSBTAG00000020645-ENSBTAG00000021527",0.0787608784549898
21,3,"ENSBTAG00000020645-ENSBTAG00000012848",0.0719529582281875
21,4,"ENSBTAG00000014575-ENSBTAG00000019929",0.0482114996533914
21,5,"ENSBTAG00000021316-ENSBTAG00000019929",0.0468760179721949
21,6,"ENSBTAG00000022120-ENSBTAG00000019929",0.0332704560268553
21,7,"ENSBTAG00000013760-ENSBTAG00000019929",0.03168646327027
21,8,"ENSBTAG00000026236-ENSBTAG00000019929",0.0225002339136498
21,9,"ENSBTAG00000000470-ENSBTAG00000019929",0.0221578638517215
21,10,"ENSBTAG00000010663-ENSBTAG00000019929",0.0220822169432842
94,1,"ENSBTAG00000015978-ENSBTAG00000011628",0.103167055566664
94,2,"ENSBTAG00000012228-ENSBTAG00000001814",0.0702441301480595
94,3,"ENSBTAG00000021457-ENSBTAG00000023147",0.0452749328448891
94,4,"ENSBTAG00000014556-ENSBTAG00000026676",0.0437548458382895
94,5,"ENSBTAG00000045582-ENSBTAG00000012314",0.0375440238933482
94,6,"ENSBTAG00000025257-ENSBTAG00000019428",0.0353439623747967
94,7,"ENSBTAG00000045582-ENSBTAG00000002144",0.0348841592676154
94,8,"ENSBTAG00000011563-ENSBTAG00000010497",0.0331397171627615
94,9,"ENSBTAG00000016542-ENSBTAG00000019569",0.0254872450303571
94,10,"ENSBTAG00000013155-ENSBTAG00000010682",0.020326050762932
41,1,"ENSBTAG00000010161-ENSBTAG00000015133",0.0957956958930878
41,2,"ENSBTAG00000017745-ENSBTAG00000016933",0.0814801393061845
41,3,"ENSBTAG00000017745-ENSBTAG00000010423",0.0689602756463058
41,4,"ENSBTAG00000015043-ENSBTAG00000007909",0.0656614903049515
41,5,"ENSBTAG00000017473-ENSBTAG00000018169",0.057306525477503
41,6,"ENSBTAG00000003837-ENSBTAG00000011761",0.0342868890303956
41,7,"ENSBTAG00000012817-ENSBTAG00000022799",0.0276769157335516
