"Seed","Gene","Accuracy"
64,"ENSBTAG00000021217-ENSBTAG00000010682",0.5312
64,"ENSBTAG00000013103-ENSBTAG00000010682",0.5312
64,"ENSBTAG00000021466-ENSBTAG00000010682",0.5312
64,"ENSBTAG00000005947-ENSBTAG00000013125",0.5312
64,"ENSBTAG00000017745-ENSBTAG00000010423",0.5312
64,"ENSBTAG00000005111-ENSBTAG00000008997",0.5312
64,"ENSBTAG00000000575-ENSBTAG00000015296",0.5312
64,"ENSBTAG00000017745-ENSBTAG00000015361",0.5312
64,"ENSBTAG00000013155-ENSBTAG00000010682",0.5312
64,"ENSBTAG00000010963-ENSBTAG00000009024",0.5312
64,"ENSBTAG00000006045-ENSBTAG00000011944",0.5312
64,"ENSBTAG00000017060-ENSBTAG00000010303",0.5312
64,"ENSBTAG00000017060-ENSBTAG00000007103",0.5312
64,"ENSBTAG00000007338-ENSBTAG00000017593",0.5312
64,"ENSBTAG00000016542-ENSBTAG00000018169",0.5312
64,"ENSBTAG00000009478-ENSBTAG00000018035",0.5312
64,"ENSBTAG00000001725-ENSBTAG00000001338",0.5312
64,"ENSBTAG00000026779-ENSBTAG00000007103",0.5312
64,"ENSBTAG00000025471-ENSBTAG00000012642",0.5312
64,"ENSBTAG00000000575-ENSBTAG00000020679",0.5312
64,"ENSBTAG00000034077-ENSBTAG00000017846",0.5312
64,"ENSBTAG00000040584-ENSBTAG00000021923",0.5312
64,"ENSBTAG00000011412-ENSBTAG00000017266",0.5312
64,"ENSBTAG00000005947-ENSBTAG00000017060",0.5312
64,"ENSBTAG00000007737-ENSBTAG00000018035",0.5312
64,"ENSBTAG00000005947-ENSBTAG00000015910",0.5312
64,"ENSBTAG00000016648-ENSBTAG00000017266",0.5312
64,"ENSBTAG00000017473-ENSBTAG00000017266",0.5312
64,"ENSBTAG00000017753-ENSBTAG00000015228",0.5312
64,"ENSBTAG00000017753-ENSBTAG00000020979",0.5312
28,"ENSBTAG00000007773-ENSBTAG00000003418",0.5625
28,"ENSBTAG00000007773-ENSBTAG00000010347",0.5625
28,"ENSBTAG00000007773-ENSBTAG00000015910",0.5625
28,"ENSBTAG00000021302-ENSBTAG00000015910",0.5625
28,"ENSBTAG00000020457-ENSBTAG00000015910",0.5625
28,"ENSBTAG00000000559-ENSBTAG00000020661",0.5625
28,"ENSBTAG00000007446-ENSBTAG00000020979",0.5625
28,"ENSBTAG00000000575-ENSBTAG00000015296",0.5625
28,"ENSBTAG00000006354-ENSBTAG00000025101",0.5625
28,"ENSBTAG00000013898-ENSBTAG00000047704",0.5625
21,"ENSBTAG00000021457-ENSBTAG00000023147",0.7812
21,"ENSBTAG00000008300-ENSBTAG00000011741",0.7812
21,"ENSBTAG00000008300-ENSBTAG00000001462",0.7812
21,"ENSBTAG00000008300-ENSBTAG00000008165",0.7812
21,"ENSBTAG00000008300-ENSBTAG00000018993",0.7812
21,"ENSBTAG00000008300-ENSBTAG00000014357",0.7812
21,"ENSBTAG00000008300-ENSBTAG00000017489",0.7812
21,"ENSBTAG00000000476-ENSBTAG00000003781",0.7812
21,"ENSBTAG00000005339-ENSBTAG00000000782",0.7812
21,"ENSBTAG00000005339-ENSBTAG00000019866",0.7812
94,"ENSBTAG00000008300-ENSBTAG00000008165",0.8438
94,"ENSBTAG00000004148-ENSBTAG00000003255",0.8438
94,"ENSBTAG00000009208-ENSBTAG00000044190",0.8438
94,"ENSBTAG00000020457-ENSBTAG00000008997",0.8438
94,"ENSBTAG00000000575-ENSBTAG00000020679",0.8438
94,"ENSBTAG00000020457-ENSBTAG00000013843",0.8438
94,"ENSBTAG00000000575-ENSBTAG00000012897",0.8438
94,"ENSBTAG00000005947-ENSBTAG00000018517",0.8438
94,"ENSBTAG00000015114-ENSBTAG00000008165",0.8438
94,"ENSBTAG00000015089-ENSBTAG00000002135",0.8438
94,"ENSBTAG00000025644-ENSBTAG00000020667",0.8438
94,"ENSBTAG00000014583-ENSBTAG00000020667",0.8438
94,"ENSBTAG00000013155-ENSBTAG00000008165",0.8438
94,"ENSBTAG00000010738-ENSBTAG00000001338",0.8438
94,"ENSBTAG00000013472-ENSBTAG00000008165",0.8438
94,"ENSBTAG00000013201-ENSBTAG00000020319",0.8438
94,"ENSBTAG00000010123-ENSBTAG00000018517",0.8438
94,"ENSBTAG00000005198-ENSBTAG00000015457",0.8438
94,"ENSBTAG00000002006-ENSBTAG00000008165",0.8438
94,"ENSBTAG00000000575-ENSBTAG00000015910",0.8438
94,"ENSBTAG00000021302-ENSBTAG00000015910",0.8438
94,"ENSBTAG00000000793-ENSBTAG00000015910",0.8438
94,"ENSBTAG00000007153-ENSBTAG00000012219",0.8438
94,"ENSBTAG00000025868-ENSBTAG00000008165",0.8438
94,"ENSBTAG00000010303-ENSBTAG00000007103",0.8438
94,"ENSBTAG00000000073-ENSBTAG00000018517",0.8438
94,"ENSBTAG00000000575-ENSBTAG00000026676",0.8438
94,"ENSBTAG00000025644-ENSBTAG00000004588",0.8438
94,"ENSBTAG00000025644-ENSBTAG00000004337",0.8438
94,"ENSBTAG00000014583-ENSBTAG00000004337",0.8438
94,"ENSBTAG00000010303-ENSBTAG00000020892",0.8438
94,"ENSBTAG00000005710-ENSBTAG00000015457",0.8438
94,"ENSBTAG00000012228-ENSBTAG00000010146",0.8438
94,"ENSBTAG00000000575-ENSBTAG00000015296",0.8438
94,"ENSBTAG00000003300-ENSBTAG00000002804",0.8438
94,"ENSBTAG00000005250-ENSBTAG00000006240",0.8438
94,"ENSBTAG00000025257-ENSBTAG00000001338",0.8438
94,"ENSBTAG00000008300-ENSBTAG00000017489",0.8438
94,"ENSBTAG00000001321-ENSBTAG00000005273",0.8438
94,"ENSBTAG00000000575-ENSBTAG00000011154",0.8438
94,"ENSBTAG00000006276-ENSBTAG00000047138",0.8438
94,"ENSBTAG00000000793-ENSBTAG00000018169",0.8438
94,"ENSBTAG00000014113-ENSBTAG00000001338",0.8438
94,"ENSBTAG00000001725-ENSBTAG00000001338",0.8438
94,"ENSBTAG00000007148-ENSBTAG00000008165",0.8438
94,"ENSBTAG00000014127-ENSBTAG00000020319",0.8438
94,"ENSBTAG00000006045-ENSBTAG00000034385",0.8438
94,"ENSBTAG00000020221-ENSBTAG00000005092",0.8438
94,"ENSBTAG00000021048-ENSBTAG00000020704",0.8438
94,"ENSBTAG00000008096-ENSBTAG00000019733",0.8438
94,"ENSBTAG00000008300-ENSBTAG00000011741",0.8438
94,"ENSBTAG00000021048-ENSBTAG00000017489",0.8438
94,"ENSBTAG00000005077-ENSBTAG00000015127",0.8438
94,"ENSBTAG00000020457-ENSBTAG00000015910",0.8438
94,"ENSBTAG00000005111-ENSBTAG00000008997",0.8438
94,"ENSBTAG00000021048-ENSBTAG00000019903",0.8438
94,"ENSBTAG00000013103-ENSBTAG00000004885",0.8438
94,"ENSBTAG00000010738-ENSBTAG00000014162",0.8438
94,"ENSBTAG00000005339-ENSBTAG00000003166",0.8438
94,"ENSBTAG00000020645-ENSBTAG00000006208",0.8438
94,"ENSBTAG00000019993-ENSBTAG00000027516",0.8438
94,"ENSBTAG00000021217-ENSBTAG00000010682",0.8438
94,"ENSBTAG00000021466-ENSBTAG00000004885",0.8438
94,"ENSBTAG00000005691-ENSBTAG00000015457",0.8438
94,"ENSBTAG00000007446-ENSBTAG00000008733",0.8438
94,"ENSBTAG00000015089-ENSBTAG00000023144",0.8438
94,"ENSBTAG00000015362-ENSBTAG00000008997",0.8438
94,"ENSBTAG00000020645-ENSBTAG00000010860",0.8438
94,"ENSBTAG00000006354-ENSBTAG00000025101",0.8438
94,"ENSBTAG00000000476-ENSBTAG00000003781",0.8438
94,"ENSBTAG00000005947-ENSBTAG00000015910",0.8438
94,"ENSBTAG00000011104-ENSBTAG00000020979",0.8438
94,"ENSBTAG00000005111-ENSBTAG00000006420",0.8438
94,"ENSBTAG00000017122-ENSBTAG00000011741",0.8438
94,"ENSBTAG00000008300-ENSBTAG00000001462",0.8438
94,"ENSBTAG00000000277-ENSBTAG00000011238",0.8438
94,"ENSBTAG00000012849-ENSBTAG00000015910",0.8438
94,"ENSBTAG00000017060-ENSBTAG00000007103",0.8438
94,"ENSBTAG00000010138-ENSBTAG00000019866",0.8438
94,"ENSBTAG00000020645-ENSBTAG00000017489",0.8438
41,"ENSBTAG00000000575-ENSBTAG00000015296",0.5938
41,"ENSBTAG00000002278-ENSBTAG00000019929",0.5938
41,"ENSBTAG00000018255-ENSBTAG00000015127",0.5938
41,"ENSBTAG00000012066-ENSBTAG00000019929",0.5938
41,"ENSBTAG00000026236-ENSBTAG00000019929",0.5938
41,"ENSBTAG00000000575-ENSBTAG00000020679",0.5938
41,"ENSBTAG00000005710-ENSBTAG00000015457",0.5938
41,"ENSBTAG00000021697-ENSBTAG00000007173",0.5938
41,"ENSBTAG00000011966-ENSBTAG00000019929",0.5938
41,"ENSBTAG00000016800-ENSBTAG00000007338",0.5938
41,"ENSBTAG00000000575-ENSBTAG00000012897",0.5938
41,"ENSBTAG00000020221-ENSBTAG00000005092",0.5938
41,"ENSBTAG00000013201-ENSBTAG00000020319",0.5938
41,"ENSBTAG00000021697-ENSBTAG00000019929",0.5938
41,"ENSBTAG00000005947-ENSBTAG00000013125",0.5938
41,"ENSBTAG00000005691-ENSBTAG00000015127",0.5938
41,"ENSBTAG00000011412-ENSBTAG00000019929",0.5938
41,"ENSBTAG00000040584-ENSBTAG00000021923",0.5938
41,"ENSBTAG00000008300-ENSBTAG00000019929",0.5938
41,"ENSBTAG00000013155-ENSBTAG00000008165",0.5938
12,"ENSBTAG00000020457-ENSBTAG00000001060",0.8125
12,"ENSBTAG00000020457-ENSBTAG00000019832",0.8125
12,"ENSBTAG00000005947-ENSBTAG00000015910",0.8125
12,"ENSBTAG00000017448-ENSBTAG00000011628",0.8125
12,"ENSBTAG00000011238-ENSBTAG00000002951",0.8125
12,"ENSBTAG00000007153-ENSBTAG00000012219",0.8125
12,"ENSBTAG00000003300-ENSBTAG00000002804",0.8125
12,"ENSBTAG00000019866-ENSBTAG00000000782",0.8125
12,"ENSBTAG00000003837-ENSBTAG00000011761",0.8125
12,"ENSBTAG00000011238-ENSBTAG00000017256",0.8125
12,"ENSBTAG00000021945-ENSBTAG00000011741",0.8125
12,"ENSBTAG00000016800-ENSBTAG00000000782",0.8125
12,"ENSBTAG00000005339-ENSBTAG00000000782",0.8125
12,"ENSBTAG00000000575-ENSBTAG00000026676",0.8125
12,"ENSBTAG00000000575-ENSBTAG00000012119",0.8125
53,"ENSBTAG00000000575-ENSBTAG00000015296",0.7188
53,"ENSBTAG00000017753-ENSBTAG00000015228",0.7188
53,"ENSBTAG00000005198-ENSBTAG00000015457",0.7188
53,"ENSBTAG00000000575-ENSBTAG00000020679",0.7188
53,"ENSBTAG00000011741-ENSBTAG00000015910",0.7188
53,"ENSBTAG00000017753-ENSBTAG00000020979",0.7188
53,"ENSBTAG00000000476-ENSBTAG00000003781",0.7188
53,"ENSBTAG00000000073-ENSBTAG00000014611",0.7188
53,"ENSBTAG00000016648-ENSBTAG00000017266",0.7188
53,"ENSBTAG00000021945-ENSBTAG00000011741",0.7188
53,"ENSBTAG00000007375-ENSBTAG00000015228",0.7188
53,"ENSBTAG00000011104-ENSBTAG00000020979",0.7188
53,"ENSBTAG00000017564-ENSBTAG00000017846",0.7188
53,"ENSBTAG00000007773-ENSBTAG00000017060",0.7188
53,"ENSBTAG00000017060-ENSBTAG00000010303",0.7188
53,"ENSBTAG00000009761-ENSBTAG00000002144",0.7188
53,"ENSBTAG00000007148-ENSBTAG00000034848",0.7188
53,"ENSBTAG00000008300-ENSBTAG00000017489",0.7188
53,"ENSBTAG00000013155-ENSBTAG00000008165",0.7188
53,"ENSBTAG00000007244-ENSBTAG00000011741",0.7188
53,"ENSBTAG00000021499-ENSBTAG00000008036",0.7188
53,"ENSBTAG00000005198-ENSBTAG00000019866",0.7188
53,"ENSBTAG00000000575-ENSBTAG00000012897",0.7188
53,"ENSBTAG00000014583-ENSBTAG00000020667",0.7188
53,"ENSBTAG00000013155-ENSBTAG00000008373",0.7188
53,"ENSBTAG00000025644-ENSBTAG00000020667",0.7188
53,"ENSBTAG00000013155-ENSBTAG00000015910",0.7188
53,"ENSBTAG00000000575-ENSBTAG00000015910",0.7188
53,"ENSBTAG00000020645-ENSBTAG00000010860",0.7188
53,"ENSBTAG00000011238-ENSBTAG00000017256",0.7188
53,"ENSBTAG00000007773-ENSBTAG00000010347",0.7188
53,"ENSBTAG00000000575-ENSBTAG00000026676",0.7188
53,"ENSBTAG00000045582-ENSBTAG00000002144",0.7188
53,"ENSBTAG00000012829-ENSBTAG00000017745",0.7188
53,"ENSBTAG00000005710-ENSBTAG00000015457",0.7188
53,"ENSBTAG00000021217-ENSBTAG00000010682",0.7188
53,"ENSBTAG00000019770-ENSBTAG00000012314",0.7188
53,"ENSBTAG00000008300-ENSBTAG00000011741",0.7188
53,"ENSBTAG00000005077-ENSBTAG00000015127",0.7188
53,"ENSBTAG00000005947-ENSBTAG00000017060",0.7188
53,"ENSBTAG00000020221-ENSBTAG00000012314",0.7188
53,"ENSBTAG00000009761-ENSBTAG00000012314",0.7188
53,"ENSBTAG00000013162-ENSBTAG00000002144",0.7188
53,"ENSBTAG00000005947-ENSBTAG00000013125",0.7188
53,"ENSBTAG00000021697-ENSBTAG00000007173",0.7188
