"feature","importance"
"ENSBTAG00000020457-ENSBTAG00000019832",0.09375
"ENSBTAG00000000575-ENSBTAG00000012119",0.0625
"ENSBTAG00000021945-ENSBTAG00000011741",0.03125
"ENSBTAG00000016800-ENSBTAG00000000782",0.03125
"ENSBTAG00000000575-ENSBTAG00000026676",0.03125
"ENSBTAG00000020457-ENSBTAG00000001060",0
"ENSBTAG00000005947-ENSBTAG00000015910",0
"ENSBTAG00000017448-ENSBTAG00000011628",0
"ENSBTAG00000011238-ENSBTAG00000002951",0
"ENSBTAG00000007153-ENSBTAG00000012219",0
"ENSBTAG00000003300-ENSBTAG00000002804",0
"ENSBTAG00000019866-ENSBTAG00000000782",0
"ENSBTAG00000003837-ENSBTAG00000011761",0
"ENSBTAG00000011238-ENSBTAG00000017256",0
"ENSBTAG00000005339-ENSBTAG00000000782",0
