"feature","importance"
"ENSBTAG00000025644-ENSBTAG00000011628",0.125
"ENSBTAG00000012817-ENSBTAG00000007909",0.0625
"ENSBTAG00000013472-ENSBTAG00000017866",0.03125
"ENSBTAG00000047330-ENSBTAG00000017851",0.03125
"ENSBTAG00000005198-ENSBTAG00000011628",0.03125
"ENSBTAG00000021697-ENSBTAG00000002804",0
"ENSBTAG00000021697-ENSBTAG00000005990",0
"ENSBTAG00000020645-ENSBTAG00000011628",0
"ENSBTAG00000012829-ENSBTAG00000017745",0
"ENSBTAG00000019665-ENSBTAG00000005273",0
"ENSBTAG00000021697-ENSBTAG00000007173",0
"ENSBTAG00000009357-ENSBTAG00000012771",0
"ENSBTAG00000019910-ENSBTAG00000015510",0
"ENSBTAG00000016177-ENSBTAG00000011628",0
"ENSBTAG00000021807-ENSBTAG00000016247",0
"ENSBTAG00000010123-ENSBTAG00000018517",0
"ENSBTAG00000013472-ENSBTAG00000001462",0
"ENSBTAG00000005947-ENSBTAG00000019929",0
"ENSBTAG00000009212-ENSBTAG00000012314",0
"ENSBTAG00000007737-ENSBTAG00000011628",0
"ENSBTAG00000021217-ENSBTAG00000019289",0
"ENSBTAG00000013472-ENSBTAG00000011578",0
"ENSBTAG00000000793-ENSBTAG00000019289",0
"ENSBTAG00000007273-ENSBTAG00000034385",0
"ENSBTAG00000000073-ENSBTAG00000018517",0
"ENSBTAG00000005339-ENSBTAG00000019929",0
"ENSBTAG00000008237-ENSBTAG00000005273",0
"ENSBTAG00000012398-ENSBTAG00000012314",0
"ENSBTAG00000000073-ENSBTAG00000014611",-0.03125
"ENSBTAG00000009972-ENSBTAG00000011909",-0.03125
"ENSBTAG00000005339-ENSBTAG00000011628",-0.03125
"ENSBTAG00000021697-ENSBTAG00000019929",-0.03125
"ENSBTAG00000003329-ENSBTAG00000006420",-0.03125
"ENSBTAG00000015991-ENSBTAG00000011628",-0.03125
"ENSBTAG00000000277-ENSBTAG00000027676",-0.03125
"ENSBTAG00000005339-ENSBTAG00000001694",-0.03125
"ENSBTAG00000005339-ENSBTAG00000007213",-0.03125
"ENSBTAG00000013155-ENSBTAG00000019289",-0.03125
"ENSBTAG00000015978-ENSBTAG00000011628",-0.0625
"ENSBTAG00000008300-ENSBTAG00000033669",-0.0625
