"seed","rank","feature","mean_abs_shap"
64,1,"ENSBTAG00000014583-ENSBTAG00000010986",0.118143589237802
64,2,"ENSBTAG00000016800-ENSBTAG00000000782",0.0770936385572329
64,3,"ENSBTAG00000014583-ENSBTAG00000026813",0.0693968368254525
64,4,"ENSBTAG00000025644-ENSBTAG00000010986",0.0512477859445876
64,5,"ENSBTAG00000025644-ENSBTAG00000026813",0.0490088773597172
64,6,"ENSBTAG00000019269-ENSBTAG00000019289",0.0469330688917227
64,7,"ENSBTAG00000002278-ENSBTAG00000019929",0.0448617496032202
64,8,"ENSBTAG00000002278-ENSBTAG00000015910",0.0277957128636872
64,9,"ENSBTAG00000015991-ENSBTAG00000021190",0.0109533225390645
64,10,"ENSBTAG00000002278-ENSBTAG00000013745",0.00805976570198156
28,1,"ENSBTAG00000007773-ENSBTAG00000010347",0.0834266189512502
28,2,"ENSBTAG00000007773-ENSBTAG00000015910",0.0813318194438955
28,3,"ENSBTAG00000007773-ENSBTAG00000018993",0.0802176909967373
28,4,"ENSBTAG00000007773-ENSBTAG00000003418",0.0759814578163956
28,5,"ENSBTAG00000007773-ENSBTAG00000017060",0.067326613475975
28,6,"ENSBTAG00000003658-ENSBTAG00000018517",0.0389797812709912
28,7,"ENSBTAG00000021697-ENSBTAG00000002804",0.0204280746056361
28,8,"ENSBTAG00000025644-ENSBTAG00000010986",0.0181247715857415
28,9,"ENSBTAG00000020645-ENSBTAG00000011461",0.0128372161722842
28,10,"ENSBTAG00000014583-ENSBTAG00000010986",0.00330612787870774
21,1,"ENSBTAG00000002278-ENSBTAG00000013745",0.113306581371832
21,2,"ENSBTAG00000005339-ENSBTAG00000015910",0.0877283057391451
21,3,"ENSBTAG00000005111-ENSBTAG00000006420",0.0749295482381732
21,4,"ENSBTAG00000002278-ENSBTAG00000015910",0.0743572064282047
21,5,"ENSBTAG00000002278-ENSBTAG00000019929",0.0552288985148573
21,6,"ENSBTAG00000017246-ENSBTAG00000012314",0.0444686869351813
21,7,"ENSBTAG00000008027-ENSBTAG00000012314",0.0290618203458184
21,8,"ENSBTAG00000000470-ENSBTAG00000019929",0.00320588102627358
21,9,"ENSBTAG00000003329-ENSBTAG00000006420",0.00238477017869982
21,10,"ENSBTAG00000010361-ENSBTAG00000022799",0.00216849693443462
94,1,"ENSBTAG00000014583-ENSBTAG00000010986",0.117191691526212
94,2,"ENSBTAG00000014583-ENSBTAG00000011050",0.114149616744256
94,3,"ENSBTAG00000015362-ENSBTAG00000006420",0.105217486281323
94,4,"ENSBTAG00000014906-ENSBTAG00000008008",0.0560103013680148
94,5,"ENSBTAG00000014906-ENSBTAG00000015910",0.0456834854584407
94,6,"ENSBTAG00000025644-ENSBTAG00000010986",0.0432547656377603
94,7,"ENSBTAG00000020645-ENSBTAG00000011461",0.0251897544876462
94,8,"ENSBTAG00000014906-ENSBTAG00000020755",0.0174678150142066
94,9,"ENSBTAG00000014906-ENSBTAG00000011578",0.0053139113986776
94,10,"ENSBTAG00000005947-ENSBTAG00000019712",0.00246185430588213
41,1,"ENSBTAG00000012817-ENSBTAG00000022799",0.132861203737113
41,2,"ENSBTAG00000015991-ENSBTAG00000011628",0.114646116244255
41,3,"ENSBTAG00000015978-ENSBTAG00000011628",0.100373037978311
41,4,"ENSBTAG00000021697-ENSBTAG00000002804",0.0839142187051768
41,5,"ENSBTAG00000020645-ENSBTAG00000011628",0.0670865637430509
41,6,"ENSBTAG00000021697-ENSBTAG00000019929",0.0502872049738921
41,7,"ENSBTAG00000012817-ENSBTAG00000005397",0.0398760259810664
41,8,"ENSBTAG00000012817-ENSBTAG00000007909",0.0284666988122509
41,9,"ENSBTAG00000007273-ENSBTAG00000034385",0.0274293174380785
41,10,"ENSBTAG00000021697-ENSBTAG00000005990",0.0227039008622152
12,1,"ENSBTAG00000015991-ENSBTAG00000021190",0.161786317516916
12,2,"ENSBTAG00000038045-ENSBTAG00000018572",0.0625546347204783
12,3,"ENSBTAG00000012817-ENSBTAG00000005397",0.0575508308478682
12,4,"ENSBTAG00000005339-ENSBTAG00000011628",0.0562557902101373
12,5,"ENSBTAG00000012817-ENSBTAG00000022799",0.0490041586645797
12,6,"ENSBTAG00000014583-ENSBTAG00000010986",0.0489426254931563
12,7,"ENSBTAG00000012817-ENSBTAG00000007909",0.0380979981031401
12,8,"ENSBTAG00000025644-ENSBTAG00000010986",0.0186901038899532
12,9,"ENSBTAG00000016800-ENSBTAG00000000782",0.00707215400491051
12,10,"ENSBTAG00000014737-ENSBTAG00000000782",0.00383592577642967
53,1,"ENSBTAG00000014583-ENSBTAG00000010986",0.114377662956434
53,2,"ENSBTAG00000000073-ENSBTAG00000014611",0.113313726202664
53,3,"ENSBTAG00000013162-ENSBTAG00000012314",0.101684213756542
53,4,"ENSBTAG00000025644-ENSBTAG00000010986",0.0639711960581195
53,5,"ENSBTAG00000016800-ENSBTAG00000000782",0.0338498637486601
53,6,"ENSBTAG00000032436-ENSBTAG00000010444",0.0174759983529962
53,7,"ENSBTAG00000002278-ENSBTAG00000015910",0.0142052540978117
53,8,"ENSBTAG00000002278-ENSBTAG00000019929",0.00848281646776031
