"feature","importance"
"ENSBTAG00000014583-ENSBTAG00000011515",0.125
"ENSBTAG00000017745-ENSBTAG00000015361",0.09375
"ENSBTAG00000025644-ENSBTAG00000011515",0.0625
"ENSBTAG00000012817-ENSBTAG00000007909",0.03125
"ENSBTAG00000014906-ENSBTAG00000011515",0.03125
"ENSBTAG00000011757-ENSBTAG00000007909",0.03125
"ENSBTAG00000017448-ENSBTAG00000011628",0
"ENSBTAG00000010452-ENSBTAG00000011515",0
"ENSBTAG00000003329-ENSBTAG00000002081",0
"ENSBTAG00000026236-ENSBTAG00000019929",0
"ENSBTAG00000003835-ENSBTAG00000002081",0
"ENSBTAG00000025644-ENSBTAG00000014773",0
"ENSBTAG00000005111-ENSBTAG00000002081",0
"ENSBTAG00000007740-ENSBTAG00000007909",0
"ENSBTAG00000007737-ENSBTAG00000007909",0
"ENSBTAG00000032436-ENSBTAG00000007909",0
"ENSBTAG00000005710-ENSBTAG00000009851",0
"ENSBTAG00000017246-ENSBTAG00000007909",0
"ENSBTAG00000010361-ENSBTAG00000007909",0
"ENSBTAG00000047567-ENSBTAG00000019866",0
"ENSBTAG00000007737-ENSBTAG00000002081",0
"ENSBTAG00000004086-ENSBTAG00000019712",0
"ENSBTAG00000039355-ENSBTAG00000011515",0
"ENSBTAG00000009478-ENSBTAG00000002081",0
"ENSBTAG00000017564-ENSBTAG00000000561",0
