gene,shap,seed
ENSBTAG00000021697-ENSBTAG00000007173,0.08505427110522126,seed_012
ENSBTAG00000005077-ENSBTAG00000015127,0.06606450124620765,seed_012
ENSBTAG00000003300-ENSBTAG00000002804,0.049595326413769236,seed_012
ENSBTAG00000012817-ENSBTAG00000022799,0.048741578729408715,seed_012
ENSBTAG00000020457-ENSBTAG00000019832,0.038123100085419186,seed_012
ENSBTAG00000008096-ENSBTAG00000019733,0.025749088927099824,seed_012
ENSBTAG00000007153-ENSBTAG00000012219,0.023203002124668026,seed_012
ENSBTAG00000000575-ENSBTAG00000012119,0.01907827999401512,seed_012
ENSBTAG00000005947-ENSBTAG00000015910,0.018147015494662553,seed_012
ENSBTAG00000020457-ENSBTAG00000015910,0.015451303763498958,seed_012
ENSBTAG00000001745-ENSBTAG00000019289,0.039050488757857944,seed_017
ENSBTAG00000015991-ENSBTAG00000024015,0.03331860475345355,seed_017
ENSBTAG00000000476-ENSBTAG00000003781,0.030595169527737713,seed_017
ENSBTAG00000010312-ENSBTAG00000020199,0.023607749609157784,seed_017
ENSBTAG00000020342-ENSBTAG00000035084,0.022792800048325543,seed_017
ENSBTAG00000005691-ENSBTAG00000010543,0.020115071383141135,seed_017
ENSBTAG00000005077-ENSBTAG00000001060,0.01779096562549691,seed_017
ENSBTAG00000020645-ENSBTAG00000020199,0.01723598888429732,seed_017
ENSBTAG00000004129-ENSBTAG00000001338,0.017184193174319566,seed_017
ENSBTAG00000005947-ENSBTAG00000013125,0.015930250168796338,seed_017
ENSBTAG00000021457-ENSBTAG00000023147,0.08974818414194106,seed_021
ENSBTAG00000008300-ENSBTAG00000011741,0.07543021227955567,seed_021
ENSBTAG00000008300-ENSBTAG00000001462,0.06704141136665515,seed_021
ENSBTAG00000008300-ENSBTAG00000018993,0.052907348026283475,seed_021
ENSBTAG00000008300-ENSBTAG00000008165,0.05226649809375281,seed_021
ENSBTAG00000008300-ENSBTAG00000017489,0.046435924240318276,seed_021
ENSBTAG00000008300-ENSBTAG00000014357,0.026797901994441094,seed_021
ENSBTAG00000022635-ENSBTAG00000009757,0.04581773935333054,seed_022
ENSBTAG00000008096-ENSBTAG00000019733,0.042120364003724764,seed_022
ENSBTAG00000021697-ENSBTAG00000007173,0.03828260429457019,seed_022
ENSBTAG00000025644-ENSBTAG00000020667,0.03499467808378394,seed_022
ENSBTAG00000009476-ENSBTAG00000011971,0.0342455607060441,seed_022
ENSBTAG00000014583-ENSBTAG00000020667,0.029168251577991165,seed_022
ENSBTAG00000018255-ENSBTAG00000015127,0.022193569939246406,seed_022
ENSBTAG00000032436-ENSBTAG00000018035,0.0209583477549528,seed_022
ENSBTAG00000007737-ENSBTAG00000018035,0.02026814296216279,seed_022
ENSBTAG00000005077-ENSBTAG00000015127,0.01916112363696309,seed_022
ENSBTAG00000007773-ENSBTAG00000010347,0.033963883950856165,seed_028
ENSBTAG00000007773-ENSBTAG00000003418,0.033386487081341495,seed_028
ENSBTAG00000007773-ENSBTAG00000015910,0.03281561615158439,seed_028
ENSBTAG00000020457-ENSBTAG00000015910,0.02467454435539939,seed_028
ENSBTAG00000007446-ENSBTAG00000020979,0.020896457970232034,seed_028
ENSBTAG00000003300-ENSBTAG00000002804,0.01885880200742558,seed_028
ENSBTAG00000017745-ENSBTAG00000010423,0.01872394643651255,seed_028
ENSBTAG00000005077-ENSBTAG00000001060,0.01793202887966997,seed_028
