"feature","importance"
"ENSBTAG00000009476-ENSBTAG00000011971",0.254600591982241
"ENSBTAG00000008096-ENSBTAG00000019733",0.102374508453473
"ENSBTAG00000013898-ENSBTAG00000047704",0.0408546015112333
"ENSBTAG00000020457-ENSBTAG00000019832",0.0330319951664262
"ENSBTAG00000008300-ENSBTAG00000017489",0.0277797900410108
"ENSBTAG00000016800-ENSBTAG00000000782",0.0232160299494689
"ENSBTAG00000005947-ENSBTAG00000015739",0.0175777028464876
"ENSBTAG00000005077-ENSBTAG00000015127",0.01650803890776
"ENSBTAG00000002006-ENSBTAG00000017866",0.0163384072348786
"ENSBTAG00000007446-ENSBTAG00000008733",0.0156920893419631
"ENSBTAG00000007773-ENSBTAG00000015910",0.0110247610342006
"ENSBTAG00000008300-ENSBTAG00000018993",0.0108240061545094
"ENSBTAG00000005947-ENSBTAG00000015910",0.00959290661749823
"ENSBTAG00000021302-ENSBTAG00000015910",0.00931092923000909
"ENSBTAG00000006354-ENSBTAG00000025101",0.00645943695303886
"ENSBTAG00000005339-ENSBTAG00000000782",0.00373253147337305
"ENSBTAG00000000476-ENSBTAG00000003781",0.00224271581686186
"ENSBTAG00000007737-ENSBTAG00000018035",-0.0022103106651078
"ENSBTAG00000008300-ENSBTAG00000008165",-0.00454721406755221
"ENSBTAG00000018255-ENSBTAG00000015127",-0.0100949527378854
"ENSBTAG00000000575-ENSBTAG00000026676",-0.0109320676507192
"ENSBTAG00000003837-ENSBTAG00000011761",-0.011800820290601
"ENSBTAG00000040584-ENSBTAG00000021923",-0.0129536699863581
"ENSBTAG00000022635-ENSBTAG00000009757",-0.0148004221803206
"ENSBTAG00000012066-ENSBTAG00000013569",-0.0167341855754494
"ENSBTAG00000014583-ENSBTAG00000020667",-0.0181907198915678
"ENSBTAG00000013201-ENSBTAG00000020319",-0.0214466252759898
"ENSBTAG00000032436-ENSBTAG00000018035",-0.0303724330442322
"ENSBTAG00000020221-ENSBTAG00000005092",-0.0310418670625789
"ENSBTAG00000001745-ENSBTAG00000019289",-0.0317482381230184
"ENSBTAG00000025644-ENSBTAG00000020667",-0.0615469443717799
"ENSBTAG00000003253-ENSBTAG00000011434",-0.0624823728409178
"ENSBTAG00000021697-ENSBTAG00000007173",-0.0889249626297222
