gene,mean_shap,sd_shap,n_seeds
ENSBTAG00000021945-ENSBTAG00000011741,0.12525243855108595,NA,1
ENSBTAG00000005947-ENSBTAG00000015739,0.09227176937850191,NA,1
ENSBTAG00000021457-ENSBTAG00000023147,0.08974818414194106,NA,1
ENSBTAG00000000575-ENSBTAG00000015296,0.0836681153697522,0.09899241279665878,3
ENSBTAG00000003835-ENSBTAG00000006420,0.07549021026732446,NA,1
ENSBTAG00000008300-ENSBTAG00000011741,0.07543021227955567,NA,1
ENSBTAG00000017060-ENSBTAG00000007103,0.06350222796551526,NA,1
ENSBTAG00000008300-ENSBTAG00000018993,0.052907348026283475,NA,1
ENSBTAG00000008300-ENSBTAG00000008165,0.05226649809375281,NA,1
ENSBTAG00000011966-ENSBTAG00000019929,0.05130327552792866,NA,1
