"feature","importance"
"ENSBTAG00000017745-ENSBTAG00000015361",0.135330260456786
"ENSBTAG00000010738-ENSBTAG00000003220",0.0421222966777602
"ENSBTAG00000012817-ENSBTAG00000007909",0.0385004826025778
"ENSBTAG00000017564-ENSBTAG00000000561",0.0383453333241686
"ENSBTAG00000025644-ENSBTAG00000012100",0.0352212698867821
"ENSBTAG00000014583-ENSBTAG00000012100",0.0299296846635124
"ENSBTAG00000040584-ENSBTAG00000021923",0.025506722037526
"ENSBTAG00000014906-ENSBTAG00000011515",0.0219106982728606
"ENSBTAG00000010562-ENSBTAG00000011515",0.0165170136435035
"ENSBTAG00000005077-ENSBTAG00000015910",0.0150135257988965
"ENSBTAG00000001460-ENSBTAG00000020661",0.0138893448606584
"ENSBTAG00000025644-ENSBTAG00000011515",0.0137131695440685
"ENSBTAG00000005077-ENSBTAG00000015127",0.0131918554934211
"ENSBTAG00000003329-ENSBTAG00000002081",0.0128959960551292
"ENSBTAG00000010361-ENSBTAG00000007909",0.0126956148747887
"ENSBTAG00000021105-ENSBTAG00000014031",0.0110700908849166
"ENSBTAG00000021457-ENSBTAG00000011986",0.0109688720602782
"ENSBTAG00000011412-ENSBTAG00000019929",0.0100352908444619
"ENSBTAG00000015362-ENSBTAG00000011909",0.00857907408944328
"ENSBTAG00000014583-ENSBTAG00000011515",0.00801783258648731
"ENSBTAG00000010452-ENSBTAG00000011515",0.00735225700041628
"ENSBTAG00000003835-ENSBTAG00000002081",0.00596588646706522
"ENSBTAG00000001941-ENSBTAG00000023144",0.00593765411337013
"ENSBTAG00000015362-ENSBTAG00000006420",0.00580450559122231
"ENSBTAG00000017753-ENSBTAG00000020054",0.00492928802997328
"ENSBTAG00000005111-ENSBTAG00000002081",0.00491029297889164
"ENSBTAG00000017745-ENSBTAG00000016933",0.0046452407589847
"ENSBTAG00000018255-ENSBTAG00000015127",0.00373012148885543
"ENSBTAG00000007740-ENSBTAG00000015127",0.00294070499825982
"ENSBTAG00000015089-ENSBTAG00000023144",0.00288607307753594
"ENSBTAG00000005691-ENSBTAG00000014357",0.00283077936159917
"ENSBTAG00000010673-ENSBTAG00000006359",0.00201153336615298
"ENSBTAG00000017246-ENSBTAG00000010444",0.000370070987828486
"ENSBTAG00000032436-ENSBTAG00000010444",0.000340856705243114
"ENSBTAG00000005339-ENSBTAG00000003166",0.000191052703135297
"ENSBTAG00000031998-ENSBTAG00000039292",2.62388936655977e-05
"ENSBTAG00000039355-ENSBTAG00000011515",-0.000125869369746762
"ENSBTAG00000000575-ENSBTAG00000020679",-0.000171270365802972
"ENSBTAG00000005339-ENSBTAG00000019866",-0.000255184404644365
"ENSBTAG00000003832-ENSBTAG00000022799",-0.000394362799129799
"ENSBTAG00000047567-ENSBTAG00000019866",-0.00041835982751437
"ENSBTAG00000010138-ENSBTAG00000019866",-0.000658875218589122
"ENSBTAG00000007737-ENSBTAG00000010444",-0.000827666482391992
"ENSBTAG00000005710-ENSBTAG00000009851",-0.00268786264100404
"ENSBTAG00000005339-ENSBTAG00000015910",-0.00338855856363343
"ENSBTAG00000002080-ENSBTAG00000022799",-0.00828466520411961
"ENSBTAG00000007737-ENSBTAG00000011909",-0.00949316480546963
"ENSBTAG00000005339-ENSBTAG00000007213",-0.0097962160618871
"ENSBTAG00000007446-ENSBTAG00000003060",-0.0310850046907996
