gene,mean_shap,sd_shap,n_seeds
ENSBTAG00000013760-ENSBTAG00000015910,0.10182253277184296,NA,1
ENSBTAG00000012817-ENSBTAG00000007909,0.08381162152754519,0.09667005148065888,3
ENSBTAG00000014906-ENSBTAG00000011515,0.07826366743802428,0.03854966524399689,3
ENSBTAG00000025644-ENSBTAG00000011515,0.07484370856168025,0.05433766502661531,2
ENSBTAG00000017246-ENSBTAG00000010444,0.059883523315747124,0.05386227646161947,3
ENSBTAG00000010452-ENSBTAG00000011515,0.058488916559697054,0.05284045513213664,5
ENSBTAG00000014583-ENSBTAG00000011515,0.0533689455147971,0.045603076292680754,3
ENSBTAG00000017745-ENSBTAG00000015361,0.05242079054399884,0.01901868416807275,6
ENSBTAG00000001941-ENSBTAG00000023144,0.04546768192639111,NA,1
ENSBTAG00000007446-ENSBTAG00000003060,0.045421613784581844,NA,1
