"feature","importance"
"ENSBTAG00000045582-ENSBTAG00000012314",0.21875
"ENSBTAG00000017745-ENSBTAG00000010423",0.0625
"ENSBTAG00000025775-ENSBTAG00000016948",0.0625
"ENSBTAG00000017280-ENSBTAG00000037735",0.03125
"ENSBTAG00000025775-ENSBTAG00000019903",0.03125
"ENSBTAG00000003658-ENSBTAG00000018517",0.03125
"ENSBTAG00000009212-ENSBTAG00000012314",0
"ENSBTAG00000031998-ENSBTAG00000015708",0
"ENSBTAG00000012817-ENSBTAG00000022799",0
"ENSBTAG00000007338-ENSBTAG00000004917",0
"ENSBTAG00000012529-ENSBTAG00000012899",0
"ENSBTAG00000001292-ENSBTAG00000032007",0
"ENSBTAG00000014737-ENSBTAG00000015910",0
"ENSBTAG00000014737-ENSBTAG00000000782",0
"ENSBTAG00000025644-ENSBTAG00000010986",0
"ENSBTAG00000017280-ENSBTAG00000039292",0
"ENSBTAG00000001321-ENSBTAG00000013205",0
"ENSBTAG00000007273-ENSBTAG00000012314",0
"ENSBTAG00000010303-ENSBTAG00000007626",0
"ENSBTAG00000014737-ENSBTAG00000000802",0
"ENSBTAG00000010963-ENSBTAG00000000973",0
"ENSBTAG00000015978-ENSBTAG00000039292",0
"ENSBTAG00000017280-ENSBTAG00000005397",0
"ENSBTAG00000001292-ENSBTAG00000034385",0
"ENSBTAG00000010303-ENSBTAG00000017060",0
"ENSBTAG00000010726-ENSBTAG00000025101",0
"ENSBTAG00000014737-ENSBTAG00000037649",0
"ENSBTAG00000015043-ENSBTAG00000007909",0
"ENSBTAG00000022635-ENSBTAG00000012897",0
"ENSBTAG00000010161-ENSBTAG00000015133",0
"ENSBTAG00000005850-ENSBTAG00000022799",0
"ENSBTAG00000006505-ENSBTAG00000006240",0
"ENSBTAG00000017745-ENSBTAG00000016933",0
"ENSBTAG00000005250-ENSBTAG00000008008",0
"ENSBTAG00000007273-ENSBTAG00000034385",0
"ENSBTAG00000022635-ENSBTAG00000015910",0
"ENSBTAG00000022635-ENSBTAG00000009757",0
"ENSBTAG00000010303-ENSBTAG00000007103",0
"ENSBTAG00000014737-ENSBTAG00000011971",0
"ENSBTAG00000014737-ENSBTAG00000001462",0
"ENSBTAG00000007273-ENSBTAG00000011738",0
"ENSBTAG00000021457-ENSBTAG00000011986",0
"ENSBTAG00000008300-ENSBTAG00000001462",0
"ENSBTAG00000008300-ENSBTAG00000015910",0
"ENSBTAG00000017745-ENSBTAG00000018474",0
"ENSBTAG00000010303-ENSBTAG00000011628",0
"ENSBTAG00000000476-ENSBTAG00000003781",0
"ENSBTAG00000031998-ENSBTAG00000039292",0
"ENSBTAG00000017246-ENSBTAG00000010444",0
"ENSBTAG00000006354-ENSBTAG00000025101",0
"ENSBTAG00000025775-ENSBTAG00000020704",0
"ENSBTAG00000015043-ENSBTAG00000022799",-0.03125
"ENSBTAG00000017745-ENSBTAG00000015361",-0.03125
"ENSBTAG00000000310-ENSBTAG00000022799",-0.03125
"ENSBTAG00000017549-ENSBTAG00000002699",-0.03125
"ENSBTAG00000011409-ENSBTAG00000001941",-0.03125
"ENSBTAG00000017280-ENSBTAG00000047793",-0.03125
"ENSBTAG00000010303-ENSBTAG00000020892",-0.03125
"ENSBTAG00000018103-ENSBTAG00000011154",-0.03125
"ENSBTAG00000007338-ENSBTAG00000017593",-0.0625
