	x
1	ENSBTAG00000021217-ENSBTAG00000010682
2	ENSBTAG00000013103-ENSBTAG00000010682
3	ENSBTAG00000021466-ENSBTAG00000010682
4	ENSBTAG00000005947-ENSBTAG00000013125
5	ENSBTAG00000017745-ENSBTAG00000010423
6	ENSBTAG00000005111-ENSBTAG00000008997
7	ENSBTAG00000000575-ENSBTAG00000015296
8	ENSBTAG00000017745-ENSBTAG00000015361
9	ENSBTAG00000013155-ENSBTAG00000010682
10	ENSBTAG00000010963-ENSBTAG00000009024
11	ENSBTAG00000006045-ENSBTAG00000011944
12	ENSBTAG00000017060-ENSBTAG00000010303
13	ENSBTAG00000017060-ENSBTAG00000007103
14	ENSBTAG00000007338-ENSBTAG00000017593
15	ENSBTAG00000016542-ENSBTAG00000018169
16	ENSBTAG00000009478-ENSBTAG00000018035
17	ENSBTAG00000001725-ENSBTAG00000001338
18	ENSBTAG00000026779-ENSBTAG00000007103
19	ENSBTAG00000025471-ENSBTAG00000012642
20	ENSBTAG00000000575-ENSBTAG00000020679
21	ENSBTAG00000034077-ENSBTAG00000017846
22	ENSBTAG00000040584-ENSBTAG00000021923
23	ENSBTAG00000011412-ENSBTAG00000017266
24	ENSBTAG00000005947-ENSBTAG00000017060
25	ENSBTAG00000007737-ENSBTAG00000018035
26	ENSBTAG00000005947-ENSBTAG00000015910
27	ENSBTAG00000016648-ENSBTAG00000017266
28	ENSBTAG00000017473-ENSBTAG00000017266
29	ENSBTAG00000017753-ENSBTAG00000015228
30	ENSBTAG00000017753-ENSBTAG00000020979
31	ENSBTAG00000007773-ENSBTAG00000003418
32	ENSBTAG00000007773-ENSBTAG00000010347
33	ENSBTAG00000007773-ENSBTAG00000015910
34	ENSBTAG00000021302-ENSBTAG00000015910
35	ENSBTAG00000020457-ENSBTAG00000015910
36	ENSBTAG00000000559-ENSBTAG00000020661
37	ENSBTAG00000007446-ENSBTAG00000020979
38	ENSBTAG00000006354-ENSBTAG00000025101
39	ENSBTAG00000013898-ENSBTAG00000047704
40	ENSBTAG00000021457-ENSBTAG00000023147
41	ENSBTAG00000008300-ENSBTAG00000011741
42	ENSBTAG00000008300-ENSBTAG00000001462
43	ENSBTAG00000008300-ENSBTAG00000008165
44	ENSBTAG00000008300-ENSBTAG00000018993
45	ENSBTAG00000008300-ENSBTAG00000014357
46	ENSBTAG00000008300-ENSBTAG00000017489
47	ENSBTAG00000000476-ENSBTAG00000003781
48	ENSBTAG00000005339-ENSBTAG00000000782
49	ENSBTAG00000005339-ENSBTAG00000019866
50	ENSBTAG00000004148-ENSBTAG00000003255
51	ENSBTAG00000009208-ENSBTAG00000044190
52	ENSBTAG00000020457-ENSBTAG00000008997
53	ENSBTAG00000020457-ENSBTAG00000013843
54	ENSBTAG00000000575-ENSBTAG00000012897
55	ENSBTAG00000005947-ENSBTAG00000018517
56	ENSBTAG00000015114-ENSBTAG00000008165
57	ENSBTAG00000015089-ENSBTAG00000002135
58	ENSBTAG00000025644-ENSBTAG00000020667
59	ENSBTAG00000014583-ENSBTAG00000020667
60	ENSBTAG00000013155-ENSBTAG00000008165
61	ENSBTAG00000010738-ENSBTAG00000001338
62	ENSBTAG00000013472-ENSBTAG00000008165
63	ENSBTAG00000013201-ENSBTAG00000020319
64	ENSBTAG00000010123-ENSBTAG00000018517
65	ENSBTAG00000005198-ENSBTAG00000015457
66	ENSBTAG00000002006-ENSBTAG00000008165
67	ENSBTAG00000000575-ENSBTAG00000015910
68	ENSBTAG00000000793-ENSBTAG00000015910
69	ENSBTAG00000007153-ENSBTAG00000012219
70	ENSBTAG00000025868-ENSBTAG00000008165
71	ENSBTAG00000010303-ENSBTAG00000007103
72	ENSBTAG00000000073-ENSBTAG00000018517
73	ENSBTAG00000000575-ENSBTAG00000026676
74	ENSBTAG00000025644-ENSBTAG00000004588
75	ENSBTAG00000025644-ENSBTAG00000004337
76	ENSBTAG00000014583-ENSBTAG00000004337
77	ENSBTAG00000010303-ENSBTAG00000020892
78	ENSBTAG00000005710-ENSBTAG00000015457
79	ENSBTAG00000012228-ENSBTAG00000010146
80	ENSBTAG00000003300-ENSBTAG00000002804
81	ENSBTAG00000005250-ENSBTAG00000006240
82	ENSBTAG00000025257-ENSBTAG00000001338
83	ENSBTAG00000001321-ENSBTAG00000005273
84	ENSBTAG00000000575-ENSBTAG00000011154
85	ENSBTAG00000006276-ENSBTAG00000047138
86	ENSBTAG00000000793-ENSBTAG00000018169
87	ENSBTAG00000014113-ENSBTAG00000001338
88	ENSBTAG00000007148-ENSBTAG00000008165
89	ENSBTAG00000014127-ENSBTAG00000020319
90	ENSBTAG00000006045-ENSBTAG00000034385
91	ENSBTAG00000020221-ENSBTAG00000005092
92	ENSBTAG00000021048-ENSBTAG00000020704
93	ENSBTAG00000008096-ENSBTAG00000019733
94	ENSBTAG00000021048-ENSBTAG00000017489
95	ENSBTAG00000005077-ENSBTAG00000015127
96	ENSBTAG00000021048-ENSBTAG00000019903
97	ENSBTAG00000013103-ENSBTAG00000004885
98	ENSBTAG00000010738-ENSBTAG00000014162
