"seed","dataset","train_accuracy","test_accuracy","train_kappa","test_kappa","sensitivity","specificity","balanced_accuracy","auc"
64,"vitro_lig-endo",1,0.53125,1,0.0625,0.625,0.4375,0.53125,0.58203125
28,"vitro_lig-endo",1,0.5625,1,0.125,1,0.125,0.5625,0.6328125
21,"vitro_lig-endo",1,0.78125,1,0.5625,0.8125,0.75,0.78125,0.8359375
94,"vitro_lig-endo",1,0.84375,1,0.6875,1,0.6875,0.84375,0.8125
41,"vitro_lig-endo",1,0.59375,1,0.1875,0.5,0.6875,0.59375,0.71875
12,"vitro_lig-endo",1,0.8125,1,0.625,1,0.625,0.8125,0.71484375
53,"vitro_lig-endo",1,0.71875,1,0.4375,0.875,0.5625,0.71875,0.73046875
22,"vitro_lig-endo",1,0.625,1,0.25,0.9375,0.3125,0.625,0.59375
17,"vitro_lig-endo",1,0.71875,1,0.4375,1,0.4375,0.71875,0.640625
62,"vitro_lig-endo",1,0.6875,1,0.375,1,0.375,0.6875,0.78125
