"feature","importance"
"ENSBTAG00000009476-ENSBTAG00000011971",0.0625
"ENSBTAG00000013201-ENSBTAG00000020319",0.03125
"ENSBTAG00000014583-ENSBTAG00000020667",0.03125
"ENSBTAG00000003253-ENSBTAG00000011434",0.03125
"ENSBTAG00000012164-ENSBTAG00000010498",0.03125
"ENSBTAG00000005077-ENSBTAG00000015127",0.03125
"ENSBTAG00000007446-ENSBTAG00000008733",0.03125
"ENSBTAG00000018255-ENSBTAG00000015127",0.03125
"ENSBTAG00000007737-ENSBTAG00000018035",0.03125
"ENSBTAG00000014113-ENSBTAG00000014162",0
"ENSBTAG00000014113-ENSBTAG00000003220",0
"ENSBTAG00000025257-ENSBTAG00000014162",0
"ENSBTAG00000025257-ENSBTAG00000001338",0
"ENSBTAG00000012066-ENSBTAG00000013569",0
"ENSBTAG00000014113-ENSBTAG00000001338",0
"ENSBTAG00000022635-ENSBTAG00000009757",0
"ENSBTAG00000001321-ENSBTAG00000013205",0
"ENSBTAG00000005947-ENSBTAG00000017060",0
"ENSBTAG00000010138-ENSBTAG00000019866",0
"ENSBTAG00000017246-ENSBTAG00000006240",0
"ENSBTAG00000003253-ENSBTAG00000007665",0
"ENSBTAG00000019716-ENSBTAG00000003220",0
"ENSBTAG00000025257-ENSBTAG00000019428",0
"ENSBTAG00000017246-ENSBTAG00000022799",0
"ENSBTAG00000005481-ENSBTAG00000003166",0
"ENSBTAG00000017753-ENSBTAG00000015228",0
"ENSBTAG00000012829-ENSBTAG00000016933",0
"ENSBTAG00000007148-ENSBTAG00000008165",0
"ENSBTAG00000004594-ENSBTAG00000011578",0
"ENSBTAG00000002006-ENSBTAG00000008165",0
"ENSBTAG00000014113-ENSBTAG00000019428",0
"ENSBTAG00000021807-ENSBTAG00000021664",0
"ENSBTAG00000015114-ENSBTAG00000008165",0
"ENSBTAG00000015114-ENSBTAG00000017489",0
"ENSBTAG00000022120-ENSBTAG00000008165",0
"ENSBTAG00000022120-ENSBTAG00000017060",0
"ENSBTAG00000022120-ENSBTAG00000006240",0
"ENSBTAG00000001321-ENSBTAG00000005273",0
"ENSBTAG00000015150-ENSBTAG00000016933",0
"ENSBTAG00000012057-ENSBTAG00000005072",0
"ENSBTAG00000007773-ENSBTAG00000017060",0
"ENSBTAG00000011757-ENSBTAG00000011578",0
"ENSBTAG00000009208-ENSBTAG00000044190",0
"ENSBTAG00000009476-ENSBTAG00000013745",0
"ENSBTAG00000014583-ENSBTAG00000026813",0
"ENSBTAG00000014583-ENSBTAG00000004337",0
"ENSBTAG00000021807-ENSBTAG00000016247",0
"ENSBTAG00000012817-ENSBTAG00000005397",0
"ENSBTAG00000021048-ENSBTAG00000017489",0
"ENSBTAG00000017753-ENSBTAG00000020979",0
"ENSBTAG00000008300-ENSBTAG00000011578",0
"ENSBTAG00000008300-ENSBTAG00000008165",0
"ENSBTAG00000008300-ENSBTAG00000017489",0
"ENSBTAG00000018103-ENSBTAG00000006240",0
"ENSBTAG00000003176-ENSBTAG00000017060",0
"ENSBTAG00000046421-ENSBTAG00000006240",0
"ENSBTAG00000017745-ENSBTAG00000016933",0
"ENSBTAG00000014556-ENSBTAG00000026676",0
"ENSBTAG00000000283-ENSBTAG00000012771",0
"ENSBTAG00000020194-ENSBTAG00000015457",0
"ENSBTAG00000017312-ENSBTAG00000017136",0
"ENSBTAG00000017753-ENSBTAG00000004334",0
"ENSBTAG00000032436-ENSBTAG00000018035",0
"ENSBTAG00000025644-ENSBTAG00000020667",0
"ENSBTAG00000001764-ENSBTAG00000026676",0
"ENSBTAG00000007737-ENSBTAG00000006240",0
"ENSBTAG00000021697-ENSBTAG00000007173",0
"ENSBTAG00000011851-ENSBTAG00000018572",0
"ENSBTAG00000006295-ENSBTAG00000019903",0
"ENSBTAG00000006295-ENSBTAG00000017489",0
"ENSBTAG00000013718-ENSBTAG00000005072",0
"ENSBTAG00000008300-ENSBTAG00000018993",0
"ENSBTAG00000013898-ENSBTAG00000016159",0
"ENSBTAG00000005947-ENSBTAG00000015910",0
"ENSBTAG00000023652-ENSBTAG00000001694",0
"ENSBTAG00000020221-ENSBTAG00000005092",0
"ENSBTAG00000002006-ENSBTAG00000014269",0
"ENSBTAG00000007773-ENSBTAG00000018993",0
"ENSBTAG00000020661-ENSBTAG00000017851",0
"ENSBTAG00000021048-ENSBTAG00000019903",0
"ENSBTAG00000019964-ENSBTAG00000003166",0
"ENSBTAG00000011104-ENSBTAG00000017425",0
"ENSBTAG00000017246-ENSBTAG00000019832",0
"ENSBTAG00000011104-ENSBTAG00000020979",0
"ENSBTAG00000021316-ENSBTAG00000015910",0
"ENSBTAG00000005850-ENSBTAG00000022799",0
"ENSBTAG00000025775-ENSBTAG00000019903",0
"ENSBTAG00000025775-ENSBTAG00000017489",0
"ENSBTAG00000039355-ENSBTAG00000011578",0
"ENSBTAG00000005108-ENSBTAG00000010462",0
"ENSBTAG00000020194-ENSBTAG00000010543",0
"ENSBTAG00000003837-ENSBTAG00000011761",0
"ENSBTAG00000031998-ENSBTAG00000015708",0
"ENSBTAG00000006354-ENSBTAG00000017060",0
"ENSBTAG00000019665-ENSBTAG00000005273",0
"ENSBTAG00000008026-ENSBTAG00000047138",0
"ENSBTAG00000000016-ENSBTAG00000015312",0
"ENSBTAG00000002006-ENSBTAG00000017866",-0.03125
"ENSBTAG00000011757-ENSBTAG00000004334",-0.03125
"ENSBTAG00000025644-ENSBTAG00000019021",-0.03125
