"NOT_PREGNANT","PREGNANT"
100,100
100,100
96.25,96.25
95,95
92.5,92.5
90,90
90,90
81.25,81.25
77.5,77.5
77.5,77.5
73.75,73.75
73.75,73.75
73.75,73.75
70,70
70,70
67.5,67.5
67.5,67.5
66.25,66.25
66.25,66.25
65,65
63.75,63.75
63.75,63.75
62.5,62.5
62.5,62.5
58.75,58.75
58.75,58.75
58.75,58.75
56.25,56.25
55,55
55,55
53.75,53.75
53.75,53.75
51.25,51.25
51.25,51.25
50,50
47.5,47.5
47.5,47.5
46.25,46.25
44.375,44.375
42.5,42.5
41.25,41.25
41.25,41.25
40,40
40,40
40,40
40,40
38.75,38.75
37.5,37.5
36.25,36.25
36.25,36.25
35,35
32.5,32.5
31.25,31.25
30,30
25,25
23.75,23.75
23.75,23.75
21.25,21.25
21.25,21.25
18.75,18.75
18.125,18.125
17.5,17.5
17.5,17.5
17.5,17.5
17.5,17.5
13.75,13.75
12.5,12.5
12.5,12.5
12.5,12.5
11.25,11.25
8.74999999999999,8.74999999999999
8.74999999999999,8.74999999999999
7.50000000000004,7.50000000000004
7.50000000000004,7.50000000000004
6.25000000000001,6.25000000000001
6.25000000000001,6.25000000000001
4.99999999999997,4.99999999999997
4.99999999999997,4.99999999999997
1.25000000000004,1.25000000000004
0,0
