"seed","rank","feature","mean_abs_shap"
64,1,"ENSBTAG00000013103-ENSBTAG00000010682",0.0525717398836712
64,2,"ENSBTAG00000005947-ENSBTAG00000013125",0.0504823330886568
64,3,"ENSBTAG00000021217-ENSBTAG00000010682",0.0479758611351562
64,4,"ENSBTAG00000021466-ENSBTAG00000010682",0.0465637109168987
64,5,"ENSBTAG00000005947-ENSBTAG00000015910",0.0310959382528496
64,6,"ENSBTAG00000013155-ENSBTAG00000010682",0.0283520348421852
64,7,"ENSBTAG00000017745-ENSBTAG00000010423",0.0261502450649583
64,8,"ENSBTAG00000009478-ENSBTAG00000018035",0.0185148944810855
64,9,"ENSBTAG00000017060-ENSBTAG00000007103",0.0172550077350441
64,10,"ENSBTAG00000034077-ENSBTAG00000017846",0.0164142716042703
28,1,"ENSBTAG00000020457-ENSBTAG00000015910",0.122006001085501
28,2,"ENSBTAG00000021302-ENSBTAG00000015910",0.0766212331775147
28,3,"ENSBTAG00000000559-ENSBTAG00000020661",0.0444534082768869
28,4,"ENSBTAG00000007773-ENSBTAG00000015910",0.0428330987058942
28,5,"ENSBTAG00000007773-ENSBTAG00000010347",0.0423593231844353
28,6,"ENSBTAG00000000575-ENSBTAG00000015296",0.0422078303061967
28,7,"ENSBTAG00000007773-ENSBTAG00000003418",0.0360942780909833
28,8,"ENSBTAG00000013898-ENSBTAG00000047704",0.0266794954318457
28,9,"ENSBTAG00000007446-ENSBTAG00000020979",0.0205491223963937
28,10,"ENSBTAG00000006354-ENSBTAG00000025101",0.013474902302618
21,1,"ENSBTAG00000021457-ENSBTAG00000023147",0.119033403815344
21,2,"ENSBTAG00000000476-ENSBTAG00000003781",0.0728265345555821
21,3,"ENSBTAG00000008300-ENSBTAG00000011741",0.0378357587482859
21,4,"ENSBTAG00000005339-ENSBTAG00000019866",0.0347856290913231
21,5,"ENSBTAG00000008300-ENSBTAG00000001462",0.0340674312338657
21,6,"ENSBTAG00000005339-ENSBTAG00000000782",0.0286464294474897
