"seed","dataset","train_accuracy","test_accuracy","train_kappa","test_kappa","sensitivity","specificity","balanced_accuracy","auc"
64,"vivo_lig-embryo",1,0.71875,1,0.4375,0.8125,0.625,0.71875,0.77734375
28,"vivo_lig-embryo",1,0.75,1,0.5,0.75,0.75,0.75,0.81640625
21,"vivo_lig-embryo",1,0.65625,1,0.3125,0.75,0.5625,0.65625,0.65234375
94,"vivo_lig-embryo",1,0.78125,1,0.5625,0.8125,0.75,0.78125,0.7734375
41,"vivo_lig-embryo",1,0.75,1,0.5,0.5,1,0.75,0.703125
12,"vivo_lig-embryo",1,0.96875,1,0.9375,1,0.9375,0.96875,1
53,"vivo_lig-embryo",1,0.8125,1,0.625,0.75,0.875,0.8125,0.87890625
22,"vivo_lig-embryo",1,0.78125,1,0.5625,1,0.5625,0.78125,0.77734375
17,"vivo_lig-embryo",1,0.71875,1,0.4375,0.5625,0.875,0.71875,0.8203125
62,"vivo_lig-embryo",1,0.78125,1,0.5625,0.625,0.9375,0.78125,0.8984375
