"feature","importance"
"ENSBTAG00000014906-ENSBTAG00000015910",0.0625
"ENSBTAG00000015362-ENSBTAG00000000231",0.0625
"ENSBTAG00000015362-ENSBTAG00000008997",0.0625
"ENSBTAG00000014906-ENSBTAG00000008008",0.03125
"ENSBTAG00000014583-ENSBTAG00000011050",0.03125
"ENSBTAG00000014906-ENSBTAG00000011578",0.03125
"ENSBTAG00000015362-ENSBTAG00000006420",0.03125
"ENSBTAG00000015362-ENSBTAG00000011909",0.03125
"ENSBTAG00000007273-ENSBTAG00000011738",0.03125
"ENSBTAG00000025644-ENSBTAG00000010986",0
"ENSBTAG00000005947-ENSBTAG00000019712",0
"ENSBTAG00000013472-ENSBTAG00000017866",0
"ENSBTAG00000014583-ENSBTAG00000010986",-0.03125
"ENSBTAG00000020645-ENSBTAG00000011461",-0.03125
"ENSBTAG00000014906-ENSBTAG00000020755",-0.03125
