	x
1	ENSBTAG00000017448-ENSBTAG00000011628
2	ENSBTAG00000010452-ENSBTAG00000011515
3	ENSBTAG00000003329-ENSBTAG00000002081
4	ENSBTAG00000012817-ENSBTAG00000007909
5	ENSBTAG00000026236-ENSBTAG00000019929
6	ENSBTAG00000014906-ENSBTAG00000011515
7	ENSBTAG00000003835-ENSBTAG00000002081
8	ENSBTAG00000025644-ENSBTAG00000014773
9	ENSBTAG00000005111-ENSBTAG00000002081
10	ENSBTAG00000011757-ENSBTAG00000007909
11	ENSBTAG00000007740-ENSBTAG00000007909
12	ENSBTAG00000014583-ENSBTAG00000011515
13	ENSBTAG00000007737-ENSBTAG00000007909
14	ENSBTAG00000032436-ENSBTAG00000007909
15	ENSBTAG00000005710-ENSBTAG00000009851
16	ENSBTAG00000017246-ENSBTAG00000007909
17	ENSBTAG00000010361-ENSBTAG00000007909
18	ENSBTAG00000047567-ENSBTAG00000019866
19	ENSBTAG00000025644-ENSBTAG00000011515
20	ENSBTAG00000007737-ENSBTAG00000002081
21	ENSBTAG00000017745-ENSBTAG00000015361
22	ENSBTAG00000004086-ENSBTAG00000019712
23	ENSBTAG00000039355-ENSBTAG00000011515
24	ENSBTAG00000009478-ENSBTAG00000002081
25	ENSBTAG00000017564-ENSBTAG00000000561
26	ENSBTAG00000001941-ENSBTAG00000023144
27	ENSBTAG00000021105-ENSBTAG00000014031
28	ENSBTAG00000010138-ENSBTAG00000019866
29	ENSBTAG00000005339-ENSBTAG00000019866
30	ENSBTAG00000005339-ENSBTAG00000003166
31	ENSBTAG00000006045-ENSBTAG00000011944
32	ENSBTAG00000015089-ENSBTAG00000023144
33	ENSBTAG00000010562-ENSBTAG00000011515
34	ENSBTAG00000025644-ENSBTAG00000010785
35	ENSBTAG00000009476-ENSBTAG00000013745
36	ENSBTAG00000002006-ENSBTAG00000003585
37	ENSBTAG00000014583-ENSBTAG00000012100
38	ENSBTAG00000017246-ENSBTAG00000006161
39	ENSBTAG00000021316-ENSBTAG00000019289
40	ENSBTAG00000012849-ENSBTAG00000003585
41	ENSBTAG00000009615-ENSBTAG00000013290
42	ENSBTAG00000000575-ENSBTAG00000019289
43	ENSBTAG00000009476-ENSBTAG00000015910
44	ENSBTAG00000021316-ENSBTAG00000003585
45	ENSBTAG00000030710-ENSBTAG00000013755
46	ENSBTAG00000021302-ENSBTAG00000019289
47	ENSBTAG00000021048-ENSBTAG00000008483
48	ENSBTAG00000025644-ENSBTAG00000012100
49	ENSBTAG00000000575-ENSBTAG00000015296
50	ENSBTAG00000013155-ENSBTAG00000019289
51	ENSBTAG00000016177-ENSBTAG00000011628
52	ENSBTAG00000015978-ENSBTAG00000013290
53	ENSBTAG00000017122-ENSBTAG00000019289
54	ENSBTAG00000019269-ENSBTAG00000019289
55	ENSBTAG00000007773-ENSBTAG00000010347
56	ENSBTAG00000017246-ENSBTAG00000010444
57	ENSBTAG00000019993-ENSBTAG00000027516
58	ENSBTAG00000008300-ENSBTAG00000019289
59	ENSBTAG00000011966-ENSBTAG00000019289
60	ENSBTAG00000012849-ENSBTAG00000019289
61	ENSBTAG00000032436-ENSBTAG00000006161
62	ENSBTAG00000007148-ENSBTAG00000034848
63	ENSBTAG00000014583-ENSBTAG00000012687
64	ENSBTAG00000008026-ENSBTAG00000007175
65	ENSBTAG00000011802-ENSBTAG00000019289
66	ENSBTAG00000017746-ENSBTAG00000010462
67	ENSBTAG00000003505-ENSBTAG00000006161
68	ENSBTAG00000005198-ENSBTAG00000019866
69	ENSBTAG00000003505-ENSBTAG00000011628
70	ENSBTAG00000011412-ENSBTAG00000019289
71	ENSBTAG00000021466-ENSBTAG00000019289
72	ENSBTAG00000013103-ENSBTAG00000019289
73	ENSBTAG00000013201-ENSBTAG00000020319
74	ENSBTAG00000005111-ENSBTAG00000018114
75	ENSBTAG00000016542-ENSBTAG00000019289
76	ENSBTAG00000014583-ENSBTAG00000020667
77	ENSBTAG00000012829-ENSBTAG00000016933
78	ENSBTAG00000040333-ENSBTAG00000013290
79	ENSBTAG00000005077-ENSBTAG00000015127
80	ENSBTAG00000013472-ENSBTAG00000019289
81	ENSBTAG00000001745-ENSBTAG00000019289
82	ENSBTAG00000007773-ENSBTAG00000015910
83	ENSBTAG00000021217-ENSBTAG00000019289
84	ENSBTAG00000013363-ENSBTAG00000009851
85	ENSBTAG00000019604-ENSBTAG00000009851
86	ENSBTAG00000017473-ENSBTAG00000019289
87	ENSBTAG00000014575-ENSBTAG00000019929
88	ENSBTAG00000011808-ENSBTAG00000018105
89	ENSBTAG00000005947-ENSBTAG00000015910
90	ENSBTAG00000007737-ENSBTAG00000006161
91	ENSBTAG00000016260-ENSBTAG00000011628
92	ENSBTAG00000000793-ENSBTAG00000019289
93	ENSBTAG00000010663-ENSBTAG00000013745
94	ENSBTAG00000011104-ENSBTAG00000017425
95	ENSBTAG00000005339-ENSBTAG00000007213
96	ENSBTAG00000017468-ENSBTAG00000013557
97	ENSBTAG00000025644-ENSBTAG00000012687
98	ENSBTAG00000011082-ENSBTAG00000012687
99	ENSBTAG00000020638-ENSBTAG00000000782
100	ENSBTAG00000019866-ENSBTAG00000009851
101	ENSBTAG00000006276-ENSBTAG00000047138
102	ENSBTAG00000017745-ENSBTAG00000016933
103	ENSBTAG00000013718-ENSBTAG00000005072
104	ENSBTAG00000017746-ENSBTAG00000009851
105	ENSBTAG00000015509-ENSBTAG00000012687
106	ENSBTAG00000002880-ENSBTAG00000012687
107	ENSBTAG00000000575-ENSBTAG00000012119
108	ENSBTAG00000015991-ENSBTAG00000021190
109	ENSBTAG00000011851-ENSBTAG00000018572
110	ENSBTAG00000015043-ENSBTAG00000007909
111	ENSBTAG00000017122-ENSBTAG00000000782
112	ENSBTAG00000005947-ENSBTAG00000018517
113	ENSBTAG00000025868-ENSBTAG00000013755
