"seed","dataset","train_accuracy","test_accuracy","train_kappa","test_kappa","sensitivity","specificity","balanced_accuracy","auc"
64,"vivo_lig-endo",1,0.875,1,0.75,0.75,1,0.875,0.93359375
28,"vivo_lig-endo",1,0.75,1,0.5,0.75,0.75,0.75,0.875
21,"vivo_lig-endo",1,0.75,1,0.5,0.75,0.75,0.75,0.78515625
94,"vivo_lig-endo",1,0.8125,1,0.625,0.75,0.875,0.8125,0.87890625
41,"vivo_lig-endo",1,0.75,1,0.5,0.5625,0.9375,0.75,0.70703125
12,"vivo_lig-endo",1,0.75,1,0.5,1,0.5,0.75,0.859375
53,"vivo_lig-endo",1,0.875,1,0.75,0.75,1,0.875,0.7890625
22,"vivo_lig-endo",1,0.90625,1,0.8125,1,0.8125,0.90625,0.9609375
17,"vivo_lig-endo",1,0.90625,1,0.8125,0.8125,1,0.90625,0.9921875
62,"vivo_lig-endo",1,0.875,1,0.75,1,0.75,0.875,1
