"feature","importance"
"ENSBTAG00000008611-ENSBTAG00000011761",0.0625
"ENSBTAG00000016515-ENSBTAG00000015510",0.0625
"ENSBTAG00000010303-ENSBTAG00000007626",0.0625
"ENSBTAG00000003835-ENSBTAG00000002081",0.0625
"ENSBTAG00000010963-ENSBTAG00000002414",0.0625
"ENSBTAG00000011966-ENSBTAG00000015910",0.0625
"ENSBTAG00000017745-ENSBTAG00000015361",0.03125
"ENSBTAG00000017468-ENSBTAG00000013557",0.03125
"ENSBTAG00000005339-ENSBTAG00000019866",0.03125
"ENSBTAG00000040584-ENSBTAG00000021923",0.03125
"ENSBTAG00000025644-ENSBTAG00000011515",0.03125
"ENSBTAG00000014583-ENSBTAG00000012100",0.03125
"ENSBTAG00000011851-ENSBTAG00000015510",0.03125
"ENSBTAG00000019910-ENSBTAG00000015510",0.03125
"ENSBTAG00000005280-ENSBTAG00000048246",0.03125
"ENSBTAG00000010138-ENSBTAG00000019866",0.03125
"ENSBTAG00000020244-ENSBTAG00000015510",0.03125
"ENSBTAG00000003329-ENSBTAG00000002081",0.03125
"ENSBTAG00000007740-ENSBTAG00000013320",0.03125
"ENSBTAG00000017866-ENSBTAG00000006240",0.03125
"ENSBTAG00000024394-ENSBTAG00000019866",0.03125
"ENSBTAG00000007773-ENSBTAG00000018993",0.03125
"ENSBTAG00000007148-ENSBTAG00000034848",0.03125
"ENSBTAG00000034077-ENSBTAG00000003848",0
"ENSBTAG00000034077-ENSBTAG00000017846",0
"ENSBTAG00000034077-ENSBTAG00000018999",0
"ENSBTAG00000006655-ENSBTAG00000008218",0
"ENSBTAG00000010452-ENSBTAG00000011515",0
"ENSBTAG00000034077-ENSBTAG00000023731",0
"ENSBTAG00000014583-ENSBTAG00000011515",0
"ENSBTAG00000010562-ENSBTAG00000011515",0
"ENSBTAG00000005947-ENSBTAG00000018517",0
"ENSBTAG00000012817-ENSBTAG00000007909",0
"ENSBTAG00000047567-ENSBTAG00000019866",0
"ENSBTAG00000005198-ENSBTAG00000019866",0
"ENSBTAG00000014906-ENSBTAG00000011515",0
"ENSBTAG00000021316-ENSBTAG00000019289",0
"ENSBTAG00000005710-ENSBTAG00000014064",0
"ENSBTAG00000002880-ENSBTAG00000013755",0
"ENSBTAG00000014583-ENSBTAG00000012687",0
"ENSBTAG00000005198-ENSBTAG00000014064",0
"ENSBTAG00000025868-ENSBTAG00000013755",0
"ENSBTAG00000000559-ENSBTAG00000020661",0
"ENSBTAG00000010361-ENSBTAG00000007909",0
"ENSBTAG00000005710-ENSBTAG00000009851",0
"ENSBTAG00000004777-ENSBTAG00000017753",0
"ENSBTAG00000026236-ENSBTAG00000019929",0
"ENSBTAG00000012849-ENSBTAG00000003585",0
"ENSBTAG00000002006-ENSBTAG00000003585",0
"ENSBTAG00000010963-ENSBTAG00000003255",0
"ENSBTAG00000000575-ENSBTAG00000019289",0
"ENSBTAG00000007740-ENSBTAG00000007909",0
"ENSBTAG00000015991-ENSBTAG00000021190",0
"ENSBTAG00000012413-ENSBTAG00000014064",0
"ENSBTAG00000009476-ENSBTAG00000013745",0
"ENSBTAG00000021316-ENSBTAG00000003585",0
"ENSBTAG00000015801-ENSBTAG00000015510",0
"ENSBTAG00000000442-ENSBTAG00000007348",0
"ENSBTAG00000003837-ENSBTAG00000011761",0
"ENSBTAG00000009476-ENSBTAG00000015910",0
"ENSBTAG00000008096-ENSBTAG00000019733",0
"ENSBTAG00000013363-ENSBTAG00000009851",0
"ENSBTAG00000032436-ENSBTAG00000007909",0
"ENSBTAG00000007737-ENSBTAG00000007909",0
"ENSBTAG00000003837-ENSBTAG00000002606",0
"ENSBTAG00000015327-ENSBTAG00000011425",0
"ENSBTAG00000010963-ENSBTAG00000009024",0
"ENSBTAG00000006686-ENSBTAG00000015910",0
"ENSBTAG00000025644-ENSBTAG00000012100",0
"ENSBTAG00000013155-ENSBTAG00000019289",0
"ENSBTAG00000010312-ENSBTAG00000014064",0
"ENSBTAG00000015742-ENSBTAG00000017060",0
"ENSBTAG00000011757-ENSBTAG00000007909",0
"ENSBTAG00000005691-ENSBTAG00000014064",0
"ENSBTAG00000005339-ENSBTAG00000000570",0
"ENSBTAG00000005339-ENSBTAG00000003166",0
"ENSBTAG00000012210-ENSBTAG00000039292",0
"ENSBTAG00000032436-ENSBTAG00000014064",0
"ENSBTAG00000017246-ENSBTAG00000014064",0
"ENSBTAG00000005077-ENSBTAG00000015127",0
"ENSBTAG00000007737-ENSBTAG00000014064",0
"ENSBTAG00000011082-ENSBTAG00000012687",0
"ENSBTAG00000000073-ENSBTAG00000000736",0
"ENSBTAG00000021457-ENSBTAG00000011986",0
"ENSBTAG00000013066-ENSBTAG00000012687",0
"ENSBTAG00000019604-ENSBTAG00000009851",0
"ENSBTAG00000017745-ENSBTAG00000018474",0
"ENSBTAG00000025644-ENSBTAG00000012687",0
"ENSBTAG00000021316-ENSBTAG00000019929",0
"ENSBTAG00000015177-ENSBTAG00000010249",0
"ENSBTAG00000007725-ENSBTAG00000012687",0
"ENSBTAG00000017246-ENSBTAG00000007909",0
"ENSBTAG00000005198-ENSBTAG00000010543",0
"ENSBTAG00000025644-ENSBTAG00000014773",0
"ENSBTAG00000000575-ENSBTAG00000015296",0
"ENSBTAG00000017745-ENSBTAG00000016933",0
"ENSBTAG00000010123-ENSBTAG00000018517",0
"ENSBTAG00000025644-ENSBTAG00000011425",0
"ENSBTAG00000015362-ENSBTAG00000011909",0
"ENSBTAG00000008300-ENSBTAG00000019289",0
"ENSBTAG00000010663-ENSBTAG00000013745",0
"ENSBTAG00000021316-ENSBTAG00000015910",0
"ENSBTAG00000047567-ENSBTAG00000000570",0
"ENSBTAG00000039355-ENSBTAG00000011515",0
"ENSBTAG00000000575-ENSBTAG00000012897",0
"ENSBTAG00000005691-ENSBTAG00000019866",0
"ENSBTAG00000011585-ENSBTAG00000015046",0
"ENSBTAG00000010303-ENSBTAG00000020892",0
"ENSBTAG00000012849-ENSBTAG00000019289",0
"ENSBTAG00000000575-ENSBTAG00000015910",0
"ENSBTAG00000019866-ENSBTAG00000009851",0
"ENSBTAG00000018134-ENSBTAG00000010444",0
"ENSBTAG00000011238-ENSBTAG00000002951",0
"ENSBTAG00000013688-ENSBTAG00000019866",0
"ENSBTAG00000005947-ENSBTAG00000015910",0
"ENSBTAG00000007773-ENSBTAG00000010347",0
