"seed","rank","feature","mean_abs_shap"
64,1,"ENSBTAG00000047567-ENSBTAG00000019866",0.069037312826153
64,2,"ENSBTAG00000017745-ENSBTAG00000015361",0.0661224691490075
64,3,"ENSBTAG00000010452-ENSBTAG00000011515",0.0448819558888212
64,4,"ENSBTAG00000005710-ENSBTAG00000009851",0.0379531509741396
64,5,"ENSBTAG00000014583-ENSBTAG00000011515",0.0370154835966312
64,6,"ENSBTAG00000025644-ENSBTAG00000011515",0.0357538522763232
64,7,"ENSBTAG00000014906-ENSBTAG00000011515",0.0330620500782832
64,8,"ENSBTAG00000017564-ENSBTAG00000000561",0.030021731387374
64,9,"ENSBTAG00000012817-ENSBTAG00000007909",0.0253449590688332
64,10,"ENSBTAG00000010361-ENSBTAG00000007909",0.0250908627398152
28,1,"ENSBTAG00000010452-ENSBTAG00000011515",0.112585356529884
28,2,"ENSBTAG00000001941-ENSBTAG00000023144",0.111799603641972
28,3,"ENSBTAG00000025644-ENSBTAG00000011515",0.106279338550158
28,4,"ENSBTAG00000021105-ENSBTAG00000014031",0.105769773359069
28,5,"ENSBTAG00000015089-ENSBTAG00000023144",0.0582039529954984
28,6,"ENSBTAG00000006045-ENSBTAG00000011944",0.00993832945934776
28,7,"ENSBTAG00000010138-ENSBTAG00000019866",0.00859102172000117
28,8,"ENSBTAG00000047567-ENSBTAG00000019866",0.00632916772762589
28,9,"ENSBTAG00000005339-ENSBTAG00000003166",0.000975869729465647
28,10,"ENSBTAG00000005339-ENSBTAG00000019866",0.000883863251930308
21,1,"ENSBTAG00000025644-ENSBTAG00000011515",0.0265194764606681
21,2,"ENSBTAG00000010562-ENSBTAG00000011515",0.0262799575036506
21,3,"ENSBTAG00000010452-ENSBTAG00000011515",0.0261027731225632
21,4,"ENSBTAG00000014583-ENSBTAG00000011515",0.0258540598177201
21,5,"ENSBTAG00000014906-ENSBTAG00000011515",0.0257215307574248
21,6,"ENSBTAG00000039355-ENSBTAG00000011515",0.018965022741355
21,7,"ENSBTAG00000017745-ENSBTAG00000015361",0.0137220083890554
21,8,"ENSBTAG00000014583-ENSBTAG00000012100",0.0122753923472496
21,9,"ENSBTAG00000025644-ENSBTAG00000012100",0.012170125926789
21,10,"ENSBTAG00000005339-ENSBTAG00000007213",0.0109012483200863
94,1,"ENSBTAG00000017745-ENSBTAG00000015361",0.0348323928067593
94,2,"ENSBTAG00000034077-ENSBTAG00000023731",0.025746634436214
94,3,"ENSBTAG00000008611-ENSBTAG00000011761",0.0163113823713603
94,4,"ENSBTAG00000034077-ENSBTAG00000017846",0.013994245130734
94,5,"ENSBTAG00000021457-ENSBTAG00000011986",0.0134284064722919
94,6,"ENSBTAG00000014583-ENSBTAG00000012100",0.0132808782783871
94,7,"ENSBTAG00000003835-ENSBTAG00000002081",0.0131387552880582
94,8,"ENSBTAG00000034077-ENSBTAG00000018999",0.0128605217913218
94,9,"ENSBTAG00000003329-ENSBTAG00000002081",0.0125679474818756
94,10,"ENSBTAG00000025644-ENSBTAG00000012100",0.0125567622695209
41,1,"ENSBTAG00000005111-ENSBTAG00000006420",0.0463931421132861
41,2,"ENSBTAG00000040584-ENSBTAG00000021923",0.0386829015941004
41,3,"ENSBTAG00000007737-ENSBTAG00000011909",0.0378447828715349
41,4,"ENSBTAG00000011412-ENSBTAG00000019929",0.0292044501804169
41,5,"ENSBTAG00000005111-ENSBTAG00000000231",0.0289275278100269
41,6,"ENSBTAG00000010738-ENSBTAG00000003220",0.0286133954565218
41,7,"ENSBTAG00000011808-ENSBTAG00000018105",0.025825825760322
41,8,"ENSBTAG00000000470-ENSBTAG00000019929",0.0255897871856754
41,9,"ENSBTAG00000014583-ENSBTAG00000012100",0.0253182174566182
41,10,"ENSBTAG00000005691-ENSBTAG00000014357",0.025063459056344
12,1,"ENSBTAG00000005339-ENSBTAG00000015996",0.0203296525947142
12,2,"ENSBTAG00000005339-ENSBTAG00000011628",0.0158253754635469
12,3,"ENSBTAG00000005339-ENSBTAG00000001694",0.0151698587928027
12,4,"ENSBTAG00000005339-ENSBTAG00000015910",0.0147241089899722
12,5,"ENSBTAG00000020221-ENSBTAG00000006835",0.0145935548411959
