	nonPR_Hols_1	nonPR_Hols_2	nonPR_Hols_3	nonPR_Hols_4	nonPR_Hols_5	nonPR_Hols_6	nonPR_Hols_7	nonPR_Hols_8	nonPR_Hols_9	nonPR_Hols_10	nonPR_Hols_11	PR_Hols_1	PR_Hols_2	PR_Hols_3	PR_Hols_4	PR_Hols_5	PR_Hols_6	PR_Hols_7	PR_Hols_8	PR_Jap_1	PR_Jap_2	PR_Jap_3	PR_Jap_4	PR_Jap_5	PR_Jap_6	nonPR_Jap_1	nonPR_Jap_2	nonPR_Jap_3	nonPR_Jap_4	nonPR_Jap_5	nonPR_Sim_1	nonPR_Sim_2	nonPR_Sim_3	PR_Sim_1	PR_Sim_2	PR_Sim_3	PR_Cont_1	PR_Cont_2	PR_Cont_3	PR_Cont_4	PR_Cont_5	PR_Cont_6	nonPR_Cont_1	nonPR_Cont_2	nonPR_Cont_3	nonPR_Cont_4	nonPR_Cont_5	nonPR_Cont_6	nonPR_Sim2_1	nonPR_Sim2_2	nonPR_Sim2_3	PR_Sim2_1	PR_Sim2_2	PR_Sim2_3	Zo_IVT_NP_3	Zo_IVT_NP_6	Zo_IVT_NP_10	Zo_IVT_NP_13	Zo_IVT_NP_15	Zo_IVT_NP_18	Zo_IVT_NP_20	Zo_IVT_NP_21	Zo_IVT_NP_23	Zo_IVT_NP_26	Zo_IVT_NP_28	Zo_IVT_PR_1	Zo_IVT_PR_2	Zo_IVT_PR_3	Zo_IVT_PR_5	Zo_IVT_PR_7	SW_IVT_NP_1	SW_IVT_NP_2	SW_IVT_NP_3	SW_IVT_NP_4	SW_IVT_NP_5	SW_IVT_NP_6	SW_IVT_PR_1	SW_IVT_PR_2	SW_IVT_PR_3	SW_IVT_PR_4
nonPR_Hols_1	65305.000061127	65641.2399796242	66090.1448815846	67041.7203028153	66275.2740445296	65959.3151397518	65488.5873044825	65554.3087127139	65344.3123962354	65918.9631168976	64092.6325509816	67332.4336477571	67671.7143817333	65883.4960980809	65535.8482561503	65645.3332922021	66092.5600036976	66022.8545062599	66630.509899398	67167.1858011589	66955.2069819204	67076.0816855592	67016.3869798206	67287.691577695	66377.8702279563	66302.5626019256	66490.6262067429	66499.4787915744	67127.7710939228	65822.63446025	62151.6751826289	62463.2925797323	62857.2562983743	62084.5735532003	62205.681794974	62516.0544775794	61873.7360122687	62172.3668046333	62704.2082832097	63701.9487486127	63066.4469213199	62162.2841620577	61955.887636187	62590.1969546433	62308.04225688	61910.2665254178	63163.8423815249	61280.0410536022	61931.8132671862	61636.0519443196	63113.0708988462	63371.7861475123	63277.6893256062	61264.4416411766	57185.6338988471	62913.643023071	62593.4824953965	58697.8797304902	55566.9702200259	62914.22983494	60230.5670810834	64615.9079713544	61151.7157319735	61734.7116189514	66516.4830113416	57889.2686150515	55392.4669550727	58442.6448018563	61169.7491049612	61017.213198896	64312.7786171602	65417.0761903184	65330.9023961411	62152.9949436248	63312.9073948261	63768.8777325497	66247.2614684704	63966.2547581548	62442.2165981869	66731.0715894383
nonPR_Hols_2	66517.1971677466	66869.9539943126	67320.3560649497	68307.3658280741	67529.4197942722	67195.2540965825	66711.7476823126	66779.7834539324	66565.5376053164	67154.9524059328	65291.0388918581	68601.7194867272	68942.0409727475	67112.6916285829	66772.3205033108	66873.3563220125	67332.2909982024	67257.5121790301	67880.7338814462	68444.108991527	68235.4910156168	68350.3959945442	68288.0782175002	68566.6627696402	67636.9769759541	67570.0702068913	67766.4981210153	67765.7856121496	68409.6470311079	67082.5413846563	63308.7174614741	63621.9753889336	64026.1462221946	63226.6885272001	63359.1345050719	63669.7910334648	63024.9466944535	63326.9230990463	63873.7613812928	64880.9016920672	64239.6728815145	63319.8542464627	63110.4429010861	63756.7282330732	63463.3323876831	63057.9385440807	64337.166241197	62412.573669791	63079.9970556786	62780.3811622166	64283.7919948771	64548.7955834834	64450.7868085723	62398.2901284914	58332.1852399717	64127.4915536686	63828.3020066094	59839.8762005357	56638.7611575427	64141.283897376	61390.3746887156	65862.6424898407	62336.1050025849	62938.4663399571	67791.3063557321	59026.8858610191	56481.9333698184	59593.0034200584	62363.4068240651	62210.0355420184	65560.8347196276	66685.7623613417	66586.5135202275	63292.3734313213	64526.20443076	65010.6394893493	67531.0812728172	65232.3539005797	63657.7512795361	68018.9781788192
nonPR_Hols_3	66850.1337154066	67189.4693961132	67661.7340257849	68638.1356380784	67860.5180410705	67535.7473978135	67050.8091061405	67135.3823783632	66906.2174871171	67492.0506170726	65642.2212188428	68955.1771866503	69302.9390930974	67440.5349367775	67113.7720013448	67206.6770626854	67665.9129835463	67612.2713603641	68228.6783457718	68779.4231341979	68565.8749738608	68679.1696736798	68616.5573117223	68895.9971186791	67962.5710863272	67879.653557745	68092.3043134134	68085.0758391565	68725.1512929151	67395.2656553108	63688.8603083647	63991.9028991779	64401.9087170994	63605.9778818266	63736.914746704	64064.7229019101	63391.5425580229	63702.0533388501	64232.8965576652	65266.872113203	64622.9921151724	63697.1953674047	63468.9991548412	64138.1919708568	63835.3014940362	63423.3476946153	64721.0172101968	62783.4337532181	63447.8678835205	63177.6444787676	64676.2020051651	64912.7992268533	64838.261126355	62764.5605679554	58452.8561323625	64380.9553065339	64076.974927088	59966.1411979324	56696.6047261527	64398.8849908035	61545.6437443489	66064.3203748094	62507.3189636972	63064.4371220668	68078.4110873147	59142.1718625574	56625.3804734328	59721.3492406405	62471.7609586746	62431.3754206668	65834.4621791131	66972.473376007	66845.6013422437	63555.5606818992	64791.6523946825	65222.9396655874	67747.9220129435	65454.6443938772	63928.6936188182	68285.3361200667
nonPR_Hols_4	67715.0509504824	68090.299982175	68521.0566109722	69576.2191494885	68780.507188655	68425.6941159669	67916.0828990079	67998.8844488356	67773.4732298251	68361.0496461448	66473.0630396906	69864.0400444189	70228.8044009385	68325.9724773219	68017.9445392937	68087.5842155603	68542.0761147697	68482.0703818024	69135.8988722733	69763.9699736286	69570.8874852385	69647.6628953889	69596.1226380078	69882.3371585997	68959.6778621061	68838.1346707716	69061.6531722044	69064.568944985	69691.5815039324	68374.8871339743	64571.0031452386	64885.1604376864	65320.0520252283	64474.1073687241	64630.9506250884	64955.3158479246	64263.8106868017	64583.0030125494	65101.1966002319	66163.3266880898	65496.337151374	64585.0738188242	64344.3174357168	64977.8509446611	64726.4659398184	64293.2516990175	65645.2521133002	63664.5010891278	64336.3287811294	64023.2226165224	65599.5867361825	65884.9394685773	65773.2920894027	63653.4420813652	59242.4070085458	65231.3000412093	64914.4481551686	60881.9178301297	57579.0019842725	65281.5498642583	62456.3288465712	67009.5056274056	63441.0324047274	64073.2730490524	69029.6751856561	60025.989616314	57319.0023372807	60548.2135915886	63389.6815699593	63318.1479765162	66796.6381365029	67857.0182921978	67739.1079111391	64489.1173445899	65567.607755073	66059.1866722472	68680.1165501587	66271.0361631276	64820.2509388126	69171.5553778954
nonPR_Hols_5	65222.7380822093	65596.4978902097	65993.602614673	67026.2294557367	66234.2124177037	65881.0997655894	65394.6893261041	65472.9345735279	65259.9940311101	65828.4399346449	64000.5505698149	67275.1154442263	67609.05451092	65805.9290818898	65468.9912324915	65562.9063194977	66009.8559634583	65922.216356994	66572.4587937058	67198.2076486771	67005.5083950176	67078.3847059633	67039.1211041699	67321.9162168059	66450.1172717276	66335.6024654828	66517.4545128579	66538.8371207766	67147.7518396715	65884.1857967837	62159.5258184877	62477.6056294636	62881.4925107935	62078.4622607354	62206.9317000313	62512.3285335483	61850.2812034096	62168.6275397212	62681.2977583675	63684.8939321362	63044.1736979184	62158.4089551853	61958.3162648103	62539.5678842295	62319.7834127861	61918.5565660766	63191.9644073719	61287.0025475622	61934.1026941466	61641.030930327	63111.4627755003	63413.722520257	63271.1290396683	61274.9980571782	57271.536911145	63014.9560477925	62707.5383454496	58976.6734795814	55921.569747175	63034.6840301824	60375.617808659	64776.8851156227	61281.8259241601	61970.5018472904	66568.9198979918	58172.9468388077	55418.2116646003	58640.6642157986	61477.8861276668	61215.993712388	64516.1956781337	65493.8741283791	65387.2771176697	62205.4361544403	63324.6721064656	63813.6457894289	66414.061881108	63991.1178646479	62562.2356208092	66801.5801140445
nonPR_Hols_6	67867.9914487272	68220.5054143566	68685.4898103468	69708.1272185713	68930.6774822752	68569.4760396751	68069.5103922273	68156.8901533013	67917.7624484212	68522.1013430175	66634.7378360672	70011.5051154521	70360.4616128316	68466.8146109617	68141.5473935818	68233.3650078314	68693.0731290946	68639.3083514928	69267.0685040562	69843.8857700637	69631.349715103	69738.2795794339	69682.760704579	69959.9683472927	69017.7895848026	68931.0891106627	69146.4018428276	69145.0249361139	69800.8207375862	68446.6181084597	64650.3107927027	64958.2519179615	65386.5620243301	64558.7339203236	64687.2214073823	65023.9422605344	64336.8870768242	64650.4718286585	65198.904709961	66254.7416159683	65580.422724039	64652.1861533174	64422.839958775	65093.3249089933	64795.4582488041	64368.8958480068	65699.3682399571	63729.4900670077	64404.2392243361	64114.7700768338	65651.511896379	65910.1589937612	65817.8836680263	63711.3387662507	59410.5453637807	65407.4156134298	65082.7213915514	60917.0029039567	57622.9806202997	65406.2234405804	62558.6646831937	67114.1060149831	63519.9027932352	64144.431819735	69153.5151065522	60075.5182730047	57525.7983594027	60686.5166824178	63500.1651394537	63460.3196168796	66860.0543153866	68045.9529123215	67884.1022432665	64597.7435238827	65774.2834491924	66242.3784661659	68833.7096026272	66465.5429735601	64928.6980196575	69372.7636205936
nonPR_Hols_7	67213.6223713902	67559.2299504258	68028.3670625502	69015.0868854932	68232.6370927117	67902.5677046953	67411.7087035125	67498.0348781886	67269.9784511956	67863.8870475801	65990.0552592789	69339.3525672527	69675.8573598879	67812.01766648	67481.7387007879	67581.0739500652	68044.9154637263	67976.204489812	68603.9679619787	69150.9583355077	68936.0723448408	69048.0018079714	68981.521523884	69274.324000544	68335.5350617919	68241.816997894	68454.9938340665	68452.6862310804	69099.8250887343	67761.6241492382	64008.7570164854	64316.6853500377	64733.5278858798	63927.5281886122	64061.9305695392	64387.8031608981	63719.005481865	64028.9895995631	64558.1631737187	65594.2194792073	64953.4184622069	64015.6416938887	63793.0905739847	64462.7254354071	64156.530132393	63752.0574228906	65042.7947334816	63099.7134012709	63773.4645946956	63488.8208823888	65005.4994983696	65245.4118999001	65169.2512956416	63083.3219382504	58782.3715304754	64758.3724395733	64444.0645423313	60311.2220950574	57061.3498621423	64729.5767300451	61905.6732336232	66428.0926912945	62854.315742307	63463.6878166469	68469.8393155089	59458.8528704886	56947.2422334243	60050.527094042	62859.8897394235	62800.6759799876	66228.8778339185	67338.7787782539	67205.8714741367	63934.8346449229	65163.8331466027	65602.4007619997	68135.4121958381	65838.4514058809	64314.0147618227	68668.3596345538
nonPR_Hols_8	67295.4416967801	67635.6710723097	68100.9527694853	69110.8665154729	68333.3242576852	67977.6717510097	67484.3306703896	67576.5761044283	67344.3497398501	67933.6913104003	66075.3250356563	69406.951349193	69749.1244030398	67880.9458567405	67546.5689842282	67650.7366379794	68105.1408574326	68047.8340730376	68673.2846972997	69223.7136525446	69014.3074847125	69117.4487973178	69056.4504257646	69345.1728721669	68414.987407917	68321.7492602839	68532.8026462695	68539.1152514984	69174.565490039	67839.5010660256	64080.4388844359	64384.3554417353	64804.1452830946	63997.4713671868	64127.7068520943	64457.4881622299	63783.0693872148	64089.5757885346	64623.8978083521	65661.5167616636	65009.4332900582	64084.1633821785	63853.2528899912	64517.7590268386	64226.0894032829	63816.0017138308	65122.46038376	63175.4027829253	63838.4721235409	63561.4565413452	65074.7862090719	65325.0820181592	65236.8495431438	63154.3684975918	58833.0199018011	64864.6503229868	64548.2675099976	60366.2752954565	57108.5931617551	64834.9049599584	62002.4962622769	66538.3994820575	62932.1947148198	63555.9142737922	68556.0186047318	59529.2913702482	57031.9541529045	60161.312040337	62923.3550202613	62909.431782694	66320.1043770752	67451.7787022484	67310.8538493788	64018.8524140618	65224.5859772509	65674.1933022088	68254.1920906365	65887.1901716461	64380.1433146305	68766.3718262071
nonPR_Hols_9	66123.3144643773	66470.1615512023	66931.4688661148	67914.9148585408	67155.1258384457	66808.2703373286	66335.7270206924	66405.9843327716	66182.5656157805	66773.3523243506	64921.7801129806	68217.5582473442	68555.828627725	66721.3011295111	66393.8497607129	66482.7620296412	66931.7400613758	66877.1472948382	67489.2025532869	68037.7171109085	67831.8728934055	67942.4683805299	67890.9191518601	68154.5656994789	67230.5994071597	67161.345037751	67368.6473008958	67358.0547947096	68002.8351009158	66680.6827935655	62958.769518644	63270.1502095575	63674.5946828155	62877.1572305355	63001.0763655483	63329.0682705071	62662.9426989329	62966.6858403655	63514.4629698496	64538.73530171	63880.1753536543	62966.2381116017	62753.9912301839	63412.8754923535	63108.0400447996	62689.3414498574	63978.5175638463	62059.9130540152	62724.4973556094	62437.2345442456	63940.4525285464	64184.7471508468	64111.3232905294	62042.217163179	57961.6186374009	63743.3444907616	63400.7018534149	59390.0581235319	56161.6050147829	63726.6261116089	60982.3438808247	65439.5630216741	61922.2882747475	62512.2312361676	67384.0593528902	58604.769587242	56111.4849298999	59113.2563701814	61912.6913599576	61825.7893413532	65141.383550845	66276.1672495137	66163.1940994542	62923.0514543163	64100.644344375	64565.723698221	67063.1918619211	64790.0773980957	63287.3196758004	67604.3995895127
nonPR_Hols_10	67166.9020114087	67517.7409812645	67981.2220015316	68965.691237603	68194.0281337076	67857.082887636	67366.7897340368	67460.1487964294	67222.1867759908	67814.8498991603	65946.8935624456	69287.4602576923	69631.4542542652	67758.5261468723	67431.135699379	67525.9067847809	67983.7670802193	67928.0898720926	68553.4137528386	69112.1611473839	68898.0685880027	69005.2651549034	68944.3192048149	69226.8016921867	68295.3180091573	68209.2021451655	68420.4679312441	68418.5587709592	69064.8429074581	67731.5358592625	63998.1521083299	64307.3718581106	64717.7728807744	63913.3981084126	64040.7967737731	64375.5522739758	63699.6630620711	64006.4886236944	64545.8394513745	65582.9228578719	64929.3037150639	64009.273724938	63779.9904737301	64446.9456244532	64147.5278074603	63726.6757667203	65039.172977205	63086.8257593039	63757.8051009478	63475.9696726914	64992.8567348842	65242.3521978716	65155.3864007986	63068.7662274184	58728.0173944919	64699.5219023075	64395.3640684169	60234.2036218907	57003.6223864054	64703.0318289122	61874.9440460897	66390.3652795752	62818.7585844342	63423.2093496216	68412.3343224363	59392.2247570806	56907.4745915632	59997.1995567296	62766.8789186624	62750.3095148613	66176.1649024289	67325.1726084852	67157.1277605726	63890.6175331883	65061.2069872846	65531.8077399	68084.2678420934	65766.3859055333	64253.863245942	68628.8534795808
