	nonPR_Hols_1	nonPR_Hols_2	nonPR_Hols_3	nonPR_Hols_4	nonPR_Hols_5	nonPR_Hols_6	nonPR_Hols_7	nonPR_Hols_8	nonPR_Hols_9	nonPR_Hols_10	nonPR_Hols_11	PR_Hols_1	PR_Hols_2	PR_Hols_3	PR_Hols_4	PR_Hols_5	PR_Hols_6	PR_Hols_7	PR_Hols_8	PR_Jap_1	PR_Jap_2	PR_Jap_3	PR_Jap_4	PR_Jap_5	PR_Jap_6	nonPR_Jap_1	nonPR_Jap_2	nonPR_Jap_3	nonPR_Jap_4	nonPR_Jap_5	nonPR_Sim_1	nonPR_Sim_2	nonPR_Sim_3	PR_Sim_1	PR_Sim_2	PR_Sim_3	PR_Cont_1	PR_Cont_2	PR_Cont_3	PR_Cont_4	PR_Cont_5	PR_Cont_6	nonPR_Cont_1	nonPR_Cont_2	nonPR_Cont_3	nonPR_Cont_4	nonPR_Cont_5	nonPR_Cont_6	nonPR_Sim2_1	nonPR_Sim2_2	nonPR_Sim2_3	PR_Sim2_1	PR_Sim2_2	PR_Sim2_3
Zo_IVT_NP_3	59934.3717890894	60299.8525442984	60706.5659542784	61551.6820890365	60844.6015181662	60538.6785686863	60135.1281919677	60186.5142044461	59981.4056953569	60553.7333406425	58893.5014496703	61820.6079342482	62099.2921627327	60478.1628866486	60134.4934778984	60255.9982254269	60623.1081689038	60588.2544724468	61198.4235586951	61839.6727560691	61657.3167651892	61808.8568821874	61809.5402028615	61926.8709846435	61201.8456515155	61096.127867647	61250.7220676978	61200.0301526087	61860.1449954821	60699.323078337	56832.6745144024	57124.620480202	57468.1714024067	56791.7082861113	56880.2357592729	57123.4215615629	56559.7357457635	56834.5980196545	57306.0414898792	58256.5645657939	57670.2637398805	56823.5996301112	56677.1963368405	57127.8237826315	56999.2124713549	56623.9047048061	57779.959611837	56056.9170688609	56665.4321673524	56308.1624143941	57662.7931427964	58016.1411866356	57832.6106009196	56009.0353501526
Zo_IVT_NP_6	62621.534059247	62981.8025464609	63422.798420179	64341.3422583699	63554.1865392284	63257.2135087847	62832.600701266	62852.0242003061	62681.1514596484	63256.7998604129	61474.915744613	64615.1549102808	64917.1381619285	63189.5267395663	62856.845884128	62967.2546968353	63369.7698221187	63315.5708976591	63936.2006434914	64640.6602561556	64466.1322893306	64590.2509498619	64538.7629465603	64779.6555144245	63887.6781404492	63875.9058275769	64073.1164307761	64045.1651126104	64651.4552452082	63448.8929402604	59381.5667736115	59681.1357150671	60052.0151948457	59357.6416127395	59488.959825451	59711.6124811722	59100.9891025332	59408.5139691002	59948.0201933706	60877.1815163556	60269.3103775672	59398.6751969803	59236.6573926248	59769.1859466646	59571.1066745667	59170.7857829707	60371.4288701627	58553.1008771002	59208.8023852301	58864.1932399376	60277.0207306432	60651.8545101837	60518.3525970625	58565.5601556733
Zo_IVT_NP_10	62419.2153016266	62790.954508429	63206.0742650579	64111.300442104	63340.8065087931	63055.1895847813	62625.8576559587	62659.5069156041	62483.454875293	63058.692702588	61284.7375217071	64401.9992630954	64688.4137196555	63006.7962120886	62668.714368731	62782.1702691417	63167.9580723228	63096.7292186378	63729.4727635172	64421.1939421476	64217.9409691038	64363.1288177353	64298.2841741679	64521.4340856432	63681.2159355821	63610.489748788	63801.754031865	63746.3608622698	64421.910921827	63212.0560653923	59211.6379667182	59498.84321242	59885.6397009389	59181.5007725701	59296.9989476505	59527.4335887478	58934.8749779212	59237.7661811018	59740.5929302765	60672.4112800504	60095.7337515003	59229.2092687198	59064.6107309093	59564.1488049916	59397.7402623219	59003.8560028526	60200.188482442	58389.445813618	59047.7034254429	58676.3351375599	60118.1860606449	60473.5646453863	60321.0023438788	58370.0561676402
Zo_IVT_NP_13	61247.3355745123	61598.709182422	62032.3949201615	62853.1672682808	62108.4634061217	61864.1497780761	61462.8737182311	61502.4973477153	61316.5421783944	61882.0191868194	60144.0396320634	63188.0040462353	63460.5204568953	61823.3935956508	61457.9332396722	61584.8537087781	61963.6302059231	61910.6231571016	62541.3846293378	63242.3521109038	63040.3896601175	63174.5327113121	63160.4791211806	63349.0479888636	62543.0304006779	62475.9019790739	62660.2776276343	62601.3198533407	63241.2676881135	62066.8138547502	58007.3224533861	58328.9561098409	58669.9614909189	58010.198361083	58105.4810913945	58347.8270584569	57747.3268572107	58066.5374353705	58558.0689049124	59477.6219848502	58896.6986777393	58034.4540397338	57875.9661231582	58360.3649934422	58207.7551886299	57825.0947330251	59009.945850948	57212.2859020007	57850.6006552221	57509.2047307127	58914.3941528182	59297.8222402034	59113.995897024	57199.2998865001
Zo_IVT_NP_15	62089.0674665733	62439.2060975249	62866.8665387831	63722.043712647	63023.7439416412	62691.0940266458	62271.7564261228	62319.1080249717	62129.886736644	62699.2877300937	60969.1254159439	64016.8669016864	64315.6946755706	62631.5658603657	62286.8948349809	62426.8853090641	62787.1260260429	62739.7838977381	63373.5431735761	64025.3986571029	63840.6431548697	63959.7014353167	63913.8445657285	64144.6098852604	63296.6227697143	63251.8146438514	63464.2569914541	63424.1754727213	64047.202728185	62869.6081875268	58913.3834749627	59216.2990939441	59556.1255748197	58891.1066577878	59029.6664013951	59249.2010315276	58671.9885654967	58969.2031387979	59461.4701565136	60374.5094057178	59770.6274004824	58949.8851092661	58751.082067988	59292.2804981827	59094.9854701123	58708.5734210049	59884.1812328646	58097.5275041982	58742.0672829615	58393.3042304729	59817.7530567716	60179.0569165951	60006.6913648569	58118.5031350817
Zo_IVT_NP_18	63594.5450063273	63954.3990939979	64371.026807224	65293.6140589024	64531.7647007281	64256.4121702789	63800.7280774004	63805.1814378647	63650.4067853149	64222.0525285873	62405.9758299021	65571.9029192066	65930.2931094341	64159.7842299419	63839.1102105044	63963.2220645311	64375.9176842916	64312.6915225013	64931.4719884962	65608.5561790601	65397.5091895504	65573.7542138316	65496.3004668142	65707.9168542753	64803.9169369287	64753.3285880846	64999.3840934469	64981.9156036946	65638.9085839985	64397.3949330922	60281.0353109023	60561.5514441053	60970.7788125122	60231.9935092868	60369.5861789335	60619.2102622255	60011.8230990533	60292.0994237345	60855.0294698532	61796.2626475627	61169.170498054	60304.7523942237	60127.3800107693	60678.3013003164	60442.6573144695	60040.345875988	61274.0037689785	59435.9788195798	60106.8686040455	59716.0677804498	61224.8951150578	61575.3636658928	61399.7082244106	59444.9867165064
Zo_IVT_NP_20	62493.0622087919	62862.9269899498	63266.778794556	64132.6569443558	63368.5357263963	63097.4400061547	62684.2251034589	62700.0032580229	62535.0207471158	63080.8174922014	61326.6404421153	64437.8136163132	64748.6333114896	63053.478968652	62682.2652365595	62816.5618221545	63205.6792812742	63125.8152644325	63754.4262124902	64474.5667805798	64291.1394767742	64416.1855551846	64370.1458853922	64602.3460851417	63706.0408379843	63676.6935958265	63862.9939627938	63860.0153101021	64467.3663863082	63256.6194269782	59267.7802226317	59574.4704334677	59931.4307433828	59251.1326266199	59377.0806188473	59585.0977910923	58990.725559073	59292.0567515983	59834.7705796256	60764.8611883587	60133.358973841	59308.1320515914	59137.3374425706	59640.6257709265	59458.2033926634	59058.2866836526	60258.6263781678	58431.1592838234	59084.5615651947	58738.2658736594	60215.9541385737	60546.7141577453	60407.1841591544	58448.1305674833
Zo_IVT_NP_21	64842.2219142076	65223.3750993959	65657.5623632227	66526.736717075	65755.7257487121	65464.4957775118	65042.047165249	65085.0813304501	64881.0454861029	65460.9380632519	63687.7107262271	66828.7883786412	67141.0603986467	65414.9744694479	65017.9512872547	65187.2782398025	65620.7549553765	65532.1916681447	66173.9081777718	66884.6650904184	66684.4048211032	66815.9099248682	66763.8900409911	67024.7964751509	66092.3263747664	66058.2490326285	66251.291767765	66247.5384000651	66862.7626064269	65641.2757830607	61553.7992598521	61835.9641364625	62231.4554467511	61515.3426006949	61626.7282717025	61860.7303316398	61291.3677072416	61590.2503192155	62072.2664128312	63046.3029450494	62463.6180556059	61587.6916371767	61370.0564197242	61890.6794717919	61694.0286755912	61329.0733437892	62574.26275381	60693.7423354971	61373.3646034218	61014.3943467817	62481.5462325451	62825.7523878811	62658.576032088	60702.094007588
Zo_IVT_NP_23	64094.6700088806	64486.4385204377	64921.3508639845	65865.3147356134	65047.6819748367	64756.8515183212	64325.0681019998	64357.9083419667	64144.86939634	64740.2624550371	62971.6469236892	66122.6672665226	66472.3983990909	64696.636941983	64339.5999997911	64459.354931091	64905.1450299291	64842.2057703492	65441.7843230177	66142.3551192597	65943.4475567136	66077.0714504684	66045.9762234087	66266.7755394343	65328.6299886827	65366.4695609442	65545.4075577322	65525.3927164691	66133.3830574109	64915.6265198794	60872.6321267572	61131.2596413971	61547.0590214558	60797.321768407	60910.9998929974	61155.0548435683	60569.5057607228	60875.552634414	61398.652753575	62335.4881619087	61764.608909284	60868.6767743043	60668.389394224	61212.5803963464	61005.700067377	60610.8511849041	61865.5287546618	59965.9614792223	60666.7431075236	60272.117789058	61772.7769552411	62139.3120196605	61979.6947189904	59991.7677517194
Zo_IVT_NP_26	62112.9682496621	62478.8283287635	62882.0420424606	63798.5111907603	63016.8001022634	62721.5363082454	62284.5549844697	62331.7516605216	62147.2536645743	62704.9315701062	60949.2359901769	64055.1213688446	64328.8869215553	62672.0390888936	62292.7592568865	62450.0097639812	62865.2032638286	62761.3870482004	63387.3327085074	64076.2570507944	63911.7785140741	64015.1371059526	63963.8023726978	64234.3477619774	63305.1863075943	63274.4391820012	63500.1517323915	63503.4605648898	64091.589340941	62909.5956055113	58928.4646043276	59221.2082053468	59603.1547875346	58885.0747276755	58997.6141175756	59222.0608335914	58647.8233032547	58945.1195623956	59477.1437897119	60395.6749781086	59775.3885912589	58958.589522282	58771.9425549544	59277.2552789054	59069.8678306259	58722.5634745736	59905.8382479449	58092.0528670824	58759.788478535	58364.6040407453	59826.3726063991	60188.0249932541	60028.5525515834	58120.6629790255
