	nonPR_Hols_1	nonPR_Hols_2	nonPR_Hols_3	nonPR_Hols_4	nonPR_Hols_5	nonPR_Hols_6	nonPR_Hols_7	nonPR_Hols_8	nonPR_Hols_9	nonPR_Hols_10	nonPR_Hols_11	PR_Hols_1	PR_Hols_2	PR_Hols_3	PR_Hols_4	PR_Hols_5	PR_Hols_6	PR_Hols_7	PR_Hols_8	PR_Jap_1	PR_Jap_2	PR_Jap_3	PR_Jap_4	PR_Jap_5	PR_Jap_6	nonPR_Jap_1	nonPR_Jap_2	nonPR_Jap_3	nonPR_Jap_4	nonPR_Jap_5	nonPR_Sim_1	nonPR_Sim_2	nonPR_Sim_3	PR_Sim_1	PR_Sim_2	PR_Sim_3	PR_Cont_1	PR_Cont_2	PR_Cont_3	PR_Cont_4	PR_Cont_5	PR_Cont_6	nonPR_Cont_1	nonPR_Cont_2	nonPR_Cont_3	nonPR_Cont_4	nonPR_Cont_5	nonPR_Cont_6	nonPR_Sim2_1	nonPR_Sim2_2	nonPR_Sim2_3	PR_Sim2_1	PR_Sim2_2	PR_Sim2_3	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
nonPR_Hols_1	65305.000061127	65641.2399796242	66090.1448815846	67041.7203028153	66275.2740445296	65959.3151397518	65488.5873044825	65554.3087127139	65344.3123962354	65918.9631168976	64092.6325509816	67332.4336477571	67671.7143817333	65883.4960980809	65535.8482561503	65645.3332922021	66092.5600036976	66022.8545062599	66630.509899398	67167.1858011589	66955.2069819204	67076.0816855592	67016.3869798206	67287.691577695	66377.8702279563	66302.5626019256	66490.6262067429	66499.4787915744	67127.7710939228	65822.63446025	62151.6751826289	62463.2925797323	62857.2562983743	62084.5735532003	62205.681794974	62516.0544775794	61873.7360122687	62172.3668046333	62704.2082832097	63701.9487486127	63066.4469213199	62162.2841620577	61955.887636187	62590.1969546433	62308.04225688	61910.2665254178	63163.8423815249	61280.0410536022	61931.8132671862	61636.0519443196	63113.0708988462	63371.7861475123	63277.6893256062	61264.4416411766	54550.7919330114	54826.4013815528	52283.0354418468	52355.7139838967	56962.6132410007	52270.8632689682	53843.6260357092	59426.2591601363	51943.9175058523	55066.7556607241	58635.7254265818	56139.3874318599	57843.0588086	59875.2227925249	57828.941838899	55872.6311139461	61455.2576598954	62641.3587741779	63378.2552042532	60946.2275869581	57137.7745662709	59052.1184714982	56367.8124694304	55416.9933187736	56701.3438441667	56704.6112552946	57490.7666724092
nonPR_Hols_2	66517.1971677466	66869.9539943126	67320.3560649497	68307.3658280741	67529.4197942722	67195.2540965825	66711.7476823126	66779.7834539324	66565.5376053164	67154.9524059328	65291.0388918581	68601.7194867272	68942.0409727475	67112.6916285829	66772.3205033108	66873.3563220125	67332.2909982024	67257.5121790301	67880.7338814462	68444.108991527	68235.4910156168	68350.3959945442	68288.0782175002	68566.6627696402	67636.9769759541	67570.0702068913	67766.4981210153	67765.7856121496	68409.6470311079	67082.5413846563	63308.7174614741	63621.9753889336	64026.1462221946	63226.6885272001	63359.1345050719	63669.7910334648	63024.9466944535	63326.9230990463	63873.7613812928	64880.9016920672	64239.6728815145	63319.8542464627	63110.4429010861	63756.7282330732	63463.3323876831	63057.9385440807	64337.166241197	62412.573669791	63079.9970556786	62780.3811622166	64283.7919948771	64548.7955834834	64450.7868085723	62398.2901284914	55610.262029065	55820.3917040988	53283.8607724624	53346.5298703958	58000.4726245157	53256.2357646684	54890.7797939988	60541.2300852942	52861.833350585	56123.3804341152	59767.0943522714	57258.6105126382	58938.7668704368	60993.6423226756	58926.8337274313	56912.6598367069	62594.7408820411	63803.3806488774	64580.6119561192	62092.995594762	58180.7015138797	60178.4102322797	57459.6369404873	56430.2595005869	57734.3322154144	57766.359886968	58532.6044300425
nonPR_Hols_3	66850.1337154066	67189.4693961132	67661.7340257849	68638.1356380784	67860.5180410705	67535.7473978135	67050.8091061405	67135.3823783632	66906.2174871171	67492.0506170726	65642.2212188428	68955.1771866503	69302.9390930974	67440.5349367775	67113.7720013448	67206.6770626854	67665.9129835463	67612.2713603641	68228.6783457718	68779.4231341979	68565.8749738608	68679.1696736798	68616.5573117223	68895.9971186791	67962.5710863272	67879.653557745	68092.3043134134	68085.0758391565	68725.1512929151	67395.2656553108	63688.8603083647	63991.9028991779	64401.9087170994	63605.9778818266	63736.914746704	64064.7229019101	63391.5425580229	63702.0533388501	64232.8965576652	65266.872113203	64622.9921151724	63697.1953674047	63468.9991548412	64138.1919708568	63835.3014940362	63423.3476946153	64721.0172101968	62783.4337532181	63447.8678835205	63177.6444787676	64676.2020051651	64912.7992268533	64838.261126355	62764.5605679554	55878.9593608144	56141.9815033623	53499.3665882648	53663.1555378436	58339.451252125	53577.0396295931	55178.285307028	60881.009444372	53182.8537326415	56422.1321485536	60046.0414230228	57510.7341500772	59198.724872773	61278.905788461	59260.103240127	57229.2640706408	62942.7881714797	64140.1978564758	64883.6503156449	62335.7422752216	58515.8935616665	60487.3336469414	57836.6619457078	56766.7437063822	58042.5310204102	58059.7251391439	58867.2188187514
nonPR_Hols_4	67715.0509504824	68090.299982175	68521.0566109722	69576.2191494885	68780.507188655	68425.6941159669	67916.0828990079	67998.8844488356	67773.4732298251	68361.0496461448	66473.0630396906	69864.0400444189	70228.8044009385	68325.9724773219	68017.9445392937	68087.5842155603	68542.0761147697	68482.0703818024	69135.8988722733	69763.9699736286	69570.8874852385	69647.6628953889	69596.1226380078	69882.3371585997	68959.6778621061	68838.1346707716	69061.6531722044	69064.568944985	69691.5815039324	68374.8871339743	64571.0031452386	64885.1604376864	65320.0520252283	64474.1073687241	64630.9506250884	64955.3158479246	64263.8106868017	64583.0030125494	65101.1966002319	66163.3266880898	65496.337151374	64585.0738188242	64344.3174357168	64977.8509446611	64726.4659398184	64293.2516990175	65645.2521133002	63664.5010891278	64336.3287811294	64023.2226165224	65599.5867361825	65884.9394685773	65773.2920894027	63653.4420813652	56561.1005922627	56708.4865521823	54034.9993990864	54256.6838243792	59036.2585886002	54100.0564955387	55748.0661120072	61553.0119353108	53632.146386466	57106.8216343022	60721.6859127311	58359.3516234267	59866.9494843061	61869.1105410096	59875.8716465808	57781.64065447	63535.2400876147	64811.6969470793	65540.4413137568	62878.9123224347	59055.8556589078	61227.1293224246	58408.8649593521	57263.850601803	58516.0344166205	58762.8205835819	59480.2214928153
nonPR_Hols_5	65222.7380822093	65596.4978902097	65993.602614673	67026.2294557367	66234.2124177037	65881.0997655894	65394.6893261041	65472.9345735279	65259.9940311101	65828.4399346449	64000.5505698149	67275.1154442263	67609.05451092	65805.9290818898	65468.9912324915	65562.9063194977	66009.8559634583	65922.216356994	66572.4587937058	67198.2076486771	67005.5083950176	67078.3847059633	67039.1211041699	67321.9162168059	66450.1172717276	66335.6024654828	66517.4545128579	66538.8371207766	67147.7518396715	65884.1857967837	62159.5258184877	62477.6056294636	62881.4925107935	62078.4622607354	62206.9317000313	62512.3285335483	61850.2812034096	62168.6275397212	62681.2977583675	63684.8939321362	63044.1736979184	62158.4089551853	61958.3162648103	62539.5678842295	62319.7834127861	61918.5565660766	63191.9644073719	61287.0025475622	61934.1026941466	61641.030930327	63111.4627755003	63413.722520257	63271.1290396683	61274.9980571782	54523.8261818917	54500.877925638	52167.589313754	52241.1222250695	56898.9447605821	51988.890266571	53797.2337196273	59141.9412956078	51588.4840456119	55040.3944871169	58552.2890319642	56216.1953884514	57850.2700314679	59696.8909871813	57689.3048076174	55756.5462456768	61351.5489107532	62540.5599575277	63272.3174928275	60701.9142284865	56880.5263924511	58993.2023407474	56240.2326255745	55197.5796933602	56395.5333534921	56581.9749984278	57277.83071107
nonPR_Hols_6	67867.9914487272	68220.5054143566	68685.4898103468	69708.1272185713	68930.6774822752	68569.4760396751	68069.5103922273	68156.8901533013	67917.7624484212	68522.1013430175	66634.7378360672	70011.5051154521	70360.4616128316	68466.8146109617	68141.5473935818	68233.3650078314	68693.0731290946	68639.3083514928	69267.0685040562	69843.8857700637	69631.349715103	69738.2795794339	69682.760704579	69959.9683472927	69017.7895848026	68931.0891106627	69146.4018428276	69145.0249361139	69800.8207375862	68446.6181084597	64650.3107927027	64958.2519179615	65386.5620243301	64558.7339203236	64687.2214073823	65023.9422605344	64336.8870768242	64650.4718286585	65198.904709961	66254.7416159683	65580.422724039	64652.1861533174	64422.839958775	65093.3249089933	64795.4582488041	64368.8958480068	65699.3682399571	63729.4900670077	64404.2392243361	64114.7700768338	65651.511896379	65910.1589937612	65817.8836680263	63711.3387662507	56728.3465518002	56993.059162719	54293.6535783766	54450.265454317	59211.9403554949	54335.7533084996	55959.4933885943	61796.5140866853	53929.3837933402	57276.6505944617	60914.4498489049	58418.7452020203	60084.5502103201	62150.2667519885	60152.4380574521	58057.488790025	63884.352941927	65118.8571716298	65900.8218010478	63264.0845406002	59378.9108572649	61422.3671857144	58644.4300853275	57589.4498669932	58869.7394514066	58967.643383378	59724.6190410521
nonPR_Hols_7	67213.6223713902	67559.2299504258	68028.3670625502	69015.0868854932	68232.6370927117	67902.5677046953	67411.7087035125	67498.0348781886	67269.9784511956	67863.8870475801	65990.0552592789	69339.3525672527	69675.8573598879	67812.01766648	67481.7387007879	67581.0739500652	68044.9154637263	67976.204489812	68603.9679619787	69150.9583355077	68936.0723448408	69048.0018079714	68981.521523884	69274.324000544	68335.5350617919	68241.816997894	68454.9938340665	68452.6862310804	69099.8250887343	67761.6241492382	64008.7570164854	64316.6853500377	64733.5278858798	63927.5281886122	64061.9305695392	64387.8031608981	63719.005481865	64028.9895995631	64558.1631737187	65594.2194792073	64953.4184622069	64015.6416938887	63793.0905739847	64462.7254354071	64156.530132393	63752.0574228906	65042.7947334816	63099.7134012709	63773.4645946956	63488.8208823888	65005.4994983696	65245.4118999001	65169.2512956416	63083.3219382504	56206.8402163548	56422.862865111	53794.3039962049	53949.3292085297	58652.9499048415	53869.4285326222	55459.1995636653	61177.3474121952	53464.7396289105	56715.4400219676	60374.0288097769	57846.7764879542	59528.7852482482	61589.9594937111	59589.875313089	57519.8629598332	63290.4389070462	64502.1992594041	65238.2767088657	62655.964644013	58826.3292776437	60838.9129015536	58141.1138033218	57059.8559048329	58361.6684402477	58378.9238536252	59152.9889352653
nonPR_Hols_8	67295.4416967801	67635.6710723097	68100.9527694853	69110.8665154729	68333.3242576852	67977.6717510097	67484.3306703896	67576.5761044283	67344.3497398501	67933.6913104003	66075.3250356563	69406.951349193	69749.1244030398	67880.9458567405	67546.5689842282	67650.7366379794	68105.1408574326	68047.8340730376	68673.2846972997	69223.7136525446	69014.3074847125	69117.4487973178	69056.4504257646	69345.1728721669	68414.987407917	68321.7492602839	68532.8026462695	68539.1152514984	69174.565490039	67839.5010660256	64080.4388844359	64384.3554417353	64804.1452830946	63997.4713671868	64127.7068520943	64457.4881622299	63783.0693872148	64089.5757885346	64623.8978083521	65661.5167616636	65009.4332900582	64084.1633821785	63853.2528899912	64517.7590268386	64226.0894032829	63816.0017138308	65122.46038376	63175.4027829253	63838.4721235409	63561.4565413452	65074.7862090719	65325.0820181592	65236.8495431438	63154.3684975918	56276.186368196	56469.2504031144	53860.2265784343	54018.9009677762	58744.7607832551	53896.0160881921	55543.6726234998	61240.850213668	53527.7737785201	56806.6422019162	60436.6411432645	57940.2372369557	59645.3162597684	61631.2468068887	59655.6975976353	57555.5320852762	63375.1107756874	64539.3180290752	65322.2435221965	62705.5063117824	58913.8753694189	60947.108060078	58207.7657636139	57123.5247901508	58400.5066370242	58463.9084277193	59211.3655181249
nonPR_Hols_9	66123.3144643773	66470.1615512023	66931.4688661148	67914.9148585408	67155.1258384457	66808.2703373286	66335.7270206924	66405.9843327716	66182.5656157805	66773.3523243506	64921.7801129806	68217.5582473442	68555.828627725	66721.3011295111	66393.8497607129	66482.7620296412	66931.7400613758	66877.1472948382	67489.2025532869	68037.7171109085	67831.8728934055	67942.4683805299	67890.9191518601	68154.5656994789	67230.5994071597	67161.345037751	67368.6473008958	67358.0547947096	68002.8351009158	66680.6827935655	62958.769518644	63270.1502095575	63674.5946828155	62877.1572305355	63001.0763655483	63329.0682705071	62662.9426989329	62966.6858403655	63514.4629698496	64538.73530171	63880.1753536543	62966.2381116017	62753.9912301839	63412.8754923535	63108.0400447996	62689.3414498574	63978.5175638463	62059.9130540152	62724.4973556094	62437.2345442456	63940.4525285464	64184.7471508468	64111.3232905294	62042.217163179	55280.1565255053	55592.3226862144	52921.5827730013	53053.7956741951	57666.7366796595	52960.4089224361	54504.904355945	60237.1729998216	52603.0142883358	55769.404358708	59365.0678325358	56878.2378482272	58576.9041616786	60624.6770187655	58649.411720903	56576.2147515485	62239.2008086579	63472.3647131824	64208.0188485028	61695.9699615652	57919.5549681217	59825.4688064961	57145.5857157892	56132.3656302086	57426.7311390931	57461.8911540733	58241.9447217787
nonPR_Hols_10	67166.9020114087	67517.7409812645	67981.2220015316	68965.691237603	68194.0281337076	67857.082887636	67366.7897340368	67460.1487964294	67222.1867759908	67814.8498991603	65946.8935624456	69287.4602576923	69631.4542542652	67758.5261468723	67431.135699379	67525.9067847809	67983.7670802193	67928.0898720926	68553.4137528386	69112.1611473839	68898.0685880027	69005.2651549034	68944.3192048149	69226.8016921867	68295.3180091573	68209.2021451655	68420.4679312441	68418.5587709592	69064.8429074581	67731.5358592625	63998.1521083299	64307.3718581106	64717.7728807744	63913.3981084126	64040.7967737731	64375.5522739758	63699.6630620711	64006.4886236944	64545.8394513745	65582.9228578719	64929.3037150639	64009.273724938	63779.9904737301	64446.9456244532	64147.5278074603	63726.6757667203	65039.172977205	63086.8257593039	63757.8051009478	63475.9696726914	64992.8567348842	65242.3521978716	65155.3864007986	63068.7662274184	56136.2404920681	56377.4930569772	53718.7424784487	53906.7550698733	58571.1678448312	53810.7000924471	55438.2142528273	61134.9471701308	53413.185657638	56664.3483441421	60283.1818091449	57794.6562697418	59450.9326102993	61519.835524134	59511.7066099631	57478.3665864002	63201.6174481232	64403.982497966	65178.4635429916	62589.2567266156	58746.7756472184	60753.1915243257	58054.8829666724	57015.6826767221	58260.3505022959	58317.9433793979	59090.2107782823
