	nonPR_Hols_1	nonPR_Hols_2	nonPR_Hols_3	nonPR_Hols_4	nonPR_Hols_5	nonPR_Hols_6	nonPR_Hols_7	nonPR_Hols_8	nonPR_Hols_9	nonPR_Hols_10	nonPR_Hols_11	PR_Hols_1	PR_Hols_2	PR_Hols_3	PR_Hols_4	PR_Hols_5	PR_Hols_6	PR_Hols_7	PR_Hols_8	PR_Jap_1	PR_Jap_2	PR_Jap_3	PR_Jap_4	PR_Jap_5	PR_Jap_6	nonPR_Jap_1	nonPR_Jap_2	nonPR_Jap_3	nonPR_Jap_4	nonPR_Jap_5	nonPR_Sim_1	nonPR_Sim_2	nonPR_Sim_3	PR_Sim_1	PR_Sim_2	PR_Sim_3	PR_Cont_1	PR_Cont_2	PR_Cont_3	PR_Cont_4	PR_Cont_5	PR_Cont_6	nonPR_Cont_1	nonPR_Cont_2	nonPR_Cont_3	nonPR_Cont_4	nonPR_Cont_5	nonPR_Cont_6	nonPR_Sim2_1	nonPR_Sim2_2	nonPR_Sim2_3	PR_Sim2_1	PR_Sim2_2	PR_Sim2_3
Zo_NP_1	49089.0259679296	49383.3714926395	49693.8391819195	50530.0182311179	49832.7698032505	49552.4152698733	49182.1672042728	49224.2934921339	49104.0233442996	49484.3065726158	48141.9671350063	50652.7547389778	50871.1291016205	49534.378830484	49189.6205947773	49356.9253782226	49723.2977741192	49571.7532061706	50091.2950925734	50435.0188761441	50343.0242554349	50419.0139236922	50327.254366204	50636.0806765031	49944.2651919862	49954.7036740019	50031.2929175439	50088.1702433724	50507.3681314745	49573.5397057699	46851.942831838	47087.2458346883	47330.6960769803	46796.6409071018	46873.1736158352	47086.7859433434	46658.5968580628	46902.6989510051	47267.6876917166	47942.0582417671	47533.9802692623	46839.6337762698	46692.8741630383	47223.4929251467	46910.0859662407	46682.023633736	47580.0130760088	46153.3010103432	46677.4123246729	46531.686241561	47517.5351501622	47779.0357883098	47692.1211496742	46247.4035194357
Zo_NP_3	49935.0459134792	50217.2432665289	50579.6660424537	51445.812741592	50795.3526750834	50507.1083090438	50136.2269773924	50121.279241416	50011.899215147	50435.9384376238	49007.0564618382	51562.5132106657	51819.3509493696	50453.9361416936	50208.0166078067	50284.8399849654	50680.6510382932	50543.6354454035	51034.7425803027	51450.9611154169	51311.0763583424	51464.0829746279	51339.8789923231	51598.3534980552	50885.116632714	50885.2746520818	51044.254875105	51023.1305636103	51545.0628670556	50556.5845931323	47851.9060927766	48023.4754194525	48378.8831677056	47780.4537380223	47831.7621098663	48075.115449224	47620.6215673297	47863.977885001	48245.4056888156	48950.7765588989	48584.4438754756	47836.7193094356	47685.7207334445	48129.0396990094	47903.1165932807	47636.1802956605	48636.1101179939	47109.4974730392	47663.2614059007	47413.6082584624	48627.8650232316	48771.4102305731	48728.4237773742	47206.2058611792
Zo_NP_4	46996.7324740851	47228.5683638095	47550.5376649415	48301.7287740688	47715.5743303578	47371.5348501576	47044.7497489788	47083.5798618702	46943.1885457898	47329.3175236621	46089.552521812	48406.8652862858	48558.4742482661	47370.3085668049	46990.6411013909	47219.5842441294	47564.8375981949	47393.9916353858	47861.2145847664	48149.5798925057	48018.4457093062	48161.6779248867	48067.1989041393	48360.778526528	47730.2226553339	47694.3312567092	47749.7009104906	47817.5363921134	48156.6982133581	47320.4019123374	44770.2258740637	44952.4745990548	45248.9296336074	44739.4884700166	44769.1056744721	44952.755240054	44660.9667353047	44797.6590186214	45135.6311316139	45779.2942911635	45429.0548990315	44701.8885648222	44612.8161035174	45031.3150660094	44861.1693808075	44636.2686854101	45502.2752121542	44124.6835209799	44607.665883759	44453.5389780531	45413.8494177009	45658.6923026658	45563.3963892499	44184.5780706906
Zo_NP_5	48904.8339145946	49135.0669924817	49512.6886949225	50398.514211604	49836.9136623382	49398.9609072072	49049.4154311627	49065.9658758787	48895.8625423843	49330.2181436777	48046.1503427506	50441.8305440689	50636.3270996295	49326.650528289	49060.8996033353	49184.3284355918	49548.5895758076	49406.0930049754	49883.2548562253	50272.4209346388	50169.4551115709	50287.8064933736	50214.9320100404	50468.7546130042	49792.1158077316	49799.4663803649	49872.7101936514	49892.8295903545	50301.0692504503	49384.5228800217	46865.9785705918	47046.7456547919	47372.3753776251	46786.7089037137	46831.3601401817	47105.5577616731	46658.6287401862	46891.1357104335	47176.4190365778	47929.6207121334	47545.7574235622	46838.2097892558	46658.9851911301	47164.1228445051	46897.339231377	46648.8213144614	47602.4559695422	46177.1350076304	46652.3889943674	46485.390615628	47624.9827737255	47767.6185148982	47770.9490254264	46202.5894757553
Zo_NP_6	51998.3662615031	52241.4391149427	52650.7912028939	53379.2816613488	52726.5915045637	52500.9862013696	52136.5222875511	52200.4772694738	52018.2064811417	52471.6670749147	51100.3646185117	53601.7749925802	53822.5908377235	52437.245338264	52108.1283933969	52250.4020970873	52618.5323698965	52537.8711897358	53030.773718879	53339.6252910587	53220.7922379067	53356.4411309133	53298.7171406601	53483.6416000537	52854.2794002016	52869.7189696103	52955.5438815438	52955.0548168977	53381.6433971305	52454.9178781696	49779.1119778479	49989.6647034976	50281.7760571959	49702.7074218539	49772.6385298395	50008.1735970713	49637.4751575152	49763.2485965772	50172.5250432861	50874.7460059773	50462.7966588512	49766.244420498	49573.9786962782	50089.1295941963	49869.1204592752	49520.1622921291	50589.8250431151	49065.4880956166	49545.5838391655	49372.626092619	50566.3786411846	50719.490340057	50691.3403172288	49112.9543910359
Zo_NP_8	49197.0467347675	49507.137113404	49893.773966333	50706.7858949234	50111.9977255579	49764.7908154448	49420.448397785	49485.8620263953	49290.0754855905	49722.9211422152	48460.0121047645	50829.9265473727	51032.2289215052	49713.0029698368	49452.6459642071	49544.2967982876	49898.274453398	49811.2642354389	50289.8037768518	50673.7669414583	50559.0811107652	50642.1768089625	50577.3011962123	50824.1885824682	50121.4958892652	50168.4683031895	50284.0544077666	50288.1181421985	50669.7460192704	49796.7954096607	47212.2937206759	47409.7031514996	47709.240569916	47140.2800391954	47208.2992006756	47454.3279612553	47003.5791598894	47238.3476907457	47593.1622945265	48306.7148503061	47909.1681103552	47235.0733970299	47038.3858401346	47546.8532166691	47288.0473842027	46989.7538636459	47958.7897935989	46545.3408532298	46998.4943175828	46856.9289637908	47911.562802928	48074.3077223303	48102.9561021829	46595.5421855605
Zo_NP_9	50430.6019439616	50700.0585333422	51059.341807326	51885.4558999258	51213.5066890261	50932.4317053582	50567.0602671272	50596.6934922175	50432.550890341	50860.8766347349	49515.9875896435	51987.338236016	52217.5164335452	50883.970462338	50576.2272659074	50715.1267860473	51090.1232689475	50970.8179618929	51456.8786327508	51905.3628337202	51751.6081507972	51891.5247810066	51821.7146129019	52069.2042847731	51372.9551176566	51344.253574421	51477.5445828341	51489.4062792032	51914.0559593517	50993.4778139513	48237.8831481067	48427.6279489062	48744.5905340572	48165.2191601218	48241.4598646113	48456.2367308983	48097.5826319573	48250.5192305469	48629.7016921662	49346.8186832114	48939.2514324402	48198.3737134728	48053.7776417787	48531.1919014094	48328.227519882	48042.9218204709	48991.1938968828	47540.6166011934	48061.9856407731	47853.9091659259	48944.6256008078	49119.5571222884	49078.9138741025	47580.6942204288
Zo_NP_10	53935.5178330213	54194.1633750294	54601.1175396074	55435.4257746953	54837.4930693021	54466.9953165074	54094.8835406939	54127.8706929839	53990.8851383134	54419.4456337593	52948.7310285634	55691.1556623957	55874.9312717794	54446.4234626784	54119.47623279	54242.1468668255	54616.643992308	54494.7371803026	55040.3266199923	55393.7735192374	55288.2143363293	55361.6402883638	55286.0963165296	55577.5178532831	54836.1665212831	54771.532781282	54962.8011567317	54983.8623941264	55434.3148869442	54400.8257605723	51412.3250164401	51680.6110651162	51975.0991498354	51428.1428848048	51530.1163462892	51761.7355686757	51292.3290015046	51486.8165114062	51925.0562087711	52671.6704013638	52168.2981124649	51508.3147006251	51309.2228364613	51838.8835645121	51576.9233696745	51196.6789498799	52299.005339045	50728.340671284	51248.0865431671	51032.516712091	52294.4826033389	52439.5210711836	52435.8070150265	50791.9713457873
Zo_NP_11	45594.7366415528	45805.1243930663	46180.0313927982	46924.3147826056	46320.144168796	46021.1054360552	45702.2264903591	45736.3347715983	45618.1328359785	45999.0471297184	44787.7462010213	46988.7774215423	47151.1116666594	46014.6471994842	45691.4978142568	45847.2945093768	46186.6136777051	46018.9714402522	46507.4266896476	46882.5656508415	46775.8701904016	46863.1729454846	46798.8486754237	47061.3046580929	46437.4289179667	46520.1665983012	46520.4331026446	46583.001523494	46923.2687497481	46125.340339133	43650.9440982013	43825.1067972784	44112.7830665382	43602.0930817177	43645.8660213312	43835.7835643945	43482.2841954563	43683.2771530251	44007.2787577348	44623.5371813236	44280.3680649613	43629.9836618407	43475.2120637991	43897.5780121702	43692.7210856119	43482.1685697868	44342.4967746323	43024.2929107255	43493.2577605832	43328.0038955212	44307.3770020368	44464.5541074356	44442.5863202825	43094.3533896648
Zo_NP_12	50242.4287345448	50539.0987149888	50887.0210687816	51670.3614139867	51044.8471707859	50738.4483698462	50373.4484844252	50416.8228992561	50256.239765292	50681.4362649632	49356.7532824618	51818.3519715835	52027.7338615314	50675.3271102078	50372.7471780953	50486.8460229753	50836.4839703117	50747.9369202368	51237.3834560802	51641.2342227434	51492.9390102648	51657.8945845865	51569.9047576301	51782.5551479247	51193.4569174065	51121.5359537634	51237.3794425946	51233.2161585598	51666.4820360224	50724.6769729665	48054.5502768286	48274.1151153535	48548.0115582434	48036.7633691125	48093.2324493207	48289.1666319497	47891.8001152187	48055.7304827821	48431.0049928475	49157.8930915156	48706.7284844823	48033.7235648729	47888.6641037152	48376.5965746376	48169.555011345	47879.2670081769	48837.1103742127	47388.6867878944	47866.2726323105	47717.4057449275	48798.2703670993	48986.9265780291	48938.7980247069	47396.688060308
