	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
nonPR_Hols_1	54550.7919330114	54826.4013815528	52283.0354418468	52355.7139838967	56962.6132410007	52270.8632689682	53843.6260357092	59426.2591601363	51943.9175058523	55066.7556607241	58635.7254265818	56139.3874318599	57843.0588086	59875.2227925249	57828.941838899	55872.6311139461	61455.2576598954	62641.3587741779	63378.2552042532	60946.2275869581	57137.7745662709	59052.1184714982	56367.8124694304	55416.9933187736	56701.3438441667	56704.6112552946	57490.7666724092
nonPR_Hols_2	55610.262029065	55820.3917040988	53283.8607724624	53346.5298703958	58000.4726245157	53256.2357646684	54890.7797939988	60541.2300852942	52861.833350585	56123.3804341152	59767.0943522714	57258.6105126382	58938.7668704368	60993.6423226756	58926.8337274313	56912.6598367069	62594.7408820411	63803.3806488774	64580.6119561192	62092.995594762	58180.7015138797	60178.4102322797	57459.6369404873	56430.2595005869	57734.3322154144	57766.359886968	58532.6044300425
nonPR_Hols_3	55878.9593608144	56141.9815033623	53499.3665882648	53663.1555378436	58339.451252125	53577.0396295931	55178.285307028	60881.009444372	53182.8537326415	56422.1321485536	60046.0414230228	57510.7341500772	59198.724872773	61278.905788461	59260.103240127	57229.2640706408	62942.7881714797	64140.1978564758	64883.6503156449	62335.7422752216	58515.8935616665	60487.3336469414	57836.6619457078	56766.7437063822	58042.5310204102	58059.7251391439	58867.2188187514
nonPR_Hols_4	56561.1005922627	56708.4865521823	54034.9993990864	54256.6838243792	59036.2585886002	54100.0564955387	55748.0661120072	61553.0119353108	53632.146386466	57106.8216343022	60721.6859127311	58359.3516234267	59866.9494843061	61869.1105410096	59875.8716465808	57781.64065447	63535.2400876147	64811.6969470793	65540.4413137568	62878.9123224347	59055.8556589078	61227.1293224246	58408.8649593521	57263.850601803	58516.0344166205	58762.8205835819	59480.2214928153
nonPR_Hols_5	54523.8261818917	54500.877925638	52167.589313754	52241.1222250695	56898.9447605821	51988.890266571	53797.2337196273	59141.9412956078	51588.4840456119	55040.3944871169	58552.2890319642	56216.1953884514	57850.2700314679	59696.8909871813	57689.3048076174	55756.5462456768	61351.5489107532	62540.5599575277	63272.3174928275	60701.9142284865	56880.5263924511	58993.2023407474	56240.2326255745	55197.5796933602	56395.5333534921	56581.9749984278	57277.83071107
nonPR_Hols_6	56728.3465518002	56993.059162719	54293.6535783766	54450.265454317	59211.9403554949	54335.7533084996	55959.4933885943	61796.5140866853	53929.3837933402	57276.6505944617	60914.4498489049	58418.7452020203	60084.5502103201	62150.2667519885	60152.4380574521	58057.488790025	63884.352941927	65118.8571716298	65900.8218010478	63264.0845406002	59378.9108572649	61422.3671857144	58644.4300853275	57589.4498669932	58869.7394514066	58967.643383378	59724.6190410521
nonPR_Hols_7	56206.8402163548	56422.862865111	53794.3039962049	53949.3292085297	58652.9499048415	53869.4285326222	55459.1995636653	61177.3474121952	53464.7396289105	56715.4400219676	60374.0288097769	57846.7764879542	59528.7852482482	61589.9594937111	59589.875313089	57519.8629598332	63290.4389070462	64502.1992594041	65238.2767088657	62655.964644013	58826.3292776437	60838.9129015536	58141.1138033218	57059.8559048329	58361.6684402477	58378.9238536252	59152.9889352653
nonPR_Hols_8	56276.186368196	56469.2504031144	53860.2265784343	54018.9009677762	58744.7607832551	53896.0160881921	55543.6726234998	61240.850213668	53527.7737785201	56806.6422019162	60436.6411432645	57940.2372369557	59645.3162597684	61631.2468068887	59655.6975976353	57555.5320852762	63375.1107756874	64539.3180290752	65322.2435221965	62705.5063117824	58913.8753694189	60947.108060078	58207.7657636139	57123.5247901508	58400.5066370242	58463.9084277193	59211.3655181249
nonPR_Hols_9	55280.1565255053	55592.3226862144	52921.5827730013	53053.7956741951	57666.7366796595	52960.4089224361	54504.904355945	60237.1729998216	52603.0142883358	55769.404358708	59365.0678325358	56878.2378482272	58576.9041616786	60624.6770187655	58649.411720903	56576.2147515485	62239.2008086579	63472.3647131824	64208.0188485028	61695.9699615652	57919.5549681217	59825.4688064961	57145.5857157892	56132.3656302086	57426.7311390931	57461.8911540733	58241.9447217787
nonPR_Hols_10	56136.2404920681	56377.4930569772	53718.7424784487	53906.7550698733	58571.1678448312	53810.7000924471	55438.2142528273	61134.9471701308	53413.185657638	56664.3483441421	60283.1818091449	57794.6562697418	59450.9326102993	61519.835524134	59511.7066099631	57478.3665864002	63201.6174481232	64403.982497966	65178.4635429916	62589.2567266156	58746.7756472184	60753.1915243257	58054.8829666724	57015.6826767221	58260.3505022959	58317.9433793979	59090.2107782823
nonPR_Hols_11	54726.5843912489	54839.8658176062	52371.0597366202	52487.3480182713	57042.4803695404	52377.8150074325	53975.2000166743	59388.495354566	52001.4336765866	55159.3019100219	58764.2835032622	56292.2588108191	57965.148366759	59934.5188800666	57921.2127565579	55960.9621657568	61550.7774435603	62746.2044634517	63474.668489275	60968.1520543846	57183.4377173146	59207.8888655476	56568.3669386071	55513.9710775798	56758.6669233106	56758.625263504	57521.2317045996
PR_Hols_1	57790.7719627173	58012.8913297188	55257.3958238116	55443.5851866964	60282.1863125752	55347.7901001939	56997.4882764515	62963.4785898521	54934.9161447782	58311.14331101	62063.5445187453	59525.7011019559	61206.2909560126	63315.1450832713	61251.9015086789	59105.965427479	65046.0193755375	66274.9292021753	67125.7524382495	64409.020188361	60441.935967916	62536.8635286775	59719.0344262888	58598.1617457352	59952.9044733775	60100.0189170325	60824.2768254701
PR_Hols_2	56718.0337483103	57006.2494267867	54293.838649572	54369.7604743289	59120.5508019934	54335.6662837492	55864.0504470293	61756.6854715382	53880.4912221003	57208.3392562569	60888.8239940975	58419.2189328204	60028.4044169204	62172.036578963	60127.7851386571	57985.6771523292	63847.066699791	65057.1496252199	65856.6644962557	63266.3472587452	59340.4485684814	61380.7848748404	58595.7102754956	57506.3239869367	58892.3092908779	58923.291594378	59770.8956286634
PR_Hols_3	56158.6989635394	56439.2380823319	53756.6267698609	53919.14248045	58608.9087789986	53820.3435616399	55419.8417249476	61231.5021503069	53440.715326071	56690.7162973775	60283.9272501708	57816.5236943689	59450.2668995585	61552.7971088372	59538.5017898953	57467.4457581754	63199.8850404083	64449.5620609601	65180.8356544688	62617.1461430549	58797.2078950222	60757.4435476791	58050.1235013239	57036.0049077183	58297.7686765444	58374.9436974416	59159.0316553271
