"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000020645.ENSBTAG00000021527",40.093644162743,40.9641938085154
"vitro","ENSBTAG00000031998.ENSBTAG00000015708",35.6504064864329,35.6404350024504
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",35.4590612458592,45.2979159275111
"vitro","ENSBTAG00000021316.ENSBTAG00000019929",32.2043193324597,38.0418459863023
"vitro","ENSBTAG00000015043.ENSBTAG00000022799",25.5952025579508,36.2971963693967
"vitro","ENSBTAG00000004630.ENSBTAG00000019929",24.3821719096564,35.5155806669965
"vitro","ENSBTAG00000000470.ENSBTAG00000019929",22.8933309170904,34.3522834656229
"vitro","ENSBTAG00000000016.ENSBTAG00000016455",18.0922173804915,33.03140516803
"vitro","ENSBTAG00000007737.ENSBTAG00000019832",15.7909053063946,31.0249546045034
"vitro","ENSBTAG00000022120.ENSBTAG00000019929",15.700469689503,26.9452343602716
"vitro","ENSBTAG00000000283.ENSBTAG00000012771",13.0240655978775,26.4946716315036
"vitro","ENSBTAG00000009357.ENSBTAG00000012771",11.3253621098379,15.5710472832358
"vitro","ENSBTAG00000017280.ENSBTAG00000037735",10.3356771488681,31.2358483618229
"vivo","ENSBTAG00000002278.ENSBTAG00000015910",39.8238225768006,43.8378816498684
"vivo","ENSBTAG00000002278.ENSBTAG00000019929",37.6505051596655,41.6336785855326
"vivo","ENSBTAG00000014583.ENSBTAG00000010986",31.4672694430947,36.263857640993
"vivo","ENSBTAG00000002278.ENSBTAG00000013745",30.4599209421309,33.0589138862883
"vivo","ENSBTAG00000025644.ENSBTAG00000010986",27.4031130649892,31.374857838094
"vivo","ENSBTAG00000002317.ENSBTAG00000018052",27.2528969410274,33.9453295451446
"vivo","ENSBTAG00000002317.ENSBTAG00000026676",25.7235351589628,36.4931488478105
"vivo","ENSBTAG00000002317.ENSBTAG00000011154",25.6009050562393,34.7183259281483
"vivo","ENSBTAG00000002317.ENSBTAG00000014966",25.538656198771,36.7880113851083
"vivo","ENSBTAG00000021697.ENSBTAG00000002804",24.1158716108614,39.2235242476199
"vivo","ENSBTAG00000021697.ENSBTAG00000019929",23.8865204938166,38.1021911083051
"vivo","ENSBTAG00000012817.ENSBTAG00000007909",23.0755878430167,29.4992194479102
"vivo","ENSBTAG00000007773.ENSBTAG00000003418",22.6789262290227,25.6170204125373
"vivo","ENSBTAG00000021697.ENSBTAG00000005990",22.3554227929734,37.9529026830324
"vivo","ENSBTAG00000007773.ENSBTAG00000018993",22.0724482533832,29.4778734505305
"vivo","ENSBTAG00000021697.ENSBTAG00000007173",22.0417911251792,36.7802557499196
"vivo","ENSBTAG00000007773.ENSBTAG00000017060",19.56311870728,28.1380372492458
"vivo","ENSBTAG00000020638.ENSBTAG00000000782",15.9415987067213,30.2812563207734
