"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.375,-0.25,0.453125
"vitro",64,0.5625,0.125,0.609375
"vivo",28,0.3125,-0.375,0.6875
"vitro",28,0.5625,0.125,0.66796875
"vivo",21,0.5,0,0.546875
"vitro",21,0.875,0.75,0.81640625
"vivo",94,0.625,0.25,0.76953125
"vitro",94,1,1,1
"vivo",41,0.71875,0.4375,0.82421875
"vitro",41,0.84375,0.6875,0.8671875
"vivo",12,0.5,0,0.671875
"vitro",12,0.71875,0.4375,0.861328125
"vivo",53,0.625,0.25,0.875
"vitro",53,0.46875,-0.0625,0.4921875
"vivo",22,0.90625,0.8125,1
"vitro",22,0.71875,0.4375,0.7734375
"vivo",17,0.625,0.25,0.80078125
"vitro",17,0.59375,0.1875,0.6171875
"vivo",62,0.84375,0.6875,0.96484375
"vitro",62,0.6875,0.375,0.796875
