"feature","importance","dataset","seed"
"ENSBTAG00000014583.ENSBTAG00000010986",51.9666508881667,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000010986",48.9073148843263,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000015910",100,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000019929",81.7981556706008,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000002804",4.99609917069195,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000005990",5.97619873991147,"vivo",64
"ENSBTAG00000012817.ENSBTAG00000007909",9.40341939130119,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000013745",55.0679104293023,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000019929",6.31583348046806,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000014966",4.6097844782124,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000003418",23.1296800217345,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000026676",7.62837552817595,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000007173",5.93836277249177,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000018993",23.5467445899519,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000018052",7.9004132679222,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000011154",5.89870816411639,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000017060",23.3616953061967,"vivo",64
"ENSBTAG00000020638.ENSBTAG00000000782",0,"vivo",64
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",64
"ENSBTAG00000000470.ENSBTAG00000019929",0.18819061931822,"vitro",64
"ENSBTAG00000004630.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000015043.ENSBTAG00000022799",1.02850702108674,"vitro",64
"ENSBTAG00000022120.ENSBTAG00000019929",1.23414133417421,"vitro",64
"ENSBTAG00000000016.ENSBTAG00000016455",0,"vitro",64
"ENSBTAG00000031998.ENSBTAG00000015708",100,"vitro",64
"ENSBTAG00000021316.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000001462",0.408584980979664,"vitro",64
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",64
"ENSBTAG00000020645.ENSBTAG00000021527",0,"vitro",64
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",64
"ENSBTAG00000007737.ENSBTAG00000019832",0,"vitro",64
"ENSBTAG00000014583.ENSBTAG00000010986",0,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000010986",0,"vivo",28
"ENSBTAG00000002278.ENSBTAG00000015910",0,"vivo",28
"ENSBTAG00000002278.ENSBTAG00000019929",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000002804",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000005990",0,"vivo",28
"ENSBTAG00000012817.ENSBTAG00000007909",0,"vivo",28
"ENSBTAG00000002278.ENSBTAG00000013745",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000019929",0,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000014966",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000003418",84.5664233439845,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000026676",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000007173",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000018993",100,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000018052",0,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000011154",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000017060",93.4368469878276,"vivo",28
"ENSBTAG00000020638.ENSBTAG00000000782",0,"vivo",28
"ENSBTAG00000000283.ENSBTAG00000012771",10.5197911174158,"vitro",28
"ENSBTAG00000000470.ENSBTAG00000019929",9.77820041954793,"vitro",28
"ENSBTAG00000004630.ENSBTAG00000019929",30.3911458388974,"vitro",28
"ENSBTAG00000015043.ENSBTAG00000022799",26.1675429799849,"vitro",28
"ENSBTAG00000022120.ENSBTAG00000019929",11.1134268120348,"vitro",28
"ENSBTAG00000000016.ENSBTAG00000016455",0.97325143824332,"vitro",28
"ENSBTAG00000031998.ENSBTAG00000015708",59.9823511586561,"vitro",28
"ENSBTAG00000021316.ENSBTAG00000019929",13.7267417062434,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000001462",100,"vitro",28
"ENSBTAG00000009357.ENSBTAG00000012771",14.6885400231246,"vitro",28
"ENSBTAG00000020645.ENSBTAG00000021527",12.0963166874442,"vitro",28
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",28
"ENSBTAG00000007737.ENSBTAG00000019832",11.229185261079,"vitro",28
"ENSBTAG00000014583.ENSBTAG00000010986",1.9116784935404,"vivo",21
"ENSBTAG00000025644.ENSBTAG00000010986",3.46811874225048,"vivo",21
"ENSBTAG00000002278.ENSBTAG00000015910",100,"vivo",21
"ENSBTAG00000002278.ENSBTAG00000019929",93.3560758726051,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000002804",0.00047916334276198,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000005990",0,"vivo",21
"ENSBTAG00000012817.ENSBTAG00000007909",7.20360009675873,"vivo",21
"ENSBTAG00000002278.ENSBTAG00000013745",82.0553625115746,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000019929",0.194859379101505,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000014966",25.1528689770637,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000003418",13.482730627245,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000026676",24.6674650028937,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000007173",0.170100752526802,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000018993",12.324549968005,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000018052",24.3205419492512,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000011154",19.0389914449848,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000017060",8.68498073879794,"vivo",21
"ENSBTAG00000020638.ENSBTAG00000000782",16.5722766771814,"vivo",21
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",21
"ENSBTAG00000000470.ENSBTAG00000019929",82.6073524868706,"vitro",21
"ENSBTAG00000004630.ENSBTAG00000019929",97.7359989408182,"vitro",21
"ENSBTAG00000015043.ENSBTAG00000022799",0,"vitro",21
"ENSBTAG00000022120.ENSBTAG00000019929",83.051620401018,"vitro",21
"ENSBTAG00000000016.ENSBTAG00000016455",1.75353428365477,"vitro",21
"ENSBTAG00000031998.ENSBTAG00000015708",0,"vitro",21
"ENSBTAG00000021316.ENSBTAG00000019929",100,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",21
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",21
"ENSBTAG00000020645.ENSBTAG00000021527",85.7878400047075,"vitro",21
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",21
"ENSBTAG00000007737.ENSBTAG00000019832",0,"vitro",21
"ENSBTAG00000014583.ENSBTAG00000010986",100,"vivo",94
