"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.75,0.5,0.80078125
"vitro",64,0.4375,-0.125,0.5078125
"vivo",28,0.75,0.5,0.68359375
"vitro",28,0.71875,0.4375,0.78125
"vivo",21,0.75,0.5,0.7265625
"vitro",21,0.65625,0.3125,0.765625
"vivo",94,0.75,0.5,0.75
"vitro",94,0.71875,0.4375,0.96875
"vivo",41,0.875,0.75,1
"vitro",41,0.71875,0.4375,0.8359375
"vivo",12,0.75,0.5,0.9375
"vitro",12,0.8125,0.625,0.921875
"vivo",53,0.78125,0.5625,1
"vitro",53,0.71875,0.4375,0.76171875
"vivo",22,1,1,1
"vitro",22,0.71875,0.4375,0.8203125
"vivo",17,0.78125,0.5625,0.90625
"vitro",17,0.71875,0.4375,0.875
"vivo",62,0.875,0.75,1
"vitro",62,0.6875,0.375,0.78515625
