"feature","importance","dataset","seed"
"ENSBTAG00000009761.ENSBTAG00000002144",0,"vivo",64
"ENSBTAG00000009761.ENSBTAG00000012314",1.05497866019717,"vivo",64
"ENSBTAG00000005481.ENSBTAG00000003166",0,"vivo",64
"ENSBTAG00000012444.ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000012444.ENSBTAG00000015127",0,"vivo",64
"ENSBTAG00000010663.ENSBTAG00000013745",0.445758845119465,"vivo",64
"ENSBTAG00000010663.ENSBTAG00000019929",1.6339901612592,"vivo",64
"ENSBTAG00000010663.ENSBTAG00000015910",0.796818831613593,"vivo",64
"ENSBTAG00000001141.ENSBTAG00000013745",0.475620542901137,"vivo",64
"ENSBTAG00000001141.ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000001141.ENSBTAG00000022799",0.146344782431119,"vivo",64
"ENSBTAG00000019694.ENSBTAG00000013745",0,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000017266",0,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000019929",0.0837553105070128,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000015910",0.169750092752594,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000013755",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000002144",1.0074589461418,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000017981",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000008483",4.55261764737727,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000016948",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000019903",0.168460640933107,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000020704",0.376061743944208,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000017489",1.08521336099374,"vivo",64
"ENSBTAG00000013191.ENSBTAG00000015910",0.168574369635846,"vivo",64
"ENSBTAG00000014556.ENSBTAG00000026676",0.0786149657687829,"vivo",64
"ENSBTAG00000013201.ENSBTAG00000020319",0.0855564999802819,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000013745",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000020148",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000011034.ENSBTAG00000020148",0,"vivo",64
"ENSBTAG00000011034.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000021811.ENSBTAG00000020148",0,"vivo",64
"ENSBTAG00000021811.ENSBTAG00000003777",1.84838463742253,"vivo",64
"ENSBTAG00000011810.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000002473.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000015978.ENSBTAG00000039292",0.253920954846472,"vivo",64
"ENSBTAG00000015978.ENSBTAG00000013290",0,"vivo",64
"ENSBTAG00000015978.ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000019993.ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000019993.ENSBTAG00000027516",0.167077428835679,"vivo",64
"ENSBTAG00000009212.ENSBTAG00000012314",0,"vivo",64
