"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000000575.ENSBTAG00000015296",21.8066741139788,36.2880549255974
"vitro","ENSBTAG00000005947.ENSBTAG00000015910",16.9451033153209,30.6832747012883
"vitro","ENSBTAG00000008300.ENSBTAG00000008165",16.2299880420752,34.5030012935383
"vitro","ENSBTAG00000021945.ENSBTAG00000011741",15.7697281920523,33.6044573226787
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",14.5681082057344,28.1128161790677
"vitro","ENSBTAG00000000476.ENSBTAG00000003781",13.7628156397584,31.1074426528658
"vitro","ENSBTAG00000000575.ENSBTAG00000012897",13.6225063984577,19.8447382049981
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",13.570824492225,30.2163536574898
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",13.4717470753681,28.9342078683187
"vitro","ENSBTAG00000021466.ENSBTAG00000010682",12.8834812863861,31.1302481790674
"vitro","ENSBTAG00000005339.ENSBTAG00000000782",12.5999899092165,27.0277382240693
"vitro","ENSBTAG00000014113.ENSBTAG00000003220",12.4303958567426,31.3266301522322
"vitro","ENSBTAG00000000575.ENSBTAG00000020679",11.8909197527897,16.2819007689691
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",11.3103456099292,31.2009950626192
"vitro","ENSBTAG00000012066.ENSBTAG00000013569",10.887870548023,24.4817062555304
"vitro","ENSBTAG00000015991.ENSBTAG00000024015",10.8554243107318,31.3987974516776
"vitro","ENSBTAG00000014113.ENSBTAG00000014162",10.547660960468,30.1609527098513
"vitro","ENSBTAG00000021697.ENSBTAG00000007173",10.4825466382265,22.9700401134333
"vitro","ENSBTAG00000020457.ENSBTAG00000001060",10.3681511160262,31.501779819701
"vitro","ENSBTAG00000008300.ENSBTAG00000018993",10.2315847175728,31.5475009179668
"vitro","ENSBTAG00000005710.ENSBTAG00000015457",10.0144058628205,19.1315975772097
"vitro","ENSBTAG00000026236.ENSBTAG00000019929",10.0095353165383,28.9096422126289
"vitro","ENSBTAG00000002278.ENSBTAG00000019929",10,31.6227766016838
"vitro","ENSBTAG00000011412.ENSBTAG00000019929",9.98987713059573,27.6107769707126
"vitro","ENSBTAG00000008300.ENSBTAG00000017489",9.64391493177776,22.2584547420794
"vitro","ENSBTAG00000008237.ENSBTAG00000005273",9.3654823773838,25.1282465924196
"vitro","ENSBTAG00000001292.ENSBTAG00000032719",9.26798044986299,26.5830466363661
"vitro","ENSBTAG00000004148.ENSBTAG00000003255",9.23251397277515,27.0114574227862
"vitro","ENSBTAG00000012817.ENSBTAG00000022799",9.0996478695429,23.3207415279026
"vitro","ENSBTAG00000007773.ENSBTAG00000003418",8.93278013655814,25.4323869354764
"vitro","ENSBTAG00000005947.ENSBTAG00000015739",8.63929749892108,24.3221828619375
"vitro","ENSBTAG00000012829.ENSBTAG00000017745",8.62041922161051,24.8512582687337
"vitro","ENSBTAG00000005339.ENSBTAG00000011971",8.51374248375694,23.9924952691836
"vitro","ENSBTAG00000008817.ENSBTAG00000019929",8.26441644488416,24.5540321325881
"vitro","ENSBTAG00000017753.ENSBTAG00000014420",8.02795576480158,22.6424331645412
"vitro","ENSBTAG00000005198.ENSBTAG00000015457",8.00348730849342,14.7633921982544
"vitro","ENSBTAG00000017753.ENSBTAG00000039292",7.99956237102991,24.4300278115072
"vitro","ENSBTAG00000025644.ENSBTAG00000004588",7.88061719838422,24.1541663457648
"vitro","ENSBTAG00000000575.ENSBTAG00000026676",7.83340638791771,11.8458292714233
"vitro","ENSBTAG00000040584.ENSBTAG00000021923",7.76555338842806,18.8110120290784
"vitro","ENSBTAG00000013103.ENSBTAG00000019929",7.74510156511141,23.2260902307068
"vitro","ENSBTAG00000005260.ENSBTAG00000019929",7.58352383007209,23.1079109962154
"vitro","ENSBTAG00000021105.ENSBTAG00000005273",7.55000967053914,20.4827021455898
"vitro","ENSBTAG00000005339.ENSBTAG00000019866",7.40799775223606,20.8046992398107
"vitro","ENSBTAG00000020457.ENSBTAG00000019832",7.38250541491399,17.2652889382153
"vitro","ENSBTAG00000013201.ENSBTAG00000020319",7.35310444271863,16.5327847077494
"vitro","ENSBTAG00000007773.ENSBTAG00000015910",7.23934886952191,19.853622371731
"vitro","ENSBTAG00000011966.ENSBTAG00000019929",7.21748074402753,22.2082018646512
"vitro","ENSBTAG00000005947.ENSBTAG00000013125",7.13353716070864,15.667526347239
"vitro","ENSBTAG00000017753.ENSBTAG00000015228",6.99948294470598,13.1623678873229
"vitro","ENSBTAG00000025644.ENSBTAG00000020667",6.86649937620538,11.8236476802924
"vitro","ENSBTAG00000014113.ENSBTAG00000001338",6.80537137672635,13.7231150773368
"vitro","ENSBTAG00000005339.ENSBTAG00000003166",6.76081834361446,21.0465437567174
"vitro","ENSBTAG00000014737.ENSBTAG00000001462",6.36872532693426,13.5490870768973
"vitro","ENSBTAG00000007148.ENSBTAG00000034848",6.34064487929785,17.3211145006128
"vitro","ENSBTAG00000021302.ENSBTAG00000015910",6.33970734958418,12.5687689007485
"vitro","ENSBTAG00000025257.ENSBTAG00000014162",6.24096981129101,18.1954059833306
"vitro","ENSBTAG00000000575.ENSBTAG00000015910",6.18259756616562,9.73247216677643
"vitro","ENSBTAG00000020457.ENSBTAG00000019929",6.15972977334277,18.8650218697288
"vitro","ENSBTAG00000018255.ENSBTAG00000015127",6.11489076372159,17.5173214377594
"vitro","ENSBTAG00000021217.ENSBTAG00000010682",5.99767680280569,16.1817797053702
"vitro","ENSBTAG00000019866.ENSBTAG00000000782",5.99092789647703,15.5288356810621
"vitro","ENSBTAG00000013191.ENSBTAG00000019929",5.90729692548952,16.9467263546035
"vitro","ENSBTAG00000016800.ENSBTAG00000000782",5.81428486341162,10.7356053838234
